@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,?,?,?,?,?,1.001,?,?,?,6.0,2
?,0.3,?,1.6,?,14.0,132.0,0.994,3.3,?,9.5,6.0,2
8.1,0.28,0.4,6.9,0.05,30.0,?,0.9951,3.26,0.44,10.1,?,?
7.2,0.23,0.32,?,0.058,47.0,186.0,?,3.19,0.4,?,6.0,2
7.2,0.23,?,?,?,?,186.0,0.9956,3.19,0.4,?,6.0,2
8.1,?,?,6.9,0.05,30.0,?,?,3.26,0.44,10.1,6.0,?
6.2,0.32,0.16,?,?,30.0,136.0,0.9949,?,?,?,?,2
7.0,0.27,?,20.7,?,45.0,?,?,?,?,?,6.0,2
6.3,?,?,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6.0,2
8.1,0.22,0.43,1.5,0.044,?,129.0,0.9938,?,0.45,11.0,?,?
8.1,0.27,0.41,1.45,0.033,?,63.0,0.9908,2.99,0.56,12.0,5.0,2
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5.0,2
7.9,?,0.37,1.2,?,16.0,75.0,?,3.18,0.63,10.8,5.0,2
6.6,?,0.4,?,0.044,48.0,?,0.9912,?,0.52,?,7.0,?
8.3,0.42,?,19.25,0.04,?,172.0,1.0002,?,0.67,?,5.0,?
6.6,0.17,0.38,?,0.032,?,?,?,?,0.55,11.4,?,2
6.3,0.48,0.04,?,0.046,30.0,99.0,0.9928,?,?,?,6.0,?
6.2,0.66,0.48,1.2,?,29.0,75.0,0.9892,?,0.39,12.8,?,?
7.4,0.34,0.42,1.1,0.033,17.0,171.0,?,3.12,0.53,11.3,6.0,?
6.5,0.31,?,?,?,34.0,133.0,0.9955,?,0.5,?,5.0,2
6.2,0.66,0.48,1.2,0.029,?,75.0,0.9892,?,0.39,?,8.0,?
6.4,0.31,0.38,?,0.038,?,?,0.9912,3.17,?,11.0,?,?
6.8,0.26,?,?,0.049,41.0,122.0,0.993,?,0.48,10.5,8.0,?
7.6,0.67,?,1.5,?,25.0,168.0,0.9937,?,0.51,?,5.0,2
6.6,?,?,1.3,?,?,142.0,0.9951,3.42,?,10.0,?,?
7.0,0.25,0.32,?,0.046,56.0,245.0,0.9955,?,0.5,10.4,?,?
6.9,0.24,?,1.0,?,35.0,146.0,0.993,3.45,0.44,?,?,2
7.0,?,0.39,?,0.051,?,141.0,?,?,0.53,10.5,6.0,?
