@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,0.36,?,0.045,?,170.0,1.001,3.0,?,8.8,6.0,?
6.3,0.3,0.34,1.6,0.049,?,132.0,0.994,3.3,?,?,6.0,2
8.1,?,0.4,6.9,0.05,?,97.0,0.9951,?,0.44,10.1,6.0,2
7.2,?,?,8.5,?,47.0,186.0,0.9956,3.19,0.4,?,6.0,?
?,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6.0,2
8.1,0.28,0.4,6.9,?,30.0,?,0.9951,3.26,0.44,10.1,6.0,?
6.2,0.32,?,7.0,0.045,30.0,136.0,0.9949,?,0.47,?,6.0,?
7.0,0.27,0.36,?,0.045,?,170.0,1.001,3.0,?,8.8,6.0,?
6.3,?,0.34,1.6,?,14.0,132.0,0.994,?,?,?,?,2
8.1,0.22,?,1.5,0.044,?,129.0,0.9938,3.22,0.45,11.0,6.0,2
?,0.27,0.41,1.45,?,11.0,63.0,?,2.99,?,12.0,5.0,2
8.6,0.23,0.4,4.2,?,?,?,0.9947,3.14,?,9.7,?,2
7.9,?,?,1.2,?,16.0,75.0,0.992,3.18,0.63,?,5.0,?
6.6,0.16,?,1.5,0.044,?,143.0,?,3.54,0.52,12.4,7.0,2
8.3,0.42,?,?,?,41.0,172.0,1.0002,?,0.67,9.7,5.0,?
6.6,0.17,?,?,?,28.0,?,?,3.25,?,?,7.0,2
6.3,?,0.04,1.1,0.046,?,99.0,0.9928,3.24,?,9.6,6.0,2
6.2,?,?,1.2,0.029,29.0,?,?,?,0.39,12.8,8.0,2
?,?,0.42,1.1,0.033,?,171.0,?,3.12,?,11.3,6.0,?
6.5,0.31,0.14,7.5,0.044,34.0,?,0.9955,3.22,0.5,9.5,?,2
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,?,0.39,12.8,?,2
6.4,?,0.38,2.9,?,19.0,102.0,0.9912,3.17,0.35,?,?,?
?,?,0.42,1.7,0.049,41.0,122.0,0.993,?,0.48,10.5,8.0,2
7.6,0.67,0.14,?,0.074,25.0,168.0,0.9937,3.05,0.51,?,?,2
?,0.27,0.41,?,0.052,?,142.0,0.9951,3.42,0.47,?,?,?
?,?,?,9.0,?,?,?,?,?,0.5,10.4,6.0,2
6.9,0.24,0.35,?,0.052,?,146.0,0.993,3.45,?,?,?,2
7.0,?,0.39,8.7,?,32.0,141.0,?,?,0.53,10.5,6.0,2
?,0.27,?,1.1,?,17.0,132.0,0.9914,3.19,?,11.6,6.0,2
?,?,?,?,0.033,?,114.0,0.9906,?,?,12.3,7.0,?
8.5,?,0.39,?,0.044,20.0,142.0,?,?,0.53,10.0,?,2
8.3,0.14,0.34,1.1,?,7.0,47.0,0.9934,?,0.4,?,6.0,?
7.4,0.25,0.36,2.05,0.05,31.0,?,0.992,3.19,?,10.8,?,2
?,0.12,?,1.5,?,?,117.0,0.9939,3.42,0.51,9.0,?,?
?,?,0.2,?,?,22.0,?,?,3.37,?,10.2,?,2
?,0.28,0.43,1.7,0.08,21.0,123.0,?,3.19,0.42,12.8,5.0,?
?,?,?,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5.0,2
?,0.33,0.32,?,0.053,?,138.0,0.9906,?,0.28,11.2,6.0,2
7.3,0.24,?,17.95,?,45.0,?,0.9999,?,?,8.6,?,?
?,?,0.39,17.95,?,?,?,?,?,0.36,8.6,5.0,?
6.7,?,?,?,0.172,63.0,158.0,?,3.11,?,?,?,2
6.7,0.24,0.39,2.9,?,63.0,?,?,3.1,?,9.4,6.0,?
?,?,?,?,0.069,28.0,?,0.9954,?,0.46,?,6.0,2
6.6,0.24,0.27,1.4,?,?,152.0,?,?,0.56,9.5,?,2
?,0.23,0.26,1.4,?,33.0,?,?,?,0.56,9.5,?,?
7.4,0.18,0.31,1.4,?,?,167.0,0.9931,?,?,?,7.0,?
6.2,?,?,4.4,0.063,63.0,?,0.994,?,0.52,?,?,?
6.2,0.46,?,4.4,?,?,207.0,?,?,0.52,?,5.0,2
7.0,0.31,?,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,?,?,?
6.9,0.19,?,5.0,0.067,?,?,0.995,3.36,0.48,9.8,?,?
7.2,0.19,0.31,1.6,0.062,?,173.0,0.9917,3.35,?,11.7,6.0,2
6.6,?,?,1.1,0.068,39.0,124.0,?,3.34,0.58,11.0,?,2
6.2,0.16,?,1.1,?,?,82.0,?,3.32,0.46,?,7.0,?
?,?,?,1.0,0.045,?,108.0,?,?,0.35,?,?,2
?,0.2,?,0.9,?,?,?,0.993,3.05,0.38,?,6.0,2
?,?,0.35,1.3,?,29.0,191.0,0.9908,?,0.52,11.0,6.0,2
?,0.21,?,11.9,0.043,?,213.0,0.9962,3.09,0.5,?,?,2
?,0.19,0.26,12.4,0.048,50.0,147.0,?,?,0.36,8.9,6.0,2
?,0.38,?,4.6,?,25.0,78.0,?,?,0.38,?,?,2
?,?,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,?,9.9,6.0,2
?,?,0.24,?,0.092,?,?,?,3.03,?,8.6,6.0,2
6.0,0.19,0.26,12.4,0.048,?,147.0,0.9972,3.3,0.36,8.9,6.0,?
7.0,0.47,0.07,?,0.035,?,151.0,0.991,3.02,?,10.5,?,?
?,0.38,?,4.6,0.044,?,78.0,0.9931,?,?,?,6.0,2
7.2,0.24,?,?,0.038,31.0,122.0,0.9927,3.15,?,?,6.0,?
6.2,0.35,0.03,1.2,?,?,120.0,0.9934,3.22,0.54,?,5.0,?
?,0.26,?,?,?,27.0,124.0,0.9903,3.22,?,12.6,7.0,2
6.7,0.25,0.13,?,?,81.0,174.0,0.992,3.14,?,9.8,5.0,2
6.7,0.23,?,?,?,30.0,?,?,3.33,0.64,10.7,?,?
7.4,0.24,0.29,10.1,0.05,?,105.0,0.9962,3.13,?,?,?,?
?,0.27,0.43,7.8,0.056,48.0,?,?,3.1,0.51,?,6.0,?
?,?,0.23,4.6,0.061,50.5,238.5,?,?,0.6,?,?,2
6.0,?,?,?,0.063,?,?,?,3.69,?,?,5.0,2
?,?,0.46,?,0.054,?,?,0.9941,?,?,?,6.0,2
6.7,?,?,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,?,2
7.4,?,0.29,10.1,?,21.0,105.0,?,3.13,0.35,9.5,5.0,2
7.1,0.18,0.36,1.4,0.043,?,?,0.9898,?,?,12.7,7.0,?
7.0,0.32,?,1.3,?,20.0,?,0.9912,3.31,0.65,12.0,7.0,?
