@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

?,-10.62,-14.43,-18.31,-24.64,-30.56,-38.62,?,-54.89,-62.28
-9.69,?,?,-21.75,?,-35.83,?,-52.43,-61.92,?
?,-14.28,?,-27.92,-35.19,-43.94,-52.04,?,-71.97,-83.1
-14.21,?,?,?,-41.29,-51.27,?,-71.55,-81.51,-93.83
-16.57,-20.35,-29.97,?,?,-57.29,-67.13,?,?,-102.65
-75.61,-64.1,?,?,-174.79,-145.5,?,-177.3,-250.83,-207.99
?,-64.53,?,-103.06,?,-144.98,?,-170.68,-240.14,?
-76.96,-65.37,-124.5,?,-169.93,?,?,-165.88,-232.82,-194.7
-78.29,?,?,?,-165.42,-136.17,?,?,?,-189.57
-79.62,-66.85,?,?,?,?,-194.87,-160.68,-221.33,-183.81
-88.03,-76.88,?,-124.36,-177.13,?,-220.91,-218.92,-274.27,?
-91.08,?,-131.32,-125.91,-182.66,-178.76,?,-221.49,-272.67,?
-92.08,-80.56,-132.5,?,-183.33,-179.25,?,-219.52,?,-259.99
?,-81.3,?,-127.76,-182.34,?,-217.73,-215.09,?,?
?,-81.88,-133.96,?,-178.29,?,-211.85,-209.7,-248.13,-245.84
?,?,?,-107.38,-128.66,-138.16,?,-159.83,-185.98,?
-67.95,?,-95.08,?,?,-132.91,-146.27,-153.75,-176.94,-184.07
-67.29,-75.99,?,?,?,-128.29,?,-150.07,-172.51,?
?,-74.97,-93.75,-103.66,-114.96,?,-139.18,-147.22,?,?
-66.12,-74.25,?,-102.5,-111.78,-120.95,?,?,-168.05,-175.16
-65.56,-71.66,-100.34,-109.75,-148.72,-157.43,-208.83,?,-268.57,-268.95
?,-72.17,-101.82,?,-151.04,?,-211.86,-214.85,-269.62,-270.97
-66.42,?,?,-112.74,-152.73,?,?,-217.42,-269.84,?
?,?,?,-113.72,-154.3,-162.43,-216.46,-217.99,-267.13,-269.45
-66.68,-73.19,-105.21,?,-154.42,-161.48,-215.52,?,-262.01,-263.28
?,-13.29,?,-26.28,-38.14,-50.09,?,-75.04,-85.63,-104.66
?,-14.18,-25.35,-32.75,?,?,?,-89.72,-104.25,-121.9
-12.45,-15.81,-33.33,?,-61.5,-72.12,?,-104.67,-124.21,-139.76
?,?,-40.56,-47.67,-72.11,-82.19,-106.26,?,?,-155.84
?,-19.74,-47.08,?,?,?,?,?,-156.66,-168.72
-98.63,-97.92,?,-131.93,-191.17,?,-260.06,-240.69,?,-321.2
-96.62,?,-136.86,-131.75,?,-182.3,-264.07,-245.29,?,?
-95.58,-95.61,?,-132.2,?,-183.3,?,-248.06,-359.32,-329.25
-94.48,-94.49,?,-132.39,-193.9,-184.2,-267.82,-249.31,-361.72,-331.38
?,?,-136.13,?,-194.96,?,-267.72,-249.56,-360.72,-330.82
?,?,?,-153.6,?,-219.47,-337.16,?,?,?
?,?,?,-156.41,-255.59,-223.56,-341.09,-289.88,?,-360.56
?,-101.04,-168.38,-157.85,-259.27,?,-336.37,?,?,?
-97.7,-102.02,-172.03,?,-261.38,?,-328.87,?,?,-334.79
?,?,?,?,-258.76,-222.1,-318.91,-269.47,?,?
-68.13,-53.77,-108.27,?,-153.07,-135.1,?,-165.24,-216.15,-202.26
-69.54,-55.73,-109.49,-93.98,-151.26,?,-174.59,-161.28,-205.61,-195.44
