@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,0.36,20.7,0.045,?,?,1.001,3.0,0.45,?,6.0
?,0.3,?,1.6,?,?,132.0,?,3.3,0.49,9.5,?
?,0.28,0.4,6.9,0.05,?,?,?,3.26,0.44,?,6.0
?,?,0.32,8.5,0.058,47.0,?,0.9956,3.19,?,?,?
?,0.23,0.32,?,0.058,47.0,186.0,?,3.19,?,9.9,6.0
8.1,0.28,0.4,?,0.05,?,97.0,?,3.26,?,?,6.0
6.2,?,0.16,7.0,0.045,?,136.0,?,?,0.47,9.6,6.0
?,0.27,0.36,?,0.045,45.0,170.0,?,3.0,0.45,8.8,?
?,?,?,?,?,14.0,132.0,?,?,?,9.5,6.0
?,0.22,?,1.5,0.044,28.0,?,0.9938,3.22,?,?,6.0
8.1,?,0.41,1.45,?,11.0,?,0.9908,?,0.56,12.0,?
?,0.23,?,4.2,0.035,?,?,0.9947,?,?,9.7,5.0
7.9,0.18,?,?,0.04,16.0,?,0.992,?,0.63,10.8,?
?,0.16,0.4,?,0.044,48.0,143.0,?,3.54,?,?,7.0
?,0.42,?,?,0.04,?,172.0,1.0002,2.98,?,?,?
6.6,?,?,1.5,0.032,?,112.0,0.9914,?,?,11.4,?
?,?,?,1.1,0.046,30.0,?,?,?,0.36,9.6,6.0
6.2,?,0.48,?,?,?,75.0,0.9892,?,?,12.8,8.0
?,?,0.42,1.1,?,?,171.0,0.9917,3.12,0.53,11.3,?
?,0.31,0.14,?,?,34.0,133.0,?,3.22,?,9.5,5.0
?,0.66,?,?,0.029,?,?,0.9892,?,?,?,?
6.4,0.31,?,2.9,?,19.0,?,0.9912,3.17,?,11.0,7.0
?,0.26,?,1.7,?,41.0,122.0,?,?,0.48,?,?
?,?,?,1.5,?,?,?,?,3.05,?,?,5.0
6.6,0.27,?,?,?,?,?,?,3.42,0.47,?,?
?,0.25,0.32,9.0,?,?,245.0,0.9955,3.25,?,?,?
6.9,?,?,1.0,0.052,35.0,?,?,?,?,?,6.0
7.0,?,?,?,?,32.0,?,?,?,0.53,?,?
7.4,0.27,0.48,?,?,17.0,132.0,0.9914,3.19,?,11.6,?
?,0.32,0.36,2.0,?,37.0,?,?,3.1,?,12.3,7.0
8.5,0.24,0.39,10.4,?,?,142.0,0.9974,?,?,?,6.0
?,0.14,?,?,?,7.0,?,0.9934,3.47,?,?,6.0
?,?,?,?,?,?,?,?,?,?,10.8,6.0
?,0.12,?,1.5,?,?,?,?,?,0.51,9.0,?
5.8,?,?,?,0.044,?,?,?,3.37,?,?,5.0
?,?,0.43,?,0.08,21.0,?,?,?,0.42,12.8,?
