@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,0.36,20.7,0.045,?,?,1.001,?,0.45,?,6.0
?,?,0.34,?,0.049,?,?,0.994,?,?,9.5,6.0
?,0.28,?,?,?,?,?,0.9951,?,0.44,10.1,6.0
?,0.23,0.32,?,0.058,47.0,186.0,?,3.19,?,?,?
?,0.23,0.32,8.5,?,47.0,186.0,0.9956,?,?,9.9,6.0
8.1,0.28,0.4,?,?,?,97.0,0.9951,3.26,0.44,10.1,6.0
6.2,0.32,0.16,?,0.045,30.0,136.0,?,3.18,0.47,9.6,?
7.0,?,0.36,20.7,?,?,170.0,1.001,?,0.45,?,6.0
6.3,0.3,0.34,?,0.049,14.0,?,0.994,3.3,0.49,?,6.0
?,0.22,?,1.5,0.044,?,?,0.9938,3.22,0.45,11.0,?
8.1,0.27,?,1.45,0.033,?,63.0,0.9908,2.99,?,12.0,?
8.6,?,?,4.2,0.035,?,109.0,?,?,0.53,9.7,?
?,0.18,0.37,?,0.04,?,75.0,?,?,0.63,?,?
6.6,?,?,1.5,?,48.0,143.0,?,?,?,12.4,?
8.3,?,?,19.25,0.04,?,172.0,?,2.98,0.67,9.7,?
?,?,?,1.5,0.032,?,112.0,0.9914,?,0.55,?,7.0
?,0.48,0.04,1.1,0.046,?,99.0,0.9928,3.24,?,9.6,6.0
6.2,?,0.48,?,?,29.0,75.0,0.9892,3.33,0.39,12.8,8.0
?,?,0.42,?,?,17.0,171.0,?,3.12,0.53,11.3,6.0
6.5,?,0.14,7.5,0.044,34.0,133.0,?,3.22,0.5,9.5,5.0
6.2,0.66,?,?,?,?,75.0,0.9892,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,7.0
6.8,0.26,0.42,?,0.049,?,122.0,?,3.47,0.48,10.5,8.0
7.6,0.67,?,?,0.074,?,?,0.9937,?,0.51,9.3,?
?,?,0.41,?,0.052,16.0,?,?,?,?,?,6.0
7.0,0.25,0.32,9.0,?,?,245.0,?,?,0.5,10.4,?
?,0.24,0.35,1.0,?,35.0,?,0.993,?,0.44,?,6.0
?,0.28,0.39,?,0.051,?,?,0.9961,?,0.53,?,?
?,?,0.48,?,0.047,17.0,?,0.9914,3.19,?,11.6,?
7.2,?,0.36,2.0,?,37.0,?,0.9906,?,?,?,7.0
?,?,0.39,10.4,?,20.0,142.0,0.9974,3.2,?,?,?
?,?,?,?,?,?,47.0,0.9934,3.47,?,10.2,6.0
7.4,0.25,0.36,2.05,0.05,31.0,?,?,?,?,10.8,6.0
?,0.12,?,?,?,43.0,?,?,?,0.51,9.0,?
5.8,?,?,?,?,22.0,?,0.9962,?,?,10.2,5.0
7.3,?,0.43,?,?,21.0,?,?,3.19,0.42,12.8,?
?,?,0.23,?,0.051,?,149.0,?,?,?,?,?
?,?,?,?,?,?,?,0.9906,?,0.28,11.2,6.0
?,0.24,?,?,?,?,?,0.9999,?,0.36,?,5.0
?,?,0.39,?,?,?,?,0.9999,3.21,?,?,5.0
6.7,0.23,0.39,2.5,?,63.0,?,?,3.11,?,?,6.0
?,?,0.39,?,0.173,?,157.0,?,?,0.34,9.4,?
7.0,0.31,?,7.4,0.069,?,160.0,0.9954,?,0.46,?,6.0
?,0.24,0.27,1.4,?,33.0,?,0.9934,3.22,0.56,9.5,?
6.7,0.23,?,?,?,33.0,154.0,0.9934,3.24,?,9.5,?
