@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {b, g}


@data

1.0,?,-0.05889,?,?,?,-0.37708,1.0,0.0376,?,-0.17755,?,-0.44945,0.60536,?,0.84356,-0.38542,0.58212,?,0.56971,?,0.36946,-0.47357,0.56811,-0.51171,0.41078,?,?,-0.3409,0.42267,?,0.18641,?,g
1.0,?,-0.18829,0.93035,?,?,?,?,-0.04549,0.50874,-0.67743,0.34432,-0.69707,-0.51685,-0.97515,?,-0.62237,?,-1.0,-0.13151,-0.453,-0.18056,?,?,-0.26569,?,-0.18401,-0.1904,?,?,-0.06288,-0.13738,-0.02447,b
?,?,-0.03365,1.0,0.00485,1.0,-0.12062,0.88965,?,?,0.05346,0.85443,?,?,?,0.83775,-0.13644,?,-0.0854,?,-0.27502,?,-0.12062,0.57528,-0.4022,0.58984,-0.22145,0.431,-0.17365,?,-0.2418,?,-0.38238,g
1.0,?,?,?,?,0.71216,-1.0,?,0.0,?,0.0,0.0,0.0,-1.0,0.14516,0.54094,-0.3933,?,?,?,1.0,0.0,?,?,?,?,1.0,1.0,-0.20099,?,1.0,-0.32382,1.0,?
1.0,1.0,-0.02401,0.9414,0.06531,0.92106,?,0.77152,?,0.52798,?,0.56409,?,?,-0.27457,0.5294,-0.2178,0.45107,?,?,-0.35575,0.02309,?,?,-0.65158,0.1329,-0.53206,0.02431,?,-0.05707,-0.59573,?,-0.65697,?
1.0,0.02337,?,-0.09924,-0.11949,-0.00763,-0.11824,0.14706,?,0.03786,-0.06302,0.0,0.0,?,-0.1554,-0.00343,-0.10196,?,-0.05414,?,0.03669,?,0.00888,0.03513,-0.01535,-0.0324,0.09223,-0.07859,0.00732,?,0.0,?,0.12011,?
?,0.97588,?,?,-0.208,?,?,0.85996,?,0.79766,-0.47929,0.78225,-0.50764,0.74628,?,0.57945,?,?,-0.73641,0.36324,?,?,?,0.22792,-0.81634,?,-0.8251,0.04606,?,?,-0.81318,?,-0.80975,?
?,0.0,?,0.0,?,1.0,?,0.0,0.0,-1.0,?,?,0.0,0.0,?,1.0,1.0,-1.0,-1.0,0.0,?,?,0.0,1.0,?,1.0,?,0.0,?,1.0,1.0,0.0,0.0,?
1.0,0.96355,-0.07198,?,-0.14333,1.0,-0.21313,1.0,-0.36174,0.9257,?,?,?,?,-0.46381,0.98305,?,0.84537,?,?,?,?,-0.64225,0.85106,?,?,-0.69712,0.25435,?,?,-0.72779,0.38895,-0.7342,?
1.0,?,-0.08459,0.0,?,?,?,?,?,?,-0.38172,0.0,?,-0.33656,0.38602,-0.37133,0.15018,0.63728,0.22115,?,0.0,0.0,?,-0.14803,-0.01326,?,-0.02294,?,0.0,?,0.24086,?,0.38065,b
?,?,?,1.0,-0.18388,?,?,1.0,-0.43107,1.0,?,0.96232,-0.51874,0.90711,?,0.8923,?,0.69876,-0.70997,?,-0.7632,?,?,0.55867,?,0.47211,-0.865,?,?,0.30996,-0.89093,0.22995,?,g
