@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {0, 1}


@data

1.0,0.99539,-0.05889,0.85243,?,?,?,1.0,?,?,?,0.59755,?,0.60536,-0.38223,0.84356,?,0.58212,?,0.56971,-0.29674,?,-0.47357,0.56811,?,?,?,0.21266,-0.3409,?,-0.54487,?,-0.453,1
?,?,-0.18829,?,-0.36156,-0.10868,?,1.0,-0.04549,0.50874,?,0.34432,-0.69707,-0.51685,-0.97515,?,?,?,-1.0,-0.13151,-0.453,?,?,-0.20332,-0.26569,-0.20468,-0.18401,-0.1904,-0.11593,-0.16626,-0.06288,-0.13738,-0.02447,?
1.0,1.0,-0.03365,?,?,1.0,?,0.88965,?,0.73082,0.05346,?,0.00827,0.54591,0.00299,?,?,?,-0.0854,?,?,?,-0.12062,?,-0.4022,0.58984,?,?,?,0.60436,?,0.56045,-0.38238,?
?,1.0,-0.45161,1.0,?,0.71216,-1.0,0.0,0.0,?,0.0,?,0.0,?,?,?,?,-1.0,?,-0.69975,1.0,?,0.0,1.0,0.90695,?,1.0,1.0,-0.20099,?,?,-0.32382,1.0,0
1.0,?,-0.02401,0.9414,?,?,?,?,?,?,-0.20275,?,-0.00712,0.34395,-0.27457,?,?,?,?,0.05982,-0.35575,0.02309,-0.52879,0.03286,?,0.1329,-0.53206,0.02431,?,-0.05707,-0.59573,-0.04608,-0.65697,1
1.0,0.02337,-0.00592,-0.09924,-0.11949,-0.00763,?,?,0.06637,0.03786,-0.06302,?,0.0,?,-0.1554,?,-0.10196,-0.11575,-0.05414,0.01838,0.03669,0.01519,0.00888,0.03513,-0.01535,-0.0324,0.09223,?,?,0.0,0.0,-3.9E-4,0.12011,?
1.0,0.97588,-0.10602,?,-0.208,0.92806,-0.2835,0.85996,?,?,-0.47929,0.78225,-0.50764,?,?,0.57945,-0.68086,0.37852,-0.73641,?,?,0.31898,-0.79753,0.22792,-0.81634,0.13659,-0.8251,0.04606,-0.82395,-0.04262,?,-0.13832,-0.80975,1
0.0,?,?,?,0.0,1.0,?,?,?,-1.0,?,?,?,?,0.0,1.0,1.0,-1.0,?,0.0,0.0,0.0,0.0,?,1.0,1.0,?,0.0,0.0,?,1.0,0.0,0.0,0
1.0,0.96355,-0.07198,?,-0.14333,1.0,-0.21313,1.0,?,0.9257,?,0.9451,-0.40668,0.90392,?,?,-0.35257,?,-0.6602,0.75346,?,0.69637,-0.64225,0.85106,-0.6544,0.57577,-0.69712,?,-0.63919,?,?,0.38895,?,1
