@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

?,?,0.32396,0.98535,?,?,0.0046566,0.0039465,0.04779,0.12795,0.016108,?,2.7477E-4,1.1756
0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,?,0.0050016,?,0.090476,0.0081195,0.002708,7.4846E-5,0.69659
?,1.5725,?,?,?,0.80812,?,0.010121,0.011897,0.057445,0.0032891,9.2068E-4,3.7886E-5,?
0.73797,1.4597,0.35376,0.97566,1.0,?,0.0068768,?,0.01595,?,0.0042707,0.0011544,6.6272E-5,0.58785
0.82301,?,0.44462,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,0.045339,0.0020514,5.5986E-4,2.3504E-5,0.34214
0.72997,1.4892,0.34284,0.98755,1.0,?,?,0.0044506,0.010487,0.058528,?,0.0011248,2.4798E-5,0.34068
?,1.7529,0.44458,0.97964,?,0.7677,0.0059279,0.0063954,0.018375,0.080587,0.0064523,?,4.1495E-5,?
0.77982,1.6215,0.39222,0.98512,0.99825,?,0.0050987,?,0.024875,0.089686,0.0079794,0.0024664,1.4676E-4,0.66975
0.83089,1.8199,0.45693,0.9824,1.0,0.77106,0.0060055,0.006564,0.0072447,0.040616,?,3.8812E-4,3.2863E-5,0.33696
0.90631,?,0.58336,0.97683,0.99825,0.66419,0.0084019,?,0.0070096,0.042347,0.0017901,4.5889E-4,?,0.28082
0.7459,1.4927,?,0.98296,1.0,0.83088,0.0055665,0.0056395,0.0057679,0.036511,?,3.0872E-4,3.1839E-5,?
0.79606,1.6934,?,0.98181,1.0,0.76985,0.0077992,0.011071,0.013677,?,0.0033334,8.1648E-4,1.3855E-4,?
0.93361,2.7582,?,?,1.0,?,0.0055336,0.0055731,0.029712,0.089889,0.0080153,0.0020648,?,0.91499
0.91186,?,0.60323,0.983,1.0,0.64916,0.0061494,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.3271E-5,0.67811
0.89063,2.2927,0.56667,0.98732,1.0,0.66427,0.0028365,0.0014643,0.029272,?,0.0082717,0.0022383,2.0166E-4,0.87177
?,2.009,?,?,1.0,?,0.0054439,0.0053937,0.030348,0.092063,?,?,?,0.94545
0.91852,2.5247,0.61648,0.9787,?,0.63037,0.0050494,0.0046404,0.02309,0.082029,0.0066839,?,1.2452E-4,0.71713
0.88795,2.2038,0.56218,0.97835,0.99825,0.64158,0.0059242,0.0063874,0.032722,0.092969,0.0085691,?,2.7729E-4,?
0.85121,?,0.4892,0.98622,1.0,0.70267,?,0.0028733,0.020258,0.070841,0.0049933,0.0012274,1.4929E-4,0.74174
?,?,?,0.97389,1.0,0.64598,0.015271,?,0.028461,0.086477,0.0074228,0.0018832,2.4345E-4,0.91307
0.93062,?,0.65828,?,1.0,?,0.0064894,0.0076645,0.023606,0.072237,0.005191,0.0011217,?,0.90513
