@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,?,121.54024,37.9
?,?,24.98034,121.53951,42.2
561.9845,?,24.98746,121.54391,47.3
561.9845,5.0,24.98746,121.54391,54.8
390.5684,5.0,24.97937,121.54245,43.1
2175.03,3.0,24.96305,121.51254,?
623.4731,7.0,?,?,40.3
287.6025,?,24.98042,121.54228,46.7
?,1.0,24.95095,?,18.8
1783.18,3.0,24.96731,121.51486,22.1
405.2134,1.0,24.97349,121.53372,41.4
?,9.0,24.97433,121.5431,?
492.2313,5.0,?,121.53737,?
2469.645,4.0,24.96108,121.51046,23.8
1164.838,?,?,121.53406,34.3
?,2.0,24.9824,121.54619,50.5
292.9978,6.0,?,?,70.1
?,1.0,?,121.53119,37.4
?,8.0,?,121.54451,42.3
23.38284,7.0,?,121.54102,?
2275.877,3.0,24.96314,?,29.3
?,?,24.97528,?,51.6
1360.139,?,24.95204,121.54842,24.6
279.1726,7.0,24.97528,121.54541,47.9
480.6977,4.0,?,121.53885,?
1487.868,2.0,24.97542,121.51726,?
383.8624,?,24.98085,?,56.2
276.449,5.0,?,121.53913,33.6
557.478,?,24.97419,121.53797,47.0
451.2438,5.0,24.97563,?,57.1
4519.69,0.0,24.94826,?,22.1
769.4034,7.0,24.98281,121.53408,25.0
?,1.0,24.97349,?,34.2
323.655,?,24.97841,?,49.3
?,?,?,121.54243,?
?,0.0,?,121.51816,27.3
?,2.0,24.96386,?,22.9
1360.139,?,24.95204,121.54842,?
577.9615,6.0,?,121.54722,?
289.3248,5.0,24.98203,121.54348,?
?,0.0,24.94155,121.50381,15.9
4066.587,0.0,24.94297,121.50342,?
519.4617,?,24.96305,121.53758,34.7
?,6.0,?,?,?
533.4762,4.0,24.97445,121.54765,53.9
?,8.0,24.97015,?,?
463.9623,?,24.9703,121.54458,?
?,3.0,24.97563,121.53715,61.5
4605.749,?,24.94684,121.49578,13.4
4510.359,1.0,?,?,13.2
512.5487,?,24.974,?,44.2
1758.406,?,24.95402,121.55282,20.7
1438.579,?,24.97419,?,27.0
492.2313,?,24.96515,?,38.9
289.3248,5.0,?,121.54348,?
?,0.0,24.94968,?,?
?,?,24.97254,121.54059,41.9
56.47425,7.0,24.95744,121.53711,53.5
4510.359,?,24.94925,121.49542,?
?,5.0,24.95776,121.53438,42.4
?,2.0,?,121.51471,?
259.6607,?,?,121.54516,63.2
2175.877,3.0,?,121.51254,?
?,4.0,?,121.54765,?
995.7554,0.0,24.96305,121.54915,25.3
123.7429,?,24.97635,121.54329,44.3
?,6.0,24.96571,121.54089,50.7
104.8101,5.0,24.96674,121.54067,?
464.223,6.0,24.97964,121.53805,?
561.9845,5.0,24.98746,?,42.0
90.45606,9.0,24.97433,121.5431,59.0
640.7391,3.0,24.97563,121.53715,40.8
424.5442,8.0,24.97587,121.53913,36.3
?,?,24.94155,121.50381,20.0
379.5575,10.0,24.98343,121.53762,54.4
1360.139,?,24.95204,121.54842,?
616.4004,3.0,24.97723,121.53767,36.8
?,3.0,?,121.51237,25.6
552.4371,2.0,24.97598,?,?
?,?,24.95182,121.54887,?
533.4762,4.0,24.97445,?,40.3
377.7956,?,24.96427,121.53964,36.8
150.9347,7.0,24.96725,?,?
2707.392,3.0,24.96056,121.50831,17.7
383.2805,7.0,?,121.54464,43.7
338.9679,?,24.96853,121.54413,?
1455.798,?,24.9512,121.549,27.0
4066.587,0.0,?,121.50342,18.3
1406.43,0.0,24.98573,121.52758,48.0
?,0.0,?,121.50243,?
?,?,24.9748,121.53059,?
1402.016,0.0,24.98569,121.5276,43.2
2469.645,?,?,121.51046,21.8
1146.329,?,24.9492,121.53076,16.1
167.5989,?,24.9663,?,41.0
104.8101,?,?,121.54067,?
90.45606,?,24.97433,121.5431,?
617.4424,3.0,24.97746,?,34.6
?,5.0,24.98203,121.54348,?
90.45606,9.0,24.97433,121.5431,?
964.7496,4.0,24.98872,?,38.2
?,1.0,24.97371,121.52984,32.9
?,?,24.96571,121.54089,54.4
208.3905,6.0,24.95618,121.53844,45.7
392.4459,6.0,24.96398,?,30.5
292.9978,?,24.97744,?,71.0
189.5181,?,24.97707,?,?
1360.139,1.0,24.95204,121.54842,26.6
?,2.0,?,?,34.1
2147.376,3.0,?,121.51284,?
104.8101,5.0,24.96674,121.54067,51.6
196.6172,?,24.97701,?,39.4
2102.427,3.0,24.96044,?,23.1
?,?,24.96172,121.53812,7.6
?,8.0,24.98155,121.54142,53.3
737.9161,2.0,?,121.54739,46.4
6396.283,1.0,24.94375,121.47883,12.2
4197.349,0.0,?,121.50383,?
1583.722,3.0,24.96622,121.51709,?
?,5.0,?,121.54348,?
492.2313,5.0,24.96515,121.53737,31.3
492.2313,5.0,24.96515,121.53737,48.0
414.9476,?,?,121.54464,?
185.4296,?,24.9711,121.5317,45.5
279.1726,7.0,?,?,57.4
193.5845,6.0,24.96571,?,48.6
804.6897,?,24.97838,121.53477,62.9
383.8624,5.0,?,?,55.0
124.9912,6.0,24.96674,121.54039,?
?,7.0,24.98086,?,41.0
535.527,8.0,24.98092,?,37.5
?,3.0,24.96299,121.51284,30.7
482.7581,5.0,?,121.53863,37.5
?,8.0,24.9866,?,?
186.9686,6.0,?,121.54211,?
1009.235,0.0,24.96357,121.54951,20.8
?,5.0,24.97937,121.54245,?
?,6.0,?,121.54277,47.4
942.4664,0.0,?,121.52406,43.5
492.2313,5.0,24.96515,121.53737,42.5
?,5.0,24.98203,121.54348,51.4
1559.827,?,?,121.51627,28.9
640.6071,5.0,?,121.54647,37.5
492.2313,5.0,24.96515,121.53737,40.1
?,?,?,121.54842,28.4
?,5.0,?,121.54694,?
185.4296,0.0,?,121.5317,52.2
489.8821,?,24.97017,121.54494,43.2
3780.59,0.0,24.93293,121.51203,45.1
?,?,24.97349,121.54245,39.7
170.7311,7.0,24.96719,?,48.5
387.7721,9.0,24.98118,121.53788,44.7
1360.139,1.0,24.95204,121.54842,?
?,?,24.95418,121.53713,?
4066.587,0.0,24.94297,121.50342,20.7
4082.015,0.0,24.94155,?,15.6
1264.73,?,?,?,18.3
815.9314,4.0,?,?,?
390.5684,5.0,24.97937,121.54245,?
?,4.0,24.97886,121.53464,?
49.66105,8.0,24.95836,?,?
616.4004,3.0,?,121.53767,?
4066.587,0.0,24.94297,121.50342,?
104.8101,5.0,24.96674,?,55.5
?,0.0,24.9711,121.5317,55.2
1236.564,?,24.97694,121.55391,30.6
?,6.0,24.97744,121.54458,?
?,8.0,?,121.54011,43.4
?,?,24.96299,?,?
1962.628,?,24.95468,121.55481,23.5
4527.687,0.0,24.94741,?,14.4
383.8624,5.0,24.98085,121.54391,?
?,?,24.97433,121.5431,?
401.8807,4.0,24.98326,?,?
432.0385,7.0,?,121.53778,45.2
472.1745,3.0,?,121.53758,36.5
4573.779,0.0,?,121.49507,19.2
181.0766,?,?,121.54262,?
1144.436,?,24.99176,?,?
?,1.0,24.97493,121.5273,42.6
4449.27,?,?,?,?
201.8939,?,?,121.54121,?
?,3.0,24.96299,121.51284,?
4082.015,0.0,24.94155,121.50381,18.8
?,0.0,?,121.56174,21.8
1447.286,3.0,24.97285,?,?
2185.128,?,24.96322,121.51237,?
3078.176,0.0,24.95464,121.56627,?
190.0392,8.0,24.97707,?,44.3
4066.587,0.0,?,?,?
616.5735,?,24.97945,?,?
750.0704,2.0,?,121.54951,37.8
57.58945,7.0,?,121.54069,42.7
?,5.0,24.98246,121.54477,49.3
3771.895,?,24.93363,121.51158,29.3
461.1016,5.0,24.95425,121.5399,34.6
?,?,24.981,121.54713,36.6
?,?,24.96881,121.54089,48.2
157.6052,7.0,24.96628,?,?
451.6419,8.0,24.96945,121.5449,31.6
