@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,24.98298,?,37.9
306.5947,?,24.98034,121.53951,42.2
?,5.0,24.98746,?,47.3
561.9845,5.0,24.98746,121.54391,54.8
390.5684,?,24.97937,?,43.1
2175.03,?,?,121.51254,32.1
623.4731,7.0,24.97933,121.53642,40.3
287.6025,?,?,121.54228,46.7
5512.038,1.0,24.95095,121.48458,18.8
1783.18,?,24.96731,121.51486,22.1
?,?,24.97349,?,41.4
?,?,24.97433,121.5431,58.1
492.2313,?,24.96515,?,39.3
2469.645,4.0,?,121.51046,23.8
?,4.0,?,121.53406,34.3
579.2083,2.0,24.9824,121.54619,50.5
292.9978,6.0,24.97744,?,?
350.8515,1.0,24.97544,121.53119,?
368.1363,8.0,24.9675,121.54451,42.3
?,7.0,24.96772,121.54102,?
2275.877,3.0,?,121.51151,29.3
?,7.0,?,121.54541,51.6
1360.139,1.0,?,121.54842,24.6
279.1726,7.0,24.97528,121.54541,47.9
480.6977,?,24.97353,?,?
?,2.0,?,121.51726,?
?,?,24.98085,?,56.2
?,5.0,?,121.53913,33.6
557.478,4.0,24.97419,121.53797,47.0
?,5.0,24.97563,121.54694,57.1
4519.69,?,?,121.49587,22.1
769.4034,7.0,24.98281,?,25.0
488.5727,1.0,24.97349,121.53451,?
323.655,6.0,24.97841,121.54281,49.3
?,7.0,?,121.54243,55.1
?,?,25.01459,121.51816,?
?,2.0,?,121.51458,?
1360.139,1.0,24.95204,121.54842,25.3
?,6.0,?,?,47.7
?,?,24.98203,121.54348,46.2
4082.015,0.0,24.94155,?,15.9
4066.587,?,24.94297,?,18.2
519.4617,5.0,24.96305,121.53758,?
512.7871,?,?,121.54301,?
533.4762,4.0,24.97445,?,53.9
488.8193,8.0,24.97015,121.54494,?
463.9623,?,?,?,42.0
640.7391,3.0,24.97563,121.53715,61.5
?,0.0,24.94684,121.49578,?
4510.359,?,?,?,13.2
?,4.0,24.974,121.53842,44.2
?,1.0,24.95402,?,20.7
1438.579,3.0,24.97419,121.5175,27.0
492.2313,5.0,24.96515,121.53737,38.9
289.3248,?,24.98203,?,?
