@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,24.98298,121.54024,?
306.5947,9.0,24.98034,?,?
?,5.0,24.98746,121.54391,47.3
561.9845,5.0,24.98746,121.54391,54.8
390.5684,5.0,?,?,43.1
?,3.0,?,?,?
623.4731,7.0,24.97933,121.53642,40.3
287.6025,?,?,?,46.7
?,1.0,24.95095,?,18.8
?,?,24.96731,?,?
?,1.0,24.97349,121.53372,?
?,?,24.97433,?,?
492.2313,5.0,24.96515,?,39.3
?,4.0,?,121.51046,23.8
1164.838,?,?,?,?
579.2083,2.0,?,?,?
?,6.0,24.97744,121.54458,?
350.8515,?,?,121.53119,?
368.1363,8.0,24.9675,?,?
?,7.0,?,?,47.7
?,3.0,24.96314,121.51151,?
279.1726,?,?,?,51.6
1360.139,?,24.95204,?,?
279.1726,?,?,121.54541,?
480.6977,?,?,?,?
1487.868,2.0,24.97542,?,27.0
383.8624,?,24.98085,?,?
?,?,?,?,33.6
?,4.0,?,?,?
451.2438,5.0,?,121.54694,57.1
?,0.0,24.94826,121.49587,22.1
769.4034,7.0,?,121.53408,25.0
488.5727,1.0,?,?,34.2
323.655,?,?,?,?
205.367,?,?,121.54243,?
?,0.0,25.01459,121.51816,27.3
1935.009,2.0,?,?,22.9
1360.139,?,24.95204,121.54842,?
?,?,?,121.54722,47.7
?,?,?,?,46.2
4082.015,?,?,121.50381,?
4066.587,?,24.94297,121.50342,?
519.4617,?,24.96305,121.53758,34.7
?,6.0,?,?,34.1
533.4762,4.0,24.97445,?,53.9
488.8193,8.0,24.97015,?,38.3
463.9623,9.0,?,121.54458,42.0
?,3.0,24.97563,?,61.5
4605.749,?,?,121.49578,13.4
4510.359,1.0,?,121.49542,13.2
512.5487,?,?,121.53842,?
?,?,24.95402,121.55282,?
1438.579,?,?,?,?
492.2313,5.0,?,121.53737,?
?,?,?,?,51.7
1160.632,0.0,?,121.53009,13.7
?,8.0,?,?,?
56.47425,?,?,121.53711,?
?,?,24.94925,121.49542,22.6
?,5.0,?,121.53438,42.4
?,2.0,24.96365,?,?
?,?,?,121.54516,?
?,3.0,?,121.51254,?
?,4.0,24.97445,121.54765,55.0
?,0.0,24.96305,121.54915,?
123.7429,?,24.97635,?,44.3
?,6.0,24.96571,121.54089,?
?,?,?,121.54067,?
464.223,?,24.97964,121.53805,36.2
?,5.0,?,?,?
?,9.0,?,?,59.0
?,3.0,?,?,40.8
?,8.0,?,?,?
?,0.0,?,121.50381,20.0
379.5575,?,?,121.53762,?
1360.139,?,?,121.54842,?
?,3.0,24.97723,121.53767,?
?,3.0,?,121.51237,?
552.4371,?,?,?,?
?,?,24.95182,121.54887,26.5
533.4762,?,24.97445,121.54765,?
377.7956,6.0,?,121.53964,?
?,7.0,24.96725,121.54252,48.1
2707.392,?,?,?,17.7
?,7.0,24.96735,121.54464,43.7
?,9.0,?,121.54413,50.8
?,1.0,?,?,?
4066.587,0.0,24.94297,?,18.3
?,?,?,?,48.0
3947.945,0.0,?,121.50243,?
274.0144,1.0,24.9748,?,45.4
?,0.0,24.98569,?,43.2
?,?,24.96108,?,?
1146.329,?,?,?,?
?,?,?,?,?
104.8101,?,?,121.54067,51.8
?,9.0,24.97433,121.5431,59.5
?,3.0,24.97746,?,?
289.3248,?,24.98203,?,?
?,?,?,?,?
964.7496,?,24.98872,?,?
?,1.0,24.97371,?,?
?,6.0,?,121.54089,?
?,6.0,?,?,45.7
392.4459,?,?,121.5425,30.5
292.9978,6.0,24.97744,121.54458,71.0
189.5181,?,?,?,?
1360.139,?,24.95204,?,26.6
592.5006,?,?,121.53561,34.1
2147.376,?,24.96299,121.51284,?
?,?,24.96674,?,51.6
?,?,?,121.54224,39.4
?,3.0,24.96044,?,?
?,6.0,24.96172,121.53812,7.6
?,?,?,?,53.3
?,2.0,?,?,46.4
?,1.0,24.94375,?,?
4197.349,?,?,?,?
?,?,?,121.51709,?
?,5.0,?,?,?
492.2313,?,?,121.53737,?
?,?,?,121.53737,48.0
?,4.0,?,121.54464,32.5
185.4296,?,24.9711,?,?
279.1726,7.0,?,?,57.4
?,6.0,24.96571,?,?
?,?,24.97838,?,?
?,?,24.98085,?,?
?,?,?,?,60.7
?,7.0,?,121.54162,?
535.527,8.0,?,?,?
?,?,?,?,30.7
482.7581,?,?,121.53863,?
373.3937,?,?,121.54082,?
186.9686,6.0,?,?,42.2
1009.235,0.0,24.96357,?,?
?,5.0,?,?,46.8
319.0708,?,24.96495,121.54277,47.4
?,0.0,?,121.52406,43.5
492.2313,?,24.96515,?,?
289.3248,5.0,?,?,?
1559.827,?,?,121.51627,?
?,?,?,121.54647,37.5
?,?,?,121.53737,?
1360.139,1.0,?,121.54842,28.4
451.2438,?,?,?,?
?,0.0,24.9711,121.5317,52.2
489.8821,?,24.97017,?,43.2
?,0.0,24.93293,?,?
?,?,?,121.54245,?
?,7.0,24.96719,121.54269,48.5
?,?,?,?,44.7
1360.139,?,24.95204,121.54842,?
376.1709,?,?,121.53713,?
?,0.0,?,121.50342,?
?,?,?,?,?
?,0.0,24.94883,121.52954,?
