@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,24.98298,121.54024,37.9
?,?,24.98034,121.53951,42.2
?,?,?,121.54391,47.3
?,?,24.98746,121.54391,54.8
390.5684,?,24.97937,?,43.1
2175.03,3.0,24.96305,121.51254,?
?,?,24.97933,?,?
?,6.0,24.98042,121.54228,?
?,?,24.95095,?,?
1783.18,3.0,?,121.51486,22.1
405.2134,1.0,?,121.53372,?
90.45606,?,?,?,?
492.2313,?,24.96515,?,?
2469.645,4.0,?,?,23.8
1164.838,4.0,?,121.53406,?
?,?,?,?,?
?,6.0,24.97744,?,?
?,1.0,?,121.53119,?
?,8.0,?,?,?
23.38284,7.0,?,121.54102,47.7
2275.877,?,24.96314,121.51151,?
279.1726,?,24.97528,?,?
1360.139,?,24.95204,121.54842,?
?,7.0,?,121.54541,47.9
480.6977,4.0,24.97353,?,?
?,?,24.97542,121.51726,27.0
383.8624,5.0,24.98085,121.54391,?
?,5.0,?,?,33.6
557.478,4.0,?,121.53797,47.0
451.2438,?,24.97563,?,?
?,?,24.94826,?,?
?,?,?,121.53408,25.0
488.5727,?,24.97349,?,?
323.655,?,?,121.54281,?
205.367,?,24.98419,?,55.1
4079.418,0.0,?,?,?
1935.009,?,?,?,?
?,1.0,?,?,?
577.9615,6.0,24.97201,?,47.7
?,5.0,24.98203,121.54348,?
?,?,24.94155,121.50381,?
?,0.0,?,?,?
?,5.0,?,121.53758,?
?,?,24.98748,?,?
?,4.0,24.97445,121.54765,53.9
488.8193,?,?,121.54494,?
?,9.0,?,121.54458,42.0
?,3.0,?,?,61.5
?,?,24.94684,?,?
?,1.0,24.94925,121.49542,13.2
512.5487,?,24.974,?,?
?,1.0,24.95402,121.55282,?
1438.579,?,24.97419,?,27.0
?,?,?,?,?
?,5.0,24.98203,121.54348,51.7
?,0.0,?,121.53009,?
371.2495,8.0,?,121.54059,41.9
?,7.0,24.95744,?,?
?,?,24.94925,?,?
?,5.0,24.95776,?,42.4
1931.207,2.0,?,?,?
259.6607,?,?,121.54516,?
?,3.0,24.96303,121.51254,?
?,?,24.97445,?,?
?,0.0,?,?,25.3
123.7429,8.0,?,121.54329,?
193.5845,?,?,121.54089,?
?,5.0,24.96674,?,?
464.223,?,24.97964,?,?
561.9845,5.0,24.98746,?,?
90.45606,?,?,?,?
?,3.0,24.97563,?,?
424.5442,8.0,?,121.53913,36.3
4082.015,0.0,24.94155,121.50381,20.0
?,10.0,?,121.53762,54.4
?,1.0,24.95204,121.54842,?
616.4004,?,24.97723,121.53767,36.8
