@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

?,10.0,?,121.54024,?
?,?,24.98034,?,?
561.9845,?,?,?,47.3
?,5.0,24.98746,?,54.8
390.5684,5.0,?,121.54245,?
?,?,24.96305,121.51254,?
623.4731,7.0,?,?,40.3
287.6025,?,24.98042,121.54228,46.7
?,1.0,?,?,18.8
1783.18,?,?,?,22.1
405.2134,?,24.97349,?,41.4
?,?,?,121.5431,?
492.2313,5.0,?,121.53737,?
2469.645,4.0,24.96108,121.51046,23.8
1164.838,?,?,121.53406,?
?,2.0,?,?,50.5
292.9978,6.0,?,?,70.1
?,1.0,?,121.53119,?
?,8.0,?,121.54451,42.3
23.38284,?,?,121.54102,?
2275.877,3.0,24.96314,?,?
?,?,24.97528,?,51.6
1360.139,?,24.95204,121.54842,?
279.1726,7.0,24.97528,?,47.9
480.6977,?,?,121.53885,?
1487.868,2.0,24.97542,121.51726,?
383.8624,?,24.98085,?,56.2
276.449,5.0,?,?,33.6
557.478,?,24.97419,?,?
451.2438,5.0,?,?,57.1
?,?,?,?,22.1
769.4034,7.0,24.98281,?,25.0
?,?,24.97349,?,34.2
323.655,?,24.97841,?,49.3
?,?,?,121.54243,?
?,0.0,?,121.51816,27.3
?,?,24.96386,?,22.9
?,?,?,121.54842,?
?,6.0,?,121.54722,?
289.3248,5.0,24.98203,121.54348,?
?,?,?,121.50381,15.9
4066.587,0.0,24.94297,121.50342,?
519.4617,?,?,?,34.7
?,?,?,?,?
533.4762,4.0,24.97445,?,?
?,8.0,?,?,?
463.9623,?,?,121.54458,?
?,3.0,24.97563,121.53715,61.5
?,?,24.94684,121.49578,13.4
4510.359,1.0,?,?,?
512.5487,?,24.974,?,44.2
1758.406,?,?,121.55282,?
1438.579,?,?,?,?
492.2313,?,?,?,?
?,?,?,121.54348,?
?,0.0,?,?,?
?,?,24.97254,?,?
56.47425,7.0,24.95744,121.53711,53.5
4510.359,?,24.94925,121.49542,?
?,5.0,24.95776,?,?
?,2.0,?,121.51471,?
259.6607,?,?,121.54516,63.2
2175.877,?,?,121.51254,?
?,4.0,?,121.54765,?
995.7554,0.0,24.96305,121.54915,25.3
123.7429,?,24.97635,121.54329,44.3
?,6.0,24.96571,121.54089,50.7
104.8101,?,24.96674,121.54067,?
?,6.0,24.97964,121.53805,?
561.9845,5.0,24.98746,?,42.0
?,9.0,?,121.5431,59.0
640.7391,3.0,?,121.53715,40.8
?,8.0,24.97587,121.53913,36.3
?,?,?,?,20.0
379.5575,10.0,24.98343,121.53762,54.4
1360.139,?,24.95204,?,?
616.4004,3.0,?,121.53767,36.8
?,3.0,?,121.51237,?
552.4371,2.0,24.97598,?,?
?,?,?,121.54887,?
533.4762,4.0,24.97445,?,40.3
377.7956,?,?,?,36.8
150.9347,7.0,?,?,?
?,3.0,24.96056,121.50831,17.7
?,7.0,?,121.54464,43.7
?,?,24.96853,?,?
?,?,?,121.549,27.0
4066.587,0.0,?,121.50342,?
?,0.0,24.98573,121.52758,48.0
?,?,?,121.50243,?
?,?,24.9748,121.53059,?
1402.016,0.0,24.98569,121.5276,43.2
?,?,?,121.51046,?
?,?,24.9492,121.53076,16.1
167.5989,?,24.9663,?,41.0
104.8101,?,?,?,?
90.45606,?,24.97433,121.5431,?
617.4424,3.0,24.97746,?,34.6
?,?,24.98203,121.54348,?
90.45606,9.0,?,121.5431,?
964.7496,4.0,24.98872,?,38.2
?,1.0,?,121.52984,?
?,?,?,?,54.4
?,?,24.95618,?,?
392.4459,?,24.96398,?,30.5
292.9978,?,?,?,?
189.5181,?,?,?,?
1360.139,?,?,121.54842,26.6
?,2.0,?,?,34.1
2147.376,3.0,?,121.51284,?
104.8101,5.0,?,121.54067,51.6
?,?,24.97701,?,39.4
2102.427,3.0,24.96044,?,23.1
?,?,24.96172,121.53812,?
?,8.0,24.98155,121.54142,?
737.9161,?,?,121.54739,?
6396.283,1.0,24.94375,121.47883,12.2
4197.349,0.0,?,?,?
1583.722,3.0,24.96622,121.51709,?
?,?,?,121.54348,?
?,5.0,24.96515,121.53737,?
?,5.0,24.96515,121.53737,48.0
?,?,?,?,?
?,?,24.9711,?,?
279.1726,7.0,?,?,57.4
?,6.0,24.96571,?,?
?,?,?,121.53477,62.9
383.8624,?,?,?,55.0
124.9912,?,?,121.54039,?
?,?,?,?,41.0
535.527,8.0,?,?,37.5
?,3.0,24.96299,?,30.7
482.7581,5.0,?,121.53863,?
?,8.0,24.9866,?,?
?,?,?,121.54211,?
1009.235,0.0,24.96357,?,20.8
?,5.0,?,121.54245,?
?,6.0,?,?,47.4
942.4664,?,?,121.52406,?
492.2313,5.0,24.96515,?,42.5
?,5.0,24.98203,121.54348,51.4
1559.827,?,?,121.51627,28.9
?,5.0,?,121.54647,?
492.2313,5.0,24.96515,121.53737,40.1
?,?,?,121.54842,28.4
?,?,?,?,?
185.4296,0.0,?,?,52.2
489.8821,?,24.97017,?,?
3780.59,0.0,24.93293,121.51203,?
?,?,24.97349,121.54245,?
?,7.0,24.96719,?,48.5
387.7721,9.0,24.98118,?,44.7
?,1.0,24.95204,?,?
?,?,24.95418,121.53713,?
4066.587,?,?,121.50342,20.7
?,?,24.94155,?,15.6
1264.73,?,?,?,18.3
?,4.0,?,?,?
390.5684,5.0,?,121.54245,?
?,?,24.97886,121.53464,?
?,8.0,24.95836,?,?
?,3.0,?,?,?
4066.587,0.0,24.94297,?,?
104.8101,5.0,24.96674,?,?
?,0.0,24.9711,?,55.2
1236.564,?,?,121.55391,30.6
?,6.0,?,?,?
?,8.0,?,121.54011,43.4
?,?,?,?,?
?,?,24.95468,121.55481,?
4527.687,0.0,?,?,14.4
383.8624,?,24.98085,121.54391,?
?,?,24.97433,121.5431,?
401.8807,4.0,24.98326,?,?
?,7.0,?,121.53778,45.2
472.1745,?,?,121.53758,36.5
4573.779,0.0,?,121.49507,19.2
181.0766,?,?,?,?
1144.436,?,24.99176,?,?
?,1.0,24.97493,121.5273,42.6
?,?,?,?,?
201.8939,?,?,?,?
?,3.0,24.96299,?,?
?,0.0,24.94155,?,18.8
?,0.0,?,?,21.8
