@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

0.49,0.29,0.48,0.56,0.24,?,?
0.07,?,?,0.54,0.35,?,?
0.56,0.4,?,0.49,0.37,?,0
0.59,0.49,?,?,0.45,?,0
?,?,0.48,?,?,0.35,0
0.67,0.39,0.48,0.36,?,?,0
0.29,0.28,?,?,?,?,0
?,?,?,?,?,?,?
?,0.44,0.48,?,0.51,?,?
?,?,?,?,?,?,0
?,0.24,?,0.57,?,0.37,?
?,?,?,?,0.17,?,?
?,0.32,?,?,0.24,?,?
?,0.5,?,0.46,0.32,0.35,0
?,0.43,0.48,?,?,?,?
0.25,?,?,?,?,?,0
?,0.45,?,0.38,0.24,?,?
?,?,0.48,?,0.52,?,?
?,0.4,?,0.39,?,?,0
?,0.57,?,?,0.21,?,0
?,?,0.48,0.38,0.22,?,0
?,?,?,0.73,0.05,?,?
?,0.54,0.48,?,?,?,0
?,?,0.48,0.56,0.11,0.23,?
0.36,0.39,?,?,?,0.23,?
0.29,0.37,?,0.48,?,?,?
0.25,?,0.48,?,?,?,0
?,?,0.48,0.5,0.32,0.41,?
0.43,?,0.48,0.53,?,?,?
?,0.39,0.48,0.47,?,?,0
?,0.38,?,?,0.26,0.36,0
?,?,0.48,0.38,0.35,0.44,?
0.56,?,?,?,?,0.46,0
0.4,0.29,?,?,0.35,0.44,?
?,0.35,0.48,?,?,?,?
?,0.54,?,0.41,?,?,?
?,0.52,0.48,?,?,0.39,0
0.65,?,?,0.59,?,0.4,?
0.32,?,?,0.35,?,0.38,?
?,0.46,?,?,?,?,?
?,?,0.48,?,0.32,?,0
?,?,0.48,?,0.41,?,0
?,?,?,?,?,0.47,?
?,?,0.48,?,0.33,0.42,?
0.61,?,?,?,?,?,?
?,?,0.48,?,?,0.5,?
?,?,?,0.55,?,?,?
0.43,?,0.48,0.39,0.28,?,0
?,?,?,?,0.15,0.27,?
0.23,?,?,0.43,0.33,0.43,0
?,?,?,?,0.42,0.36,?
0.29,0.3,0.48,?,?,?,?
?,0.36,?,0.35,?,?,0
0.23,0.58,?,?,?,?,0
?,?,?,?,?,?,0
?,?,?,?,?,?,0
0.51,?,?,?,?,?,0
?,0.35,?,?,0.33,0.42,0
?,0.34,0.48,0.3,?,?,?
0.42,?,0.48,0.54,?,0.43,?
?,0.56,?,0.5,0.46,?,0
0.52,0.36,?,?,0.28,0.38,?
?,0.41,?,?,?,0.54,?
?,?,?,?,0.24,0.35,0
?,?,?,0.51,?,0.43,?
0.24,0.43,?,0.54,?,?,?
0.25,?,0.48,?,?,0.42,?
?,?,?,?,?,?,0
0.25,0.37,?,0.43,?,0.36,0
?,?,?,0.56,?,?,?
?,0.26,0.48,?,?,?,?
?,0.51,?,?,0.26,?,?
0.37,?,?,0.42,?,?,?
?,0.42,0.48,0.42,?,?,0
?,?,0.48,?,0.28,?,0
?,?,0.48,?,?,0.36,?
?,?,?,?,?,?,?
0.41,?,0.48,?,?,?,0
?,?,0.48,0.43,?,0.37,0
?,0.41,0.48,?,0.38,?,0
0.34,?,0.48,?,?,0.44,?
?,0.43,?,?,0.31,0.41,0
?,?,0.48,0.41,?,0.34,?
?,?,?,?,0.31,0.41,0
