@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,0.29,?,0.5,0.56,?,?,cp
?,?,0.48,?,0.54,?,?,?
0.56,0.4,?,0.5,0.49,0.37,0.46,?
0.59,0.49,0.48,?,?,0.45,?,cp
?,?,?,0.5,?,?,?,?
0.67,0.39,?,?,0.36,?,?,cp
0.29,0.28,?,0.5,0.44,0.23,0.34,cp
?,0.34,0.48,?,0.51,?,0.39,cp
?,0.44,0.48,?,?,?,?,cp
0.42,0.4,?,?,0.56,?,?,?
?,?,0.48,?,?,0.27,0.37,?
?,?,?,0.5,?,0.17,?,?
?,?,?,0.5,0.46,?,0.35,cp
0.51,?,?,0.5,?,?,0.35,?
?,?,?,0.5,?,?,?,cp
?,0.4,?,?,?,0.44,?,?
0.34,?,?,0.5,0.38,?,?,cp
?,?,?,?,0.55,0.52,?,cp
0.23,0.4,?,?,0.39,0.28,0.38,?
?,?,0.48,?,?,0.21,?,?
?,?,0.48,?,?,0.22,0.0,cp
?,?,?,?,?,?,?,?
0.51,?,0.48,0.5,?,?,?,?
?,?,0.48,?,0.56,?,?,cp
0.36,0.39,?,?,0.48,0.22,?,cp
0.29,0.37,0.48,0.5,0.48,?,0.52,?
?,0.4,0.48,?,0.47,?,0.42,?
?,0.51,?,0.5,0.5,0.32,0.41,?
0.43,?,0.48,?,?,?,?,?
0.43,?,0.48,?,?,?,0.41,?
?,?,0.48,?,0.44,0.26,0.36,?
?,0.33,0.48,?,0.38,0.35,0.44,?
0.56,?,0.48,?,?,?,0.46,?
?,?,0.48,?,?,0.35,?,?
?,?,?,?,?,0.19,0.31,cp
?,0.54,0.48,?,?,0.38,0.46,cp
?,0.52,?,?,?,?,?,cp
0.65,?,0.48,0.5,?,?,0.4,cp
?,?,?,?,?,0.28,?,?
?,0.46,?,?,0.48,0.22,0.29,?
?,0.45,0.48,0.5,?,?,?,?
?,?,?,0.5,0.59,?,0.49,?
?,0.5,0.48,?,?,?,?,cp
0.28,?,0.48,?,0.5,?,0.42,?
?,?,0.48,0.5,?,?,0.41,?
0.17,?,0.48,?,?,0.42,?,?
?,0.35,?,0.5,0.55,0.55,?,?
0.43,?,0.48,?,?,0.28,0.39,?
0.42,?,0.48,?,?,?,0.27,?
?,?,?,?,0.43,0.33,0.43,?
?,?,?,0.5,?,0.42,?,cp
?,0.3,0.48,?,0.45,0.03,0.17,cp
?,0.36,?,?,?,0.39,?,cp
0.23,0.58,?,0.5,?,?,0.59,cp
?,?,0.48,0.5,?,?,0.26,cp
?,?,0.48,0.5,0.28,0.33,0.42,?
0.51,0.37,?,?,?,0.36,?,cp
?,?,0.48,?,?,?,0.42,?
?,?,?,?,0.3,?,?,cp
?,0.38,0.48,?,?,0.34,?,cp
?,?,?,?,?,?,?,?
?,?,?,0.5,0.41,?,?,cp
0.36,?,0.48,?,?,?,?,?
?,?,0.48,0.5,?,?,?,?
0.47,?,?,0.5,?,0.33,0.43,?
?,?,0.48,?,0.54,?,0.59,?
0.25,?,?,?,0.41,0.33,0.42,cp
0.52,?,0.48,0.5,0.42,?,?,cp
?,?,?,?,0.43,?,0.36,?
?,?,?,?,?,?,?,cp
?,0.26,0.48,?,0.34,?,0.35,?
0.44,0.51,?,0.5,?,0.26,0.36,?
0.37,0.5,?,?,?,0.36,?,?
?,?,?,?,0.42,?,?,?
?,?,0.48,?,?,0.28,0.38,?
?,0.3,?,0.5,?,0.26,?,?
0.48,?,0.48,?,0.45,0.25,0.35,?
0.41,0.48,?,?,?,?,0.51,?
0.44,?,0.48,0.5,0.43,?,?,cp
?,?,?,?,0.48,?,0.46,?
0.34,?,?,?,0.41,0.35,?,?
0.41,?,0.48,?,?,?,?,?
?,0.47,0.48,0.5,0.41,?,0.34,?
?,?,0.48,?,0.58,?,?,?
?,0.56,0.48,?,0.43,?,0.53,?
0.4,?,0.48,?,?,?,0.56,cp
?,0.49,?,?,?,?,?,cp
0.52,?,?,?,?,?,?,?
0.5,0.51,?,0.5,0.27,?,?,?
0.53,?,0.48,?,0.16,?,0.39,?
0.34,?,0.48,?,?,?,?,?
0.4,0.42,?,?,?,?,0.27,?
?,?,?,?,?,?,0.25,?
?,0.45,0.48,0.5,?,?,0.32,cp
0.31,0.47,?,0.5,?,?,0.39,?
?,?,0.48,?,0.45,?,?,?
?,?,0.48,?,?,?,?,?
?,?,?,?,?,0.28,?,cp
0.65,?,?,0.5,0.34,0.37,?,cp
0.51,0.46,0.48,0.5,?,?,0.41,cp
?,?,?,?,?,?,?,?
?,?,0.48,0.5,?,0.34,?,cp
0.38,0.26,?,?,?,?,?,cp
?,?,?,?,?,0.18,0.29,?
?,?,?,?,0.38,?,0.4,?
?,0.5,0.48,?,?,?,?,cp
?,?,0.48,?,0.39,0.38,?,?
0.43,0.32,0.48,?,0.33,0.45,0.52,?
0.49,?,0.48,0.5,?,?,?,?
?,0.28,0.48,?,?,0.2,?,cp
?,?,?,?,0.6,?,0.2,?
0.34,0.35,?,?,?,0.49,?,cp
?,0.34,?,?,0.46,0.3,0.27,?
0.38,?,?,?,0.43,0.29,?,cp
?,?,?,?,0.43,0.2,?,cp
0.41,?,?,?,?,?,?,cp
?,?,?,0.5,0.41,0.34,0.43,cp
?,?,?,?,?,?,0.26,cp
?,0.51,?,?,?,0.42,?,?
?,0.28,0.48,0.5,0.5,?,?,?
0.25,?,0.48,?,0.39,0.32,0.42,cp
0.24,?,?,?,0.49,?,0.34,?
?,0.39,0.48,0.5,0.53,?,0.39,?
0.04,?,?,?,?,?,?,cp
?,?,?,?,?,0.35,?,?
0.34,?,?,0.5,?,0.37,0.46,?
0.28,?,0.48,?,?,0.22,?,cp
0.4,?,0.48,?,0.42,0.35,?,cp
?,?,?,?,?,?,0.37,?
?,0.44,?,0.5,?,?,0.47,?
?,?,?,?,?,?,?,cp
0.39,0.31,?,?,?,?,0.43,cp
