@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,0.29,0.48,0.5,?,0.24,0.35,cp
?,0.4,0.48,0.5,0.54,0.35,?,?
?,?,?,0.5,0.49,0.37,?,?
0.59,0.49,?,?,0.52,0.45,?,cp
0.23,0.32,?,?,0.55,0.25,?,?
?,?,0.48,?,0.36,?,0.46,cp
?,0.28,0.48,0.5,0.44,?,?,cp
?,0.34,0.48,?,0.51,0.28,?,?
?,0.44,?,?,0.46,0.51,?,?
0.42,?,?,?,?,0.18,0.3,?
?,?,?,?,?,0.27,0.37,cp
0.25,?,?,?,0.44,?,0.29,?
0.39,?,?,?,?,0.24,?,?
?,?,?,?,?,?,?,?
?,?,0.48,0.5,0.48,?,?,?
0.25,0.4,0.48,?,0.46,?,?,?
?,?,0.48,0.5,?,?,?,?
?,?,?,0.5,0.55,0.52,0.58,cp
0.23,?,0.48,0.5,?,?,0.38,?
0.41,0.57,0.48,0.5,?,?,?,?
?,0.45,?,?,?,?,?,cp
?,?,?,?,0.73,0.05,0.14,?
?,?,?,0.5,0.41,?,?,cp
0.3,?,0.48,?,0.56,0.11,?,cp
?,0.39,?,0.5,?,?,?,?
?,?,?,?,?,0.44,?,?
?,?,0.48,0.5,?,?,?,?
?,?,?,0.5,0.5,?,0.41,?
0.43,?,0.48,0.5,0.53,0.35,0.44,?
0.43,?,0.48,0.5,?,?,?,?
?,?,?,?,?,0.26,?,?
0.34,?,?,?,?,?,?,?
?,?,0.48,?,0.34,?,0.46,cp
0.4,0.29,?,?,0.42,?,?,?
0.24,?,0.48,?,0.31,?,?,?
?,0.54,0.48,?,?,0.38,0.46,?
?,?,0.48,0.5,0.42,?,0.39,cp
?,0.47,?,?,0.59,?,0.4,?
?,0.42,0.48,?,?,0.28,?,cp
?,0.46,0.48,?,?,0.22,?,cp
0.33,0.45,0.48,?,?,0.32,?,?
?,?,0.48,0.5,0.59,0.41,?,cp
?,?,0.48,?,0.45,0.39,0.47,?
?,?,?,?,?,0.33,0.42,cp
?,?,?,?,0.48,0.35,?,?
?,0.38,?,?,0.45,0.42,0.5,?
0.44,0.35,0.48,?,0.55,0.55,0.61,?
?,?,?,?,0.39,0.28,?,cp
0.42,?,?,0.5,0.58,?,?,cp
0.23,?,?,0.5,?,0.33,?,?
?,0.52,?,?,?,0.42,?,cp
?,?,?,?,?,0.03,?,?
?,?,?,0.5,0.35,?,0.47,cp
?,?,?,?,?,?,0.59,?
?,?,?,?,0.22,?,?,?
0.54,0.47,?,?,0.28,?,?,?
0.51,0.37,?,0.5,0.35,?,?,cp
0.4,?,0.48,?,0.45,?,?,cp
?,?,?,0.5,?,?,?,cp
0.42,?,0.48,?,?,?,?,cp
0.44,0.56,?,?,?,?,0.54,?
?,?,?,0.5,?,0.28,0.38,?
0.36,0.41,0.48,?,?,?,?,?
?,?,?,?,?,?,0.35,?
?,?,?,?,?,?,0.43,cp
?,0.43,?,0.5,?,0.52,0.59,?
0.25,0.37,?,0.5,?,0.33,?,cp
0.52,?,0.48,?,?,?,0.54,?
?,?,?,0.5,?,?,?,?
?,?,0.48,?,0.56,0.4,0.48,?
0.26,0.26,0.48,?,0.34,0.25,0.35,?
0.44,0.51,?,?,0.47,0.26,?,cp
?,0.5,0.48,?,0.42,?,0.45,?
?,0.42,0.48,?,0.42,0.25,?,cp
0.24,0.43,?,0.5,?,?,?,?
?,?,?,?,0.48,0.26,?,?
?,?,?,0.5,?,?,?,cp
?,?,0.48,?,0.51,0.44,?,cp
?,?,?,0.5,?,?,?,?
?,?,?,?,?,0.38,?,cp
0.34,?,0.48,?,?,0.35,?,?
?,?,?,?,?,?,?,?
0.29,0.47,0.48,0.5,?,?,?,?
0.34,0.55,?,?,?,?,?,cp
0.36,0.56,?,?,0.43,0.45,?,?
0.4,0.46,?,0.5,0.52,0.49,?,?
?,?,?,0.5,0.49,?,?,?
?,?,0.48,?,?,?,0.42,?
0.5,0.51,?,0.5,0.27,?,?,cp
?,0.42,0.48,?,0.16,0.29,?,?
0.34,0.46,0.48,?,?,?,?,?
?,?,?,?,?,0.27,0.27,cp
0.41,0.43,?,?,0.5,0.24,?,cp
0.3,?,0.48,?,?,?,?,?
?,?,0.48,?,?,0.28,?,?
?,?,?,0.5,?,0.35,?,cp
?,?,?,?,?,?,0.43,?
0.57,?,?,?,0.37,0.28,0.33,cp
0.65,?,0.48,0.5,0.34,0.37,?,?
0.51,0.46,0.48,?,0.58,0.31,?,?
?,?,0.48,?,?,?,?,?
?,?,?,0.5,?,?,?,?
?,?,?,0.5,?,?,0.28,cp
?,?,?,0.5,?,0.18,0.29,?
?,?,0.48,0.5,0.38,?,?,cp
0.26,0.5,0.48,0.5,?,0.32,?,cp
?,0.49,0.48,0.5,?,0.38,?,?
?,?,?,0.5,?,?,?,?
?,?,?,?,0.49,0.3,0.4,?
0.47,0.28,0.48,?,?,?,?,?
?,?,?,?,?,?,?,cp
0.34,?,?,0.5,0.51,0.49,?,?
?,?,?,?,0.46,?,?,?
?,0.3,?,?,?,0.29,0.39,?
0.38,0.44,?,?,0.43,?,0.31,?
?,?,?,?,?,?,0.31,cp
0.34,?,0.48,0.5,?,0.34,0.43,?
?,?,?,0.5,?,0.14,?,cp
0.25,?,0.48,0.5,0.37,0.42,0.5,?
0.29,?,?,?,?,?,?,?
0.25,0.26,?,?,0.39,0.32,0.42,cp
?,?,0.48,?,0.49,?,?,cp
0.17,?,0.48,?,?,?,0.39,cp
0.04,?,?,0.5,?,0.29,?,cp
0.61,?,?,?,?,0.35,0.44,cp
?,0.51,0.48,?,0.44,?,?,?
?,?,?,?,?,?,?,?
?,?,0.48,?,?,?,0.44,cp
?,0.34,?,?,?,?,?,?
?,?,0.48,0.5,?,?,?,?
0.0,?,?,0.5,0.42,?,0.55,cp
?,0.31,?,?,?,?,0.43,cp
?,0.44,0.48,?,0.49,?,0.33,?
0.27,?,?,?,0.71,?,0.39,?
?,0.52,?,0.5,0.49,?,0.46,?
0.36,?,?,0.5,?,?,?,?
0.3,?,0.48,?,?,0.18,?,?
0.26,?,?,?,?,?,0.37,cp
0.4,0.41,?,0.5,0.55,?,0.33,cp
?,0.34,0.48,0.5,?,?,?,?
0.44,?,0.48,?,?,?,?,cp
0.27,0.42,0.48,0.5,?,0.38,?,cp
?,?,?,0.5,0.54,?,0.37,?
?,0.61,0.48,0.5,?,0.92,?,?
?,0.52,?,?,?,?,?,?
?,?,0.48,0.5,?,0.82,?,?
0.23,?,0.48,0.5,?,?,?,im
?,?,0.48,?,0.58,?,?,?
?,?,?,0.5,0.58,?,?,im
?,0.61,0.48,?,0.48,0.86,0.87,im
?,0.35,0.48,?,?,0.77,?,im
?,?,?,0.5,?,?,?,?
?,?,?,?,?,?,0.69,?
?,?,?,?,?,?,0.8,?
0.12,0.67,?,0.5,?,?,?,im
0.4,?,?,?,?,?,0.84,?
0.73,0.36,0.48,0.5,?,?,?,im
?,0.44,?,0.5,?,0.71,?,?
?,?,0.48,?,0.6,?,?,?
?,?,?,?,0.4,?,?,?
?,0.41,?,?,?,?,?,?
?,?,?,?,?,0.92,?,?
?,?,0.48,?,?,0.66,?,im
?,?,0.48,?,?,?,?,im
?,0.56,0.48,?,0.33,0.78,0.8,im
0.64,?,?,?,?,?,0.73,?
?,?,0.48,?,?,?,?,?
?,?,0.48,?,?,?,?,?
0.63,?,0.48,?,?,?,?,im
?,?,0.48,0.5,?,0.79,?,im
?,0.5,0.48,?,?,?,?,im
?,?,?,?,0.55,?,0.89,?
?,?,0.48,?,?,0.88,?,?
?,0.4,?,0.5,?,0.74,0.77,im
?,?,?,?,?,0.7,?,?
0.5,?,0.48,?,0.66,?,0.69,?
?,?,?,0.5,0.59,0.66,?,im
0.6,?,?,0.5,?,0.67,0.71,?
?,?,0.48,0.5,?,0.71,0.74,?
?,?,0.48,0.5,?,0.9,0.9,?
?,0.54,0.48,0.5,0.65,?,0.81,?
?,0.4,?,?,?,?,?,?
?,?,?,?,?,?,?,im
?,0.51,0.48,?,?,0.39,?,?
?,?,?,0.5,?,0.65,0.69,?
?,0.46,?,0.5,0.57,0.78,?,?
?,0.55,?,?,?,?,?,?
0.7,?,0.48,?,?,0.78,0.73,im
?,0.43,0.48,0.5,?,0.7,?,im
?,?,?,?,?,0.67,?,?
?,0.37,0.48,0.5,?,0.65,0.69,im
?,0.65,?,?,0.66,0.67,?,im
0.41,?,?,?,0.53,?,?,?
0.34,?,0.48,0.5,?,?,0.79,?
?,0.34,?,?,?,?,?,im
?,0.56,0.48,?,0.55,?,?,im
?,?,0.48,?,0.57,?,?,im
?,?,0.48,?,?,0.61,?,im
0.6,?,?,?,?,?,0.83,?
?,?,0.48,?,?,?,?,im
?,0.55,?,?,?,0.7,?,?
?,?,?,0.5,0.51,0.69,0.72,?
?,0.41,?,0.5,?,0.72,?,im
0.35,0.51,0.48,?,0.61,?,0.74,im
?,?,0.48,?,?,0.79,?,im
?,?,0.48,?,0.46,?,?,?
0.48,?,?,?,?,?,?,im
?,0.5,0.48,?,0.58,0.72,?,im
0.31,0.36,0.48,?,?,?,?,?
?,?,?,0.5,?,0.75,?,?
0.69,0.39,0.48,0.5,?,0.76,?,im
0.52,?,?,0.5,?,?,?,im
0.46,?,?,?,?,?,0.23,im
?,0.45,0.48,0.5,0.38,?,?,im
0.0,0.51,?,?,?,?,?,im
0.1,?,0.48,?,?,0.67,?,?
?,0.51,0.48,?,?,0.61,0.34,?
?,?,0.48,0.5,0.0,?,?,?
0.63,?,?,0.5,?,?,?,im
?,?,?,?,?,?,0.99,?
?,?,0.48,?,0.53,?,?,imS
0.63,?,?,0.5,?,?,?,?
0.75,0.55,?,1.0,0.4,?,?,imL
0.7,?,?,?,?,?,?,?
?,?,0.48,0.5,?,0.77,0.79,?
?,?,?,0.5,?,0.81,0.83,?
0.83,?,0.48,0.5,?,?,0.79,imU
?,?,?,?,?,0.74,0.77,?
?,?,0.48,?,?,0.82,0.7,?
0.78,0.33,?,?,?,?,?,?
?,?,0.48,?,?,0.7,0.74,?
?,0.29,0.48,0.5,0.64,?,?,imU
?,?,0.48,0.5,0.54,?,?,imU
?,?,0.48,?,0.54,?,?,?
0.64,0.46,?,0.5,0.48,?,?,imU
0.76,0.71,?,?,?,0.71,?,?
?,0.49,0.48,?,0.55,?,0.74,?
0.77,?,?,?,0.51,0.78,?,imU
?,?,?,0.5,?,?,?,?
0.58,0.6,?,0.5,?,?,?,?
?,?,?,?,?,?,?,imU
0.62,0.42,?,0.5,0.58,0.79,0.81,?
0.86,?,?,?,?,0.89,0.9,?
?,?,?,?,0.57,?,?,?
?,?,0.48,0.5,?,?,?,imU
?,0.46,?,0.5,?,?,0.77,imU
?,?,?,?,?,?,?,?
?,?,?,0.5,0.7,0.86,0.87,?
?,0.45,0.48,0.5,0.67,0.61,?,?
0.81,?,0.48,?,?,?,?,?
0.73,0.26,0.48,0.5,?,?,?,?
0.49,0.61,?,?,?,0.71,0.74,?
0.88,?,0.48,0.5,?,0.73,0.75,?
0.84,?,?,0.5,?,?,?,imU
?,?,0.48,0.5,?,?,?,imU
?,?,?,?,?,0.81,?,?
?,0.54,?,0.5,?,?,?,imU
?,0.38,0.48,?,0.06,?,?,imU
?,?,0.48,?,?,?,?,?
?,?,0.48,0.5,0.83,0.4,?,?
?,?,0.48,?,0.65,0.41,0.28,om
?,?,?,?,?,?,0.25,?
?,?,?,?,0.51,?,?,om
?,?,?,?,0.74,0.54,?,?
?,?,?,0.5,?,?,?,om
?,0.84,0.48,?,0.86,?,0.29,?
?,0.76,?,0.5,0.83,?,?,?
?,?,?,?,?,?,0.2,?
0.74,?,0.48,0.5,0.75,?,?,?
?,0.76,?,?,?,0.45,0.27,?
?,?,?,0.5,0.77,?,?,om
0.65,?,?,?,0.66,0.54,0.33,om
0.52,0.81,0.48,?,0.72,?,?,?
?,?,?,0.5,0.7,?,?,?
