@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

0.49,0.29,0.48,0.56,0.24,?,?
?,?,?,0.54,0.35,?,0
?,0.4,?,?,0.37,?,?
?,?,0.48,0.52,0.45,0.36,0
?,0.32,?,?,?,0.35,0
0.67,0.39,0.48,0.36,?,?,?
0.29,0.28,0.48,?,?,0.34,?
?,?,?,0.51,?,0.39,0
?,0.44,?,?,0.51,?,?
?,?,?,?,?,0.3,?
?,?,0.48,0.57,?,?,0
0.25,?,?,?,0.17,?,?
0.39,?,0.48,0.46,?,?,0
0.51,?,?,0.46,?,?,0
0.22,0.43,0.48,?,?,?,?
?,0.4,0.48,?,?,?,0
0.34,0.45,?,0.38,0.24,0.35,0
?,0.27,0.48,?,?,?,0
?,0.4,0.48,?,0.28,?,0
?,?,0.48,?,?,?,?
0.4,?,?,?,0.22,?,0
?,0.23,0.48,?,?,?,?
0.51,?,0.48,?,?,0.43,?
?,0.16,0.48,0.56,?,?,?
?,?,0.48,?,0.22,?,?
?,0.37,0.48,?,?,?,?
0.25,0.4,0.48,0.47,?,?,?
?,?,0.48,0.5,0.32,0.41,?
0.43,?,?,0.53,?,0.44,0
?,?,?,?,?,0.41,0
?,0.38,?,?,0.26,?,0
?,0.33,?,0.38,0.35,?,?
?,?,?,?,?,?,?
?,?,?,?,0.35,0.44,?
0.24,?,?,?,0.19,?,?
0.36,0.54,?,0.41,?,?,?
?,?,0.48,0.42,0.29,0.39,0
?,0.47,?,?,?,0.4,0
0.32,?,0.48,0.35,?,?,?
?,?,0.48,?,?,?,?
?,?,0.48,0.52,?,0.41,?
?,0.37,0.48,?,?,?,?
0.4,?,?,0.45,?,0.47,?
?,?,0.48,?,?,?,0
0.61,0.45,0.48,?,?,0.41,?
0.17,0.38,0.48,?,0.42,?,?
0.44,?,?,0.55,0.55,?,?
?,?,0.48,?,?,?,?
?,?,0.48,0.58,?,?,?
0.23,?,0.48,?,?,?,0
0.37,0.52,0.48,?,?,?,?
?,0.3,?,?,?,?,0
?,?,0.48,0.35,0.39,0.47,0
?,0.58,?,?,?,?,?
0.47,0.47,?,?,0.16,?,?
?,?,?,?,?,?,0
0.51,?,?,?,0.36,0.45,?
0.4,?,0.48,?,0.33,0.42,?
?,?,?,?,?,?,?
?,?,?,?,0.34,?,?
0.44,?,?,?,?,0.54,?
0.52,0.36,0.48,0.41,0.28,?,?
?,?,0.48,0.48,0.47,0.54,?
?,0.3,0.48,?,0.24,?,?
?,?,0.48,0.51,?,0.43,0
0.24,?,0.48,0.54,?,0.59,?
?,?,0.48,?,0.33,0.42,?
0.52,?,0.48,0.42,0.47,0.54,?
0.25,?,?,0.43,?,?,0
?,?,0.48,?,?,?,0
?,?,?,?,0.25,?,0
?,?,0.48,0.47,?,0.36,0
?,?,?,0.42,?,?,0
?,?,?,0.42,0.25,0.2,?
?,0.43,?,0.37,0.28,?,0
?,?,?,?,0.26,0.36,?
?,0.42,0.48,0.45,?,?,0
?,?,0.48,?,?,?,?
0.44,?,?,0.43,?,0.37,?
0.29,?,?,?,?,?,?
?,0.28,0.48,?,?,?,0
?,?,0.48,?,?,?,?
0.29,0.47,0.48,?,0.23,0.34,?
