@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,256.0,6000.0,256.0,16.0,128.0,199.0
amdahl,29.0,8000.0,32000.0,?,8.0,32.0,253.0
?,29.0,8000.0,32000.0,32.0,?,32.0,253.0
amdahl,29.0,?,32000.0,32.0,8.0,32.0,253.0
amdahl,29.0,?,16000.0,32.0,?,16.0,132.0
amdahl,26.0,8000.0,?,64.0,8.0,32.0,?
amdahl,?,16000.0,32000.0,64.0,16.0,32.0,381.0
?,23.0,16000.0,32000.0,?,16.0,32.0,381.0
amdahl,?,?,?,?,?,32.0,749.0
?,23.0,32000.0,64000.0,128.0,32.0,64.0,1238.0
apollo,?,1000.0,3000.0,?,1.0,?,23.0
?,400.0,512.0,?,?,1.0,?,?
basf,60.0,2000.0,8000.0,65.0,1.0,8.0,70.0
basf,50.0,4000.0,?,?,?,8.0,117.0
bti,350.0,64.0,?,0.0,1.0,4.0,15.0
bti,?,512.0,16000.0,?,4.0,32.0,?
burroughs,167.0,524.0,?,8.0,4.0,15.0,23.0
?,?,512.0,5000.0,0.0,?,32.0,29.0
?,143.0,1000.0,?,?,?,16.0,?
burroughs,110.0,5000.0,?,?,8.0,?,124.0
burroughs,143.0,1500.0,?,0.0,5.0,32.0,35.0
burroughs,?,3100.0,?,?,5.0,20.0,?
burroughs,143.0,?,6200.0,0.0,6.0,64.0,40.0
burroughs,110.0,3100.0,6200.0,0.0,6.0,64.0,45.0
c.r.d,320.0,?,?,0.0,1.0,12.0,28.0
?,?,512.0,2000.0,4.0,?,?,21.0
c.r.d,?,256.0,6000.0,0.0,1.0,6.0,?
c.r.d,?,256.0,3000.0,4.0,1.0,3.0,22.0
c.r.d,320.0,512.0,5000.0,4.0,1.0,5.0,?
c.r.d,320.0,256.0,?,4.0,?,6.0,27.0
cdc,25.0,1310.0,?,131.0,12.0,?,102.0
cdc,25.0,1310.0,?,131.0,?,24.0,102.0
cdc,50.0,?,10480.0,30.0,12.0,24.0,74.0
cdc,50.0,?,10480.0,30.0,12.0,24.0,74.0
