@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,256.0,6000.0,256.0,16.0,?,199.0
amdahl,29.0,8000.0,32000.0,32.0,?,?,?
?,29.0,?,32000.0,?,8.0,32.0,253.0
?,?,?,32000.0,32.0,8.0,?,?
amdahl,29.0,8000.0,?,32.0,8.0,16.0,132.0
amdahl,26.0,?,32000.0,64.0,?,32.0,?
amdahl,23.0,16000.0,32000.0,64.0,?,32.0,?
amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0,?
amdahl,23.0,?,64000.0,?,16.0,32.0,?
amdahl,?,?,64000.0,?,?,?,1238.0
apollo,400.0,?,3000.0,0.0,1.0,2.0,?
?,400.0,512.0,3500.0,4.0,?,?,24.0
basf,60.0,2000.0,8000.0,65.0,?,?,?
?,50.0,?,16000.0,65.0,1.0,8.0,117.0
bti,350.0,64.0,?,0.0,?,4.0,15.0
?,200.0,?,?,?,4.0,32.0,?
burroughs,167.0,?,?,8.0,?,15.0,?
burroughs,143.0,512.0,5000.0,0.0,?,32.0,29.0
?,143.0,1000.0,2000.0,0.0,5.0,16.0,22.0
burroughs,110.0,5000.0,5000.0,?,8.0,64.0,124.0
burroughs,143.0,1500.0,?,0.0,5.0,32.0,35.0
burroughs,143.0,3100.0,6200.0,0.0,5.0,?,?
?,143.0,2300.0,6200.0,0.0,6.0,64.0,40.0
burroughs,110.0,?,6200.0,0.0,6.0,64.0,45.0
c.r.d,320.0,128.0,?,0.0,?,12.0,28.0
?,?,512.0,2000.0,4.0,1.0,3.0,?
c.r.d,320.0,?,6000.0,0.0,?,6.0,28.0
?,?,?,3000.0,4.0,?,3.0,?
c.r.d,320.0,512.0,?,4.0,1.0,5.0,?
c.r.d,320.0,256.0,?,4.0,?,6.0,27.0
cdc,25.0,1310.0,2620.0,?,12.0,24.0,102.0
cdc,25.0,1310.0,2620.0,?,12.0,?,102.0
cdc,50.0,?,10480.0,?,12.0,24.0,74.0
?,?,?,?,30.0,?,24.0,74.0
?,56.0,5240.0,?,?,?,24.0,138.0
?,64.0,?,?,?,?,?,136.0
cdc,?,?,?,8.0,1.0,4.0,23.0
cdc,50.0,1000.0,4000.0,8.0,?,5.0,29.0
?,50.0,2000.0,?,?,1.0,5.0,44.0
?,?,1000.0,4000.0,8.0,3.0,5.0,?
cambex,?,1000.0,8000.0,8.0,3.0,5.0,?
cambex,50.0,2000.0,16000.0,8.0,?,5.0,74.0
cambex,?,2000.0,?,?,?,?,74.0
cambex,?,2000.0,16000.0,8.0,?,6.0,74.0
dec,133.0,?,12000.0,9.0,3.0,?,54.0
dec,133.0,1000.0,?,9.0,?,?,41.0
dec,810.0,512.0,?,8.0,1.0,1.0,18.0
dec,810.0,?,5000.0,?,1.0,1.0,28.0
dec,?,512.0,8000.0,4.0,?,5.0,36.0
dec,200.0,512.0,8000.0,?,?,8.0,38.0
dg,?,384.0,8000.0,?,1.0,1.0,34.0
dg,700.0,256.0,2000.0,0.0,1.0,?,19.0
dg,140.0,1000.0,16000.0,16.0,?,3.0,72.0
dg,200.0,?,8000.0,0.0,?,?,?
dg,110.0,?,4000.0,?,1.0,2.0,?
dg,110.0,?,12000.0,16.0,1.0,2.0,?
dg,?,1000.0,8000.0,16.0,1.0,2.0,?
?,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
?,800.0,?,8000.0,?,1.0,4.0,?
formation,800.0,256.0,8000.0,?,1.0,?,?
formation,?,256.0,8000.0,?,1.0,?,?
formation,?,?,?,?,?,4.0,34.0
four-phase,125.0,?,1000.0,0.0,8.0,20.0,19.0
gould,75.0,2000.0,8000.0,?,1.0,38.0,75.0
?,?,?,16000.0,64.0,1.0,38.0,113.0
gould,?,2000.0,?,128.0,1.0,38.0,157.0
hp,90.0,256.0,1000.0,0.0,3.0,?,18.0
?,105.0,256.0,?,0.0,?,?,20.0
hp,?,1000.0,4000.0,0.0,3.0,24.0,?
hp,105.0,2000.0,?,8.0,3.0,?,33.0
?,75.0,?,?,8.0,3.0,24.0,47.0
hp,75.0,3000.0,8000.0,?,3.0,?,?
hp,175.0,256.0,?,0.0,3.0,24.0,20.0
harris,300.0,768.0,3000.0,0.0,6.0,?,23.0
harris,300.0,768.0,3000.0,6.0,6.0,24.0,25.0
harris,300.0,768.0,12000.0,6.0,6.0,?,52.0
harris,?,768.0,4500.0,?,1.0,24.0,27.0
harris,300.0,384.0,12000.0,6.0,1.0,24.0,?
harris,300.0,?,768.0,6.0,6.0,?,18.0
harris,180.0,768.0,12000.0,6.0,?,31.0,53.0
honeywell,330.0,1000.0,3000.0,0.0,?,4.0,?
honeywell,300.0,1000.0,4000.0,8.0,?,64.0,?
honeywell,?,1000.0,16000.0,?,2.0,112.0,?
?,?,1000.0,?,0.0,?,2.0,20.0
?,330.0,?,?,0.0,3.0,?,25.0
honeywell,140.0,2000.0,4000.0,0.0,3.0,6.0,28.0
?,?,?,?,?,4.0,?,29.0
honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0,32.0
?,140.0,2000.0,32000.0,32.0,1.0,20.0,175.0
honeywell,140.0,?,8000.0,?,?,?,57.0
honeywell,140.0,?,32000.0,32.0,1.0,?,?
honeywell,140.0,2000.0,?,32.0,?,?,181.0
honeywell,140.0,2000.0,4000.0,?,1.0,20.0,?
ibm,57.0,4000.0,16000.0,1.0,6.0,?,82.0
ibm,57.0,?,24000.0,?,12.0,16.0,171.0
ibm,?,16000.0,32000.0,64.0,16.0,?,361.0
ibm,26.0,?,32000.0,64.0,8.0,?,350.0
ibm,26.0,8000.0,32000.0,?,8.0,24.0,220.0
ibm,?,8000.0,16000.0,0.0,8.0,16.0,113.0
ibm,480.0,96.0,512.0,?,1.0,1.0,15.0
ibm,203.0,?,2000.0,0.0,1.0,5.0,21.0
?,115.0,512.0,?,16.0,?,?,35.0
ibm,?,?,1500.0,0.0,1.0,1.0,18.0
ibm,1100.0,768.0,2000.0,0.0,1.0,?,20.0
?,600.0,?,2000.0,0.0,1.0,?,?
ibm,?,2000.0,4000.0,0.0,1.0,1.0,?
ibm,400.0,4000.0,?,0.0,1.0,?,?
?,900.0,1000.0,?,?,1.0,2.0,18.0
ibm,900.0,?,?,0.0,1.0,2.0,17.0
ibm,900.0,1000.0,4000.0,4.0,?,2.0,26.0
ibm,900.0,1000.0,4000.0,8.0,?,2.0,28.0
ibm,?,2000.0,4000.0,?,3.0,?,28.0
ibm,225.0,?,4000.0,?,3.0,?,31.0
?,225.0,2000.0,4000.0,8.0,3.0,?,?
ibm,?,?,8000.0,8.0,?,?,42.0
ibm,185.0,2000.0,16000.0,16.0,1.0,6.0,?
ibm,?,2000.0,16000.0,16.0,?,6.0,76.0
ibm,225.0,1000.0,4000.0,2.0,3.0,6.0,?
?,25.0,2000.0,12000.0,8.0,1.0,4.0,?
ibm,25.0,2000.0,12000.0,?,?,5.0,65.0
ibm,17.0,4000.0,?,8.0,?,12.0,101.0
ibm,17.0,?,?,32.0,6.0,?,116.0
ibm,?,768.0,1000.0,?,0.0,0.0,18.0
ibm,1500.0,768.0,2000.0,?,0.0,0.0,20.0
ibm,800.0,768.0,2000.0,0.0,0.0,0.0,20.0
ipl,?,2000.0,4000.0,0.0,3.0,?,30.0
?,50.0,2000.0,?,8.0,3.0,6.0,?
ipl,50.0,2000.0,8000.0,?,1.0,?,?
ipl,?,2000.0,16000.0,24.0,?,6.0,?
ipl,50.0,2000.0,16000.0,?,?,6.0,82.0
?,50.0,8000.0,16000.0,?,1.0,10.0,128.0
?,100.0,1000.0,8000.0,?,2.0,?,?
magnuson,100.0,?,?,24.0,2.0,6.0,46.0
magnuson,100.0,1000.0,?,?,3.0,?,46.0
?,50.0,2000.0,?,?,3.0,16.0,?
magnuson,50.0,2000.0,16000.0,?,6.0,16.0,88.0
?,50.0,?,16000.0,24.0,6.0,16.0,88.0
?,150.0,512.0,?,0.0,?,?,33.0
nas,115.0,2000.0,8000.0,16.0,1.0,?,?
nas,?,2000.0,4000.0,?,1.0,5.0,29.0
?,92.0,?,8000.0,32.0,1.0,6.0,53.0
nas,92.0,2000.0,?,32.0,1.0,6.0,53.0
nas,92.0,?,?,4.0,?,?,41.0
nas,75.0,4000.0,16000.0,16.0,1.0,6.0,86.0
nas,?,4000.0,?,32.0,?,?,?
nas,60.0,?,16000.0,64.0,?,8.0,107.0
nas,?,4000.0,16000.0,64.0,5.0,?,117.0
nas,?,?,16000.0,?,?,10.0,119.0
?,72.0,4000.0,16000.0,?,8.0,16.0,?
?,?,2000.0,8000.0,16.0,6.0,8.0,?
nas,40.0,?,16000.0,32.0,8.0,16.0,126.0
?,40.0,8000.0,32000.0,?,?,24.0,266.0
nas,35.0,8000.0,32000.0,64.0,8.0,24.0,270.0
?,38.0,16000.0,32000.0,?,16.0,?,426.0
nas,48.0,4000.0,?,32.0,8.0,?,151.0
?,38.0,?,?,64.0,8.0,?,267.0
nas,?,16000.0,32000.0,256.0,16.0,24.0,?
?,112.0,?,1000.0,0.0,1.0,4.0,?
?,?,1000.0,2000.0,0.0,1.0,6.0,?
ncr,56.0,1000.0,4000.0,?,1.0,6.0,?
?,56.0,?,6000.0,0.0,?,8.0,35.0
ncr,56.0,2000.0,8000.0,0.0,1.0,?,41.0
?,56.0,4000.0,?,0.0,?,?,47.0
ncr,56.0,4000.0,12000.0,0.0,?,?,62.0
ncr,56.0,4000.0,16000.0,0.0,1.0,?,?
ncr,38.0,4000.0,8000.0,32.0,16.0,32.0,80.0
ncr,?,4000.0,8000.0,32.0,?,32.0,80.0
ncr,?,8000.0,16000.0,?,4.0,8.0,?
ncr,38.0,8000.0,?,160.0,4.0,8.0,281.0
ncr,38.0,4000.0,?,128.0,16.0,32.0,?
nixdorf,200.0,1000.0,?,0.0,1.0,2.0,21.0
nixdorf,200.0,1000.0,?,0.0,1.0,4.0,?
nixdorf,200.0,2000.0,8000.0,?,?,?,67.0
?,?,512.0,4000.0,?,1.0,7.0,24.0
?,?,?,4000.0,?,4.0,7.0,24.0
perkin-elmer,?,1000.0,16000.0,1.0,?,8.0,?
?,?,512.0,4000.0,2.0,1.0,5.0,25.0
prime,?,512.0,2000.0,2.0,?,8.0,20.0
prime,?,?,?,?,?,14.0,29.0
prime,160.0,1000.0,8000.0,16.0,1.0,14.0,43.0
prime,?,?,8000.0,32.0,1.0,13.0,53.0
siemens,240.0,?,1000.0,?,?,?,19.0
siemens,240.0,512.0,?,?,?,?,?
?,105.0,2000.0,4000.0,8.0,3.0,?,?
siemens,105.0,?,6000.0,16.0,6.0,16.0,41.0
siemens,105.0,?,8000.0,?,4.0,14.0,?
siemens,52.0,?,?,?,4.0,12.0,?
?,?,4000.0,?,8.0,6.0,?,67.0
siemens,?,4000.0,12000.0,32.0,6.0,?,81.0
siemens,59.0,?,?,64.0,12.0,?,?
siemens,26.0,8000.0,?,32.0,8.0,16.0,183.0
?,26.0,8000.0,?,?,12.0,16.0,275.0
siemens,?,?,32000.0,128.0,?,32.0,382.0
?,?,?,?,32.0,5.0,28.0,56.0
sperry,50.0,2000.0,32000.0,24.0,6.0,?,?
sperry,50.0,2000.0,32000.0,48.0,26.0,52.0,?
sperry,50.0,?,32000.0,?,52.0,104.0,341.0
sperry,50.0,?,?,?,52.0,?,?
sperry,30.0,8000.0,?,96.0,12.0,176.0,919.0
sperry,?,?,64000.0,128.0,12.0,?,?
sperry,180.0,?,4000.0,?,?,3.0,24.0
sperry,?,?,?,?,1.0,3.0,24.0
sperry,?,262.0,4000.0,0.0,1.0,3.0,24.0
sperry,?,512.0,4000.0,?,?,?,24.0
?,124.0,1000.0,?,0.0,1.0,?,37.0
sperry,?,1000.0,8000.0,32.0,?,8.0,50.0
sratus,125.0,?,8000.0,0.0,2.0,14.0,41.0
wang,480.0,?,8000.0,?,0.0,?,47.0
wang,480.0,1000.0,?,?,?,?,25.0
