@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

0.0,0.0,0.0,2.638,1.401,0.632,0.0,0.0,4.33
9.23,11.0,?,5.799,2.93,0.486,0.0,0.0,7.019
?,11.0,0.0,?,?,?,0.0,0.0,?
9.23,?,0.0,?,2.758,0.695,?,0.0,5.979
215.34,327.629,3.0,0.189,4.677,1.333,0.0,4.0,6.064
9.23,?,0.0,?,2.321,?,0.0,0.0,7.337
?,0.0,?,3.267,2.318,0.963,0.0,?,4.1
0.0,0.0,0.0,?,1.8,1.25,0.0,0.0,3.941
?,0.0,0.0,?,?,?,?,0.0,3.809
0.0,?,0.0,3.124,?,?,0.0,?,?
12.03,?,1.0,0.817,1.8,1.488,?,?,?
69.67,97.435,?,?,3.723,1.26,?,?,7.371
23.79,31.059,0.0,0.094,1.334,1.115,1.0,1.0,3.78
92.14,?,1.0,4.275,4.174,1.174,1.0,1.0,4.112
0.0,0.0,0.0,2.851,1.989,0.938,0.0,0.0,3.533
?,0.0,0.0,1.115,1.0,0.588,?,0.0,?
35.53,47.145,0.0,4.579,3.875,1.124,0.0,1.0,7.693
17.07,?,0.0,0.202,1.225,?,?,0.0,0.673
34.14,?,0.0,0.076,1.654,1.493,?,0.0,3.323
67.51,?,1.0,3.204,3.344,?,0.0,1.0,2.955
?,85.839,2.0,1.06,?,1.007,1.0,?,4.216
?,155.543,?,1.406,3.511,?,5.0,2.0,?
18.46,?,0.0,?,2.147,1.576,?,0.0,?
3.24,?,0.0,?,?,1.559,1.0,0.0,5.96
12.03,18.011,1.0,6.728,?,?,1.0,0.0,6.537
54.57,41.028,0.0,5.65,4.026,1.575,0.0,0.0,7.1
?,?,5.0,2.201,?,1.214,0.0,0.0,6.424
?,?,1.0,3.23,2.63,1.166,?,1.0,4.355
?,3.124,0.0,4.48,?,1.31,?,0.0,5.721
?,14.124,0.0,?,3.362,1.373,1.0,0.0,5.102
0.0,0.0,?,2.226,1.265,?,?,0.0,?
0.0,14.96,0.0,2.026,1.265,0.722,0.0,?,3.577
45.61,28.269,0.0,?,2.557,0.901,?,0.0,6.458
?,18.011,1.0,?,1.654,1.732,?,?,2.352
?,?,3.0,?,?,?,2.0,0.0,2.958
132.42,?,2.0,?,4.984,1.087,?,0.0,?
?,85.367,2.0,5.255,3.001,?,0.0,0.0,?
0.0,0.0,0.0,5.453,2.837,0.735,0.0,?,6.858
20.23,42.683,1.0,3.921,2.494,1.229,0.0,0.0,6.36
40.46,85.367,2.0,3.306,?,0.917,?,0.0,4.301
0.0,0.0,?,?,2.048,?,0.0,0.0,3.772
?,32.897,?,?,2.031,0.992,?,?,4.179
17.07,25.145,0.0,1.947,2.005,1.276,?,?,3.061
0.0,0.0,0.0,3.267,2.119,1.25,0.0,?,4.867
0.0,?,0.0,?,2.119,1.25,?,0.0,?
?,?,0.0,3.374,2.118,?,0.0,0.0,3.522
17.07,?,0.0,-0.317,1.155,1.74,0.0,0.0,0.55
29.1,?,1.0,?,?,0.773,?,1.0,4.714
37.3,67.828,?,0.133,1.401,1.582,?,1.0,3.17
?,85.367,2.0,?,1.768,1.594,0.0,0.0,1.22
0.0,0.0,0.0,2.226,1.401,?,?,0.0,?
103.67,119.505,1.0,3.546,2.847,1.211,3.0,?,3.725
111.87,144.177,1.0,?,2.626,1.047,?,0.0,6.0
38.33,?,?,2.391,2.612,1.293,1.0,0.0,6.32
75.27,?,2.0,?,?,1.029,2.0,2.0,?
17.07,25.145,?,0.202,1.334,1.66,?,0.0,2.815
87.66,139.995,?,?,3.514,1.339,2.0,?,3.819
37.3,?,1.0,0.586,1.577,?,0.0,1.0,3.16
?,?,0.0,?,?,1.042,3.0,0.0,4.72
93.06,157.656,2.0,2.014,3.767,1.189,0.0,0.0,4.333
0.0,0.0,0.0,3.138,1.509,1.7,0.0,0.0,3.87
37.3,?,1.0,0.996,1.746,1.547,0.0,1.0,3.358
?,67.828,1.0,2.06,2.06,?,0.0,1.0,?
20.23,42.683,?,2.274,2.005,?,?,?,?
52.6,72.29,0.0,?,3.907,?,0.0,?,?
52.6,72.29,0.0,5.426,3.893,1.402,0.0,2.0,?
54.57,41.028,0.0,5.208,3.691,1.585,0.0,?,6.383
?,?,0.0,3.516,1.678,1.667,0.0,?,?
81.7,115.445,1.0,5.44,4.623,1.517,1.0,?,4.85
20.23,42.683,?,?,3.049,1.247,?,0.0,?
20.23,42.683,?,?,2.913,1.229,0.0,0.0,?
50.24,26.663,0.0,3.247,2.789,?,1.0,1.0,6.074
20.23,42.683,1.0,1.94,1.997,1.61,?,0.0,3.226
?,?,?,0.868,?,1.462,3.0,?,2.626
45.61,28.269,0.0,?,2.445,?,1.0,0.0,4.474
?,?,0.0,2.539,?,0.92,1.0,1.0,5.429
38.33,?,1.0,?,?,0.638,1.0,?,6.848
70.14,?,?,0.59,1.909,?,2.0,0.0,3.85
52.6,72.29,0.0,3.618,3.197,1.356,0.0,?,4.878
52.6,?,0.0,?,?,1.15,?,2.0,5.19
9.23,11.0,0.0,?,2.15,?,0.0,0.0,3.7
46.15,54.999,0.0,2.11,3.866,?,?,0.0,5.291
54.57,41.028,0.0,3.742,?,1.773,?,0.0,6.042
0.0,?,?,?,?,1.15,0.0,0.0,5.548
?,28.269,0.0,1.971,2.294,1.275,?,0.0,?
