@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

0.0,?,0.0,2.638,1.401,?,?,0.0,4.33
9.23,11.0,0.0,5.799,2.93,?,?,0.0,7.019
9.23,11.0,0.0,5.453,?,0.495,0.0,?,6.723
9.23,?,0.0,4.068,2.758,0.695,0.0,0.0,5.979
?,327.629,3.0,0.189,4.677,?,?,4.0,6.064
9.23,11.0,0.0,2.723,2.321,1.165,0.0,0.0,7.337
0.0,0.0,0.0,3.267,2.318,0.963,0.0,0.0,4.1
0.0,0.0,0.0,2.067,?,1.25,?,0.0,?
?,0.0,0.0,2.746,?,1.4,0.0,0.0,?
?,0.0,0.0,3.124,?,1.417,?,0.0,?
12.03,18.011,?,0.817,1.8,1.488,?,0.0,3.93
69.67,?,0.0,?,3.723,1.26,0.0,2.0,7.371
23.79,31.059,0.0,0.094,?,1.115,1.0,1.0,3.78
92.14,?,1.0,4.275,4.174,1.174,?,?,4.112
0.0,0.0,0.0,2.851,1.989,?,?,0.0,3.533
0.0,0.0,?,1.115,?,0.588,0.0,0.0,?
?,47.145,0.0,4.579,3.875,1.124,0.0,1.0,7.693
17.07,25.145,0.0,?,?,?,0.0,0.0,?
34.14,50.29,?,0.076,1.654,?,0.0,?,3.323
67.51,?,?,?,3.344,0.938,0.0,1.0,2.955
49.33,85.839,?,1.06,2.272,1.007,1.0,1.0,?
122.22,155.543,2.0,1.406,3.511,1.456,?,2.0,2.593
?,22.0,0.0,1.262,2.147,1.576,0.0,?,2.272
3.24,?,0.0,9.148,5.497,1.559,1.0,0.0,5.96
?,18.011,1.0,6.728,4.392,?,1.0,?,6.537
?,41.028,?,?,4.026,1.575,0.0,?,7.1
?,?,5.0,?,?,1.214,?,?,6.424
37.3,67.828,1.0,?,2.63,1.166,0.0,1.0,4.355
3.24,3.124,?,4.48,?,1.31,1.0,?,?
?,14.124,0.0,3.827,3.362,1.373,?,0.0,5.102
?,0.0,0.0,?,?,0.57,?,?,?
0.0,?,0.0,?,1.265,0.722,0.0,0.0,?
?,28.269,?,3.012,2.557,?,?,0.0,6.458
12.03,18.011,1.0,?,1.654,1.732,?,0.0,2.352
86.81,121.412,?,0.709,2.938,1.416,2.0,?,2.958
132.42,196.332,2.0,4.478,4.984,1.087,?,0.0,5.44
40.46,85.367,2.0,5.255,?,0.485,?,0.0,4.838
?,0.0,0.0,?,2.837,0.735,0.0,0.0,?
?,42.683,1.0,3.921,?,?,?,?,6.36
40.46,85.367,2.0,?,2.832,?,?,?,4.301
0.0,0.0,?,3.259,2.048,?,?,0.0,3.772
26.02,32.897,2.0,2.193,?,0.992,?,0.0,4.179
?,?,0.0,?,?,1.276,0.0,0.0,3.061
?,?,?,3.267,2.119,1.25,0.0,0.0,4.867
0.0,?,0.0,3.267,2.119,1.25,0.0,0.0,5.373
?,0.0,0.0,?,2.118,?,0.0,0.0,3.522
17.07,25.145,0.0,-0.317,1.155,1.74,0.0,0.0,0.55
29.1,?,?,3.076,2.438,0.773,?,?,4.714
37.3,?,?,0.133,?,1.582,0.0,?,?
40.46,85.367,2.0,?,1.768,1.594,0.0,0.0,?
0.0,0.0,?,2.226,1.401,0.826,0.0,0.0,3.631
103.67,119.505,?,?,?,?,3.0,?,?
111.87,144.177,1.0,?,2.626,1.047,2.0,?,?
?,54.156,?,2.391,2.612,1.293,1.0,?,?
75.27,111.456,2.0,0.779,?,1.029,2.0,2.0,2.201
17.07,25.145,0.0,0.202,1.334,1.66,0.0,?,?
87.66,139.995,3.0,1.589,3.514,1.339,?,1.0,3.819
37.3,?,1.0,0.586,1.577,1.56,0.0,1.0,3.16
49.17,55.448,0.0,4.168,3.329,?,?,0.0,4.72
93.06,157.656,?,2.014,?,1.189,0.0,0.0,4.333
0.0,0.0,?,3.138,1.509,1.7,0.0,0.0,3.87
37.3,67.828,1.0,0.996,1.746,1.547,0.0,?,3.358
37.3,67.828,?,2.06,?,1.529,?,1.0,3.08
20.23,42.683,1.0,?,2.005,?,0.0,0.0,3.115
52.6,72.29,?,4.737,3.907,1.595,?,2.0,5.749
52.6,?,0.0,?,3.893,1.402,?,2.0,4.55
54.57,41.028,0.0,5.208,3.691,1.585,0.0,?,6.383
0.0,0.0,0.0,?,1.678,?,0.0,0.0,?
81.7,115.445,1.0,?,?,?,1.0,?,4.85
?,42.683,1.0,5.089,?,1.247,0.0,0.0,?
20.23,42.683,?,4.833,2.913,1.229,0.0,0.0,?
?,26.663,0.0,?,2.789,1.206,?,1.0,6.074
20.23,?,1.0,1.94,1.997,1.61,0.0,0.0,?
122.91,?,3.0,?,3.59,1.462,3.0,1.0,?
45.61,?,?,2.275,2.445,1.29,1.0,0.0,?
44.45,16.786,?,2.539,?,0.92,?,1.0,?
?,54.156,?,1.737,2.472,0.638,1.0,?,6.848
70.14,50.908,3.0,?,1.909,0.907,?,0.0,3.85
?,72.29,?,3.618,3.197,1.356,0.0,2.0,?
52.6,?,0.0,4.091,3.568,1.15,0.0,?,?
?,11.0,0.0,2.274,?,1.754,0.0,0.0,?
?,54.999,0.0,2.11,3.866,?,0.0,0.0,?
?,?,?,?,?,1.773,0.0,0.0,6.042
0.0,0.0,0.0,3.562,2.281,1.15,0.0,0.0,5.548
45.61,28.269,?,?,2.294,1.275,1.0,?,4.608
121.26,6.249,0.0,2.869,3.095,?,2.0,0.0,?
?,149.498,?,4.207,3.047,1.283,3.0,0.0,6.24
20.23,?,1.0,0.347,1.334,1.768,0.0,?,?
41.57,?,1.0,?,?,1.853,2.0,0.0,3.25
38.8,0.0,1.0,?,1.334,1.212,0.0,?,6.102
86.71,?,0.0,?,2.394,?,?,0.0,6.579
92.31,70.941,2.0,?,?,0.999,3.0,0.0,?
98.61,?,0.0,2.054,2.891,1.442,3.0,?,?
?,16.786,?,?,1.509,0.779,1.0,?,5.308
?,36.022,?,?,1.879,1.001,2.0,0.0,2.838
56.15,36.022,2.0,1.945,?,0.805,2.0,?,3.351
?,86.378,?,2.273,?,1.254,5.0,?,3.331
?,?,?,?,2.679,1.198,?,?,6.447
20.23,42.683,1.0,-0.172,1.155,1.911,?,0.0,0.59
107.65,?,?,4.219,3.945,1.078,1.0,?,5.03
26.3,36.145,0.0,?,?,1.805,0.0,?,2.827
52.6,?,0.0,0.787,2.223,1.8,0.0,2.0,2.899
?,?,0.0,0.491,2.854,?,0.0,?,?
52.6,?,0.0,2.577,2.707,1.313,0.0,?,3.603
52.33,62.438,0.0,?,?,?,?,1.0,?
9.23,?,0.0,0.8,1.509,?,0.0,?,1.73
100.39,91.775,?,2.682,2.903,1.823,1.0,0.0,9.141
110.96,?,?,3.089,?,0.889,?,0.0,6.442
95.37,?,0.0,?,2.915,1.394,2.0,?,?
115.41,71.512,0.0,2.223,?,1.295,?,0.0,8.15
?,?,0.0,3.213,2.806,1.172,?,0.0,8.849
110.96,?,?,?,2.52,1.012,0.0,0.0,?
64.63,90.3,1.0,1.651,2.785,1.346,?,2.0,3.072
21.26,29.011,?,2.826,2.709,?,?,?,5.036
?,6.922,0.0,2.723,2.553,?,0.0,0.0,7.483
38.8,0.0,1.0,0.845,1.155,?,?,0.0,?
45.61,28.269,0.0,1.579,?,?,1.0,?,4.437
110.96,13.843,?,1.321,2.402,?,?,0.0,7.128
?,?,5.0,-0.139,4.73,?,1.0,?,?
180.08,310.81,5.0,0.143,4.805,?,2.0,1.0,3.795
182.91,301.147,?,?,4.758,?,?,1.0,?
49.41,?,1.0,4.761,3.537,?,2.0,?,?
26.02,?,2.0,2.193,2.056,0.992,?,0.0,6.13
?,16.786,?,1.533,2.056,1.203,1.0,0.0,3.481
?,99.365,4.0,3.048,2.813,0.791,4.0,?,4.632
74.57,?,?,1.789,?,1.175,?,1.0,3.432
23.55,31.394,0.0,0.16,1.7,2.092,2.0,0.0,1.601
58.56,?,?,1.648,2.689,?,4.0,0.0,7.037
?,?,0.0,?,?,?,2.0,0.0,2.232
61.35,36.022,2.0,?,1.475,0.876,?,0.0,?
?,6.249,?,?,?,?,?,0.0,4.858
?,?,0.0,0.454,2.227,?,?,0.0,6.059
140.02,119.209,4.0,-0.812,2.478,0.926,3.0,0.0,?
36.6,20.263,0.0,?,1.89,2.073,3.0,0.0,1.43
181.62,324.873,7.0,-0.392,3.629,0.863,2.0,?,3.573
181.62,?,?,-0.875,?,0.945,2.0,1.0,?
?,3.124,0.0,2.193,2.048,1.241,1.0,0.0,?
61.35,36.022,2.0,1.628,2.231,0.75,?,0.0,3.298
111.56,99.4,2.0,?,3.426,1.189,4.0,?,2.685
16.13,19.91,?,1.272,2.473,1.256,2.0,0.0,?
75.01,128.306,?,?,?,1.232,3.0,1.0,3.674
63.87,6.249,?,?,1.975,0.858,2.0,0.0,5.47
83.67,84.184,1.0,0.349,?,?,1.0,1.0,?
114.76,56.999,1.0,-0.755,2.214,1.033,1.0,?,5.13
?,102.044,1.0,?,2.434,1.256,3.0,2.0,5.12
93.21,118.087,?,-0.147,2.355,1.644,2.0,?,5.9
75.99,73.774,1.0,?,?,1.185,?,?,?
47.56,65.155,1.0,1.459,2.72,?,1.0,0.0,6.52
56.79,?,1.0,1.064,2.72,1.346,1.0,0.0,?
38.33,54.156,1.0,?,2.725,1.012,?,0.0,?
70.14,50.908,3.0,-0.792,1.401,0.647,2.0,0.0,3.979
47.36,21.135,?,?,1.627,?,2.0,0.0,2.188
73.58,63.842,?,0.894,3.136,1.388,3.0,0.0,?
12.03,18.011,?,?,?,1.062,1.0,0.0,5.79
20.23,42.683,1.0,-0.814,1.0,2.353,0.0,0.0,0.989
69.48,142.262,0.0,?,3.884,1.169,2.0,?,5.742
65.82,80.765,?,3.692,?,?,3.0,0.0,6.756
164.9,144.333,?,0.16,3.323,0.833,4.0,0.0,4.33
?,108.311,2.0,?,3.468,1.137,2.0,0.0,?
?,?,?,2.005,2.468,1.281,0.0,?,?
35.53,47.145,0.0,?,?,1.533,0.0,?,5.475
55.84,75.414,0.0,1.907,2.892,1.439,?,2.0,3.536
29.54,39.269,0.0,3.026,?,1.243,1.0,1.0,?
29.46,53.683,1.0,-0.081,?,1.952,0.0,0.0,0.59
?,47.145,0.0,0.538,1.952,?,0.0,1.0,2.511
?,64.683,1.0,0.224,2.108,1.904,0.0,?,1.888
65.57,76.79,1.0,?,1.999,1.533,0.0,0.0,7.699
90.51,?,1.0,-0.759,?,1.402,1.0,?,?
?,?,2.0,?,1.575,1.362,1.0,0.0,?
115.41,71.512,0.0,?,2.72,?,1.0,?,7.671
