@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,?,?,3.312,?,5.22,0
?,14.57,0.8811,?,3.333,1.018,4.956,0
14.29,14.09,0.905,5.291,3.337,2.699,4.825,0
13.84,13.94,0.8955,5.324,3.379,2.259,?,0
?,14.99,0.9034,?,?,1.355,5.175,0
14.38,14.21,?,?,3.312,2.462,4.956,?
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,?
?,?,?,5.42,3.302,2.7,5.0,?
16.63,15.46,?,6.053,3.465,?,5.877,0
?,15.25,0.888,?,?,1.969,?,?
?,14.85,0.8696,?,?,4.543,?,?
?,?,0.8796,5.438,3.201,1.717,5.001,0
13.89,?,0.888,5.439,3.199,?,4.738,0
13.78,14.06,0.8759,5.479,3.156,?,4.872,0
13.74,14.05,0.8744,?,3.114,2.932,4.825,?
?,14.28,0.8993,?,3.333,?,4.781,?
13.99,13.83,?,?,3.383,?,4.781,?
15.69,14.75,0.9058,5.527,3.514,1.599,?,0
14.7,14.21,0.9153,5.205,3.466,1.767,?,0
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,0
14.16,14.4,0.8584,?,?,?,?,0
14.11,14.26,?,5.52,3.168,?,?,?
15.88,14.9,0.8988,?,3.507,?,5.091,?
?,13.23,?,5.099,2.936,1.415,4.961,?
?,?,0.8657,?,3.245,1.791,5.001,0
16.19,15.16,0.8849,?,3.421,0.903,5.307,0
13.02,?,0.8641,5.395,3.026,3.373,?,0
?,13.67,?,5.395,2.956,2.504,4.869,0
14.11,14.18,0.882,5.541,3.221,2.754,5.038,?
?,14.02,0.8604,5.516,3.065,3.531,?,0
13.16,13.82,?,5.454,2.975,0.8551,5.056,0
?,14.94,0.8724,?,?,3.412,5.228,0
14.09,14.41,0.8529,5.717,3.186,?,5.299,0
13.94,14.17,0.8728,5.585,?,?,5.012,?
15.05,?,?,?,3.328,2.129,5.36,0
16.12,?,0.9,5.709,3.485,?,?,?
16.2,15.27,?,5.826,3.464,2.823,5.527,0
17.08,15.38,?,?,3.683,?,5.484,0
14.8,14.52,?,5.656,?,3.112,5.309,0
?,?,0.8944,5.397,?,6.685,5.001,0
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,0
?,?,0.8852,?,3.158,2.249,5.176,0
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,?
?,14.86,0.882,?,3.396,4.711,5.528,0
?,14.54,?,5.579,?,3.128,5.18,0
?,?,0.8794,5.376,3.155,1.56,?,0
15.36,?,0.8861,?,3.393,1.367,?,0
14.99,?,0.8883,5.57,?,2.958,5.175,0
14.79,14.52,?,5.545,3.291,2.704,5.111,0
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,0
14.43,14.4,0.8751,?,?,3.975,5.144,0
15.78,?,0.8923,5.674,3.434,5.593,5.136,0
14.49,14.61,0.8538,5.715,?,4.116,5.396,?
14.33,14.28,0.8831,?,3.199,3.328,?,?
14.52,?,0.8557,?,?,1.481,5.487,?
15.03,14.77,?,?,3.212,1.933,5.439,0
14.46,?,0.8818,5.388,?,2.802,5.044,?
14.92,14.43,?,5.384,3.412,?,5.088,0
15.38,14.77,?,?,3.419,1.999,5.222,0
12.11,13.47,0.8392,5.159,3.032,?,4.519,?
11.42,12.86,?,5.008,2.85,2.7,4.607,0
11.23,12.63,0.884,?,?,?,?,0
12.36,?,?,5.076,3.042,3.22,4.605,0
13.22,13.84,?,5.395,?,?,?,0
?,?,?,?,3.026,?,?,0
12.88,?,0.8879,5.139,3.119,2.352,?,0
14.34,14.37,?,5.63,3.19,1.313,?,0
?,14.29,?,?,3.158,2.217,?,0
?,14.39,?,5.569,3.153,1.464,?,0
?,13.75,0.8458,?,2.882,3.533,?,0
?,15.98,?,?,3.561,?,6.06,1
?,15.67,0.8623,5.998,?,?,5.877,1
?,15.73,?,5.978,3.594,?,5.791,?
19.11,16.26,0.9081,6.154,3.93,?,6.079,?
16.82,15.51,?,6.017,3.486,4.004,?,?
16.77,?,0.8638,5.927,3.438,?,5.795,1
17.32,15.91,?,6.064,?,3.824,5.922,1
?,17.23,?,6.579,3.814,4.451,6.451,?
18.94,16.49,0.875,?,?,?,?,1
17.12,?,0.8892,5.85,3.566,2.858,5.746,1
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,1
18.72,16.19,0.8977,?,3.857,5.324,5.879,?
?,16.89,0.8894,6.285,3.864,5.173,6.187,?
?,?,0.8779,6.384,3.772,1.472,6.273,1
19.51,?,?,6.366,3.801,2.962,6.185,?
18.27,16.09,?,6.173,3.651,2.443,6.197,1
18.88,16.26,0.8969,6.084,?,1.649,?,1
18.98,16.66,0.859,?,3.67,3.691,6.498,1
?,17.21,0.8989,6.573,4.033,?,6.231,?
20.88,17.05,?,6.45,?,?,6.321,?
20.1,?,0.8746,6.581,3.785,1.955,6.449,1
?,16.2,0.8984,6.172,3.796,?,6.053,1
