@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,?,5.763,3.312,2.221,5.22,1
14.88,?,0.8811,5.554,3.333,1.018,?,?
14.29,14.09,?,5.291,3.337,?,4.825,1
13.84,?,0.8955,5.324,3.379,2.259,4.805,1
?,?,0.9034,5.658,3.562,1.355,5.175,1
?,14.21,0.8951,5.386,3.312,2.462,4.956,1
14.69,14.49,0.8799,5.563,?,?,5.219,?
?,14.1,?,?,?,2.7,5.0,?
16.63,?,?,?,?,2.04,5.877,?
16.44,15.25,?,5.884,3.505,?,?,?
?,14.85,0.8696,5.714,3.242,4.543,?,1
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,1
13.89,14.02,0.888,5.439,3.199,3.986,?,1
13.78,?,?,?,3.156,?,4.872,?
13.74,?,0.8744,5.482,3.114,?,4.825,1
?,14.28,0.8993,?,3.333,?,4.781,?
13.99,13.83,0.9183,5.119,3.383,?,4.781,1
15.69,14.75,0.9058,?,3.514,?,5.046,1
?,14.21,0.9153,?,3.466,1.767,4.649,1
?,13.57,0.8686,5.226,3.049,?,?,1
14.16,?,0.8584,5.658,3.129,3.072,5.176,1
?,14.26,0.8722,5.52,?,2.688,?,?
15.88,?,0.8988,?,3.507,0.7651,5.091,1
?,?,0.8664,5.099,2.936,1.415,?,1
15.01,?,0.8657,5.789,?,?,?,1
16.19,15.16,0.8849,5.833,?,?,5.307,1
?,13.76,0.8641,5.395,?,3.373,4.825,1
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1
?,14.18,0.882,5.541,3.221,2.754,?,1
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
?,14.94,0.8724,?,3.371,?,5.228,1
14.09,14.41,0.8529,5.717,3.186,3.92,?,1
?,?,0.8728,5.585,?,2.124,5.012,1
?,14.68,0.8779,?,3.328,2.129,?,?
16.12,15.0,?,5.709,3.485,?,5.443,1
?,15.27,0.8734,?,3.464,?,?,?
17.08,15.38,0.9079,5.832,3.683,?,5.484,1
?,14.52,0.8823,5.656,3.288,3.112,?,1
14.28,14.17,0.8944,5.397,3.298,?,5.001,1
?,13.85,0.8871,5.348,?,2.587,5.178,1
13.5,13.85,0.8852,5.351,3.158,?,?,1
13.16,13.55,0.9009,5.138,?,2.461,?,1
15.5,?,0.882,5.877,3.396,4.711,5.528,1
?,14.54,0.8986,5.579,3.462,3.128,5.18,1
13.8,14.04,0.8794,5.376,?,1.56,4.961,1
15.36,?,0.8861,5.701,3.393,1.367,5.132,?
14.99,14.56,?,5.57,?,?,5.175,?
14.79,14.52,0.8819,5.545,3.291,2.704,?,1
14.86,?,0.8676,5.678,3.258,2.129,5.351,1
14.43,?,0.8751,5.585,3.272,?,5.144,1
15.78,?,?,?,?,?,?,1
14.49,14.61,0.8538,5.715,3.113,4.116,?,1
14.33,14.28,0.8831,5.504,?,3.328,5.224,?
14.52,?,?,?,3.113,1.481,5.487,1
15.03,14.77,0.8658,5.702,3.212,?,5.439,1
?,?,0.8818,5.388,?,2.802,?,?
14.92,14.43,0.9006,5.384,?,1.142,?,1
15.38,?,?,5.662,3.419,1.999,5.222,1
12.11,?,0.8392,5.159,3.032,1.502,4.519,1
