@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,?,5.763,?,?,5.22,1
?,?,?,?,3.333,1.018,4.956,1
14.29,14.09,0.905,5.291,3.337,2.699,4.825,?
13.84,13.94,?,5.324,3.379,2.259,4.805,1
16.14,14.99,0.9034,?,3.562,1.355,?,1
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
14.69,14.49,?,5.563,3.259,?,?,1
14.11,?,0.8911,5.42,?,?,5.0,1
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
16.44,?,?,5.884,3.505,1.969,?,?
15.26,14.85,?,5.714,?,4.543,5.314,?
14.03,?,0.8796,5.438,?,?,?,1
13.89,?,0.888,?,3.199,3.986,4.738,1
?,?,0.8759,5.479,3.156,3.136,4.872,1
13.74,14.05,0.8744,5.482,?,2.932,4.825,1
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,?
13.99,?,0.9183,5.119,3.383,5.234,4.781,1
?,?,?,?,3.514,1.599,5.046,1
?,14.21,0.9153,?,3.466,1.767,4.649,?
?,?,0.8686,5.226,3.049,4.102,?,1
?,14.4,0.8584,5.658,?,3.072,5.176,1
?,?,0.8722,5.52,3.168,2.688,?,?
?,?,0.8988,5.618,3.507,0.7651,5.091,1
?,13.23,?,5.099,2.936,1.415,4.961,1
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1
?,15.16,?,5.833,3.421,0.903,?,?
13.02,?,?,5.395,?,3.373,4.825,?
12.74,?,0.8564,?,2.956,?,4.869,1
14.11,14.18,?,?,3.221,2.754,5.038,1
13.45,14.02,0.8604,5.516,?,3.531,?,1
?,?,0.8662,?,2.975,0.8551,5.056,1
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,1
14.09,14.41,0.8529,5.717,?,3.92,5.299,1
?,?,0.8728,5.585,3.15,?,?,1
15.05,14.68,0.8779,?,3.328,2.129,5.36,1
?,?,?,5.709,3.485,2.27,?,1
16.2,15.27,0.8734,?,3.464,2.823,5.527,1
17.08,15.38,0.9079,?,3.683,2.956,?,?
?,?,0.8823,?,3.288,3.112,?,1
14.28,?,0.8944,5.397,?,6.685,?,1
?,?,?,?,3.156,2.587,?,?
?,?,?,5.351,?,2.249,5.176,1
?,13.55,0.9009,5.138,3.201,2.461,?,?
15.5,?,0.882,5.877,?,4.711,5.528,1
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,1
13.8,14.04,0.8794,?,3.155,1.56,4.961,1
?,?,?,5.701,?,?,5.132,?
14.99,?,0.8883,5.57,?,2.958,?,1
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1
14.86,14.67,0.8676,5.678,3.258,2.129,?,?
14.43,?,0.8751,?,?,?,5.144,1
15.78,?,?,5.674,3.434,5.593,?,1
14.49,14.61,?,5.715,3.113,4.116,5.396,?
14.33,14.28,0.8831,?,?,3.328,5.224,1
?,?,?,?,3.113,?,5.487,1
15.03,14.77,0.8658,?,3.212,?,5.439,1
14.46,14.35,0.8818,5.388,3.377,?,5.044,1
14.92,14.43,0.9006,?,3.412,?,5.088,?
15.38,?,?,?,3.419,1.999,?,1
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,1
?,12.86,0.8683,5.008,2.85,?,4.607,?
11.23,12.63,?,4.902,2.879,?,4.703,1
12.36,13.19,?,5.076,3.042,?,4.605,?
13.22,13.84,0.868,5.395,3.07,?,5.088,?
12.78,13.57,0.8716,5.262,3.026,?,?,1
