@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

?,?,0.871,?,?,2.221,5.22,?
14.88,14.57,0.8811,5.554,?,1.018,4.956,1
14.29,14.09,0.905,5.291,3.337,2.699,?,?
13.84,?,?,5.324,?,2.259,4.805,1
16.14,14.99,0.9034,5.658,?,?,5.175,1
?,14.21,0.8951,5.386,3.312,2.462,4.956,1
?,14.49,0.8799,?,3.259,3.586,5.219,1
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1
16.63,15.46,?,?,3.465,?,?,1
16.44,15.25,?,?,?,1.969,5.533,1
15.26,14.85,0.8696,?,?,4.543,5.314,1
14.03,14.16,0.8796,?,3.201,1.717,5.001,1
13.89,14.02,0.888,5.439,3.199,3.986,4.738,1
13.78,14.06,?,?,3.156,3.136,?,1
13.74,?,0.8744,5.482,3.114,?,4.825,1
14.59,14.28,0.8993,?,3.333,4.185,4.781,?
13.99,13.83,0.9183,5.119,?,?,4.781,1
15.69,14.75,0.9058,5.527,3.514,1.599,?,?
?,14.21,?,?,3.466,1.767,4.649,1
12.72,?,0.8686,5.226,3.049,4.102,4.914,1
14.16,14.4,0.8584,5.658,?,3.072,5.176,1
14.11,14.26,0.8722,?,3.168,2.688,5.219,1
?,14.9,?,5.618,?,?,?,?
12.08,13.23,0.8664,5.099,2.936,1.415,?,?
15.01,14.76,0.8657,?,3.245,1.791,5.001,?
16.19,15.16,0.8849,5.833,?,?,5.307,?
13.02,13.76,?,5.395,?,3.373,4.825,1
?,13.67,0.8564,5.395,?,2.504,?,?
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1
13.45,14.02,0.8604,5.516,3.065,3.531,?,1
13.16,13.82,0.8662,5.454,2.975,?,5.056,1
?,?,0.8724,5.757,3.371,3.412,?,1
14.09,14.41,0.8529,?,3.186,3.92,?,?
?,?,0.8728,5.585,3.15,2.124,5.012,1
15.05,?,?,5.712,?,2.129,?,?
16.12,15.0,0.9,5.709,?,?,?,1
16.2,?,?,5.826,3.464,2.823,5.527,?
17.08,?,0.9079,5.832,3.683,?,5.484,1
14.8,14.52,0.8823,?,3.288,?,5.309,?
?,14.17,0.8944,5.397,3.298,?,5.001,1
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
13.5,?,0.8852,?,?,2.249,5.176,1
13.16,13.55,0.9009,5.138,3.201,2.461,?,1
15.5,14.86,?,?,3.396,4.711,?,1
?,14.54,0.8986,5.579,3.462,3.128,5.18,1
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1
15.36,14.76,?,5.701,3.393,1.367,5.132,1
14.99,14.56,0.8883,5.57,?,?,5.175,?
14.79,14.52,0.8819,?,?,2.704,5.111,1
14.86,?,?,?,?,2.129,5.351,1
?,?,0.8751,?,?,3.975,5.144,1
15.78,14.91,0.8923,5.674,3.434,?,5.136,1
?,14.61,0.8538,5.715,3.113,?,5.396,1
?,14.28,?,5.504,?,3.328,5.224,1
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,1
15.03,?,0.8658,?,?,1.933,?,1
?,14.35,0.8818,5.388,3.377,2.802,5.044,1
?,14.43,?,5.384,?,1.142,?,1
15.38,14.77,0.8857,5.662,3.419,1.999,?,1
?,?,0.8392,5.159,3.032,1.502,4.519,1
11.42,?,?,?,2.85,2.7,4.607,1
?,12.63,?,4.902,2.879,2.269,?,1
12.36,13.19,?,?,3.042,3.22,4.605,1
?,?,0.868,5.395,3.07,4.157,?,1
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,?
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1
?,14.37,0.8726,?,3.19,1.313,?,1
14.01,14.29,?,5.609,?,?,5.132,1
?,?,0.8726,?,3.153,?,5.3,?
12.73,13.75,0.8458,5.412,2.882,?,5.067,1
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2
?,15.67,0.8623,5.998,?,4.675,5.877,2
?,?,0.8763,?,3.594,4.539,5.791,?
19.11,?,0.9081,6.154,3.93,2.936,?,2
16.82,15.51,0.8786,6.017,3.486,?,5.841,2
?,?,?,5.927,3.438,4.92,?,?
17.32,15.91,0.8599,6.064,3.403,?,5.922,2
20.71,17.23,0.8763,?,3.814,?,6.451,2
18.94,16.49,0.875,6.445,3.639,5.064,6.362,?
17.12,15.55,0.8892,5.85,3.566,?,?,?
?,15.34,0.8823,5.875,3.467,5.532,?,2
18.72,16.19,0.8977,6.006,?,?,5.879,2
20.2,16.89,0.8894,6.285,3.864,?,6.187,?
19.57,?,?,6.384,3.772,?,6.273,2
?,16.71,0.878,?,3.801,?,?,2
?,16.09,0.887,6.173,?,?,?,2
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2
18.98,16.66,?,6.549,?,3.691,6.498,?
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,?
20.88,17.05,0.9031,6.45,?,5.016,6.321,2
