@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,0.871,5.763,?,2.221,?,0
?,14.57,0.8811,5.554,3.333,1.018,4.956,0
?,14.09,0.905,5.291,3.337,?,?,0
?,13.94,0.8955,5.324,3.379,?,4.805,0
16.14,?,0.9034,5.658,3.562,1.355,?,0
14.38,?,0.8951,5.386,3.312,?,4.956,0
14.69,14.49,0.8799,5.563,3.259,?,?,0
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,0
16.63,15.46,0.8747,?,3.465,2.04,5.877,?
16.44,?,0.888,5.884,3.505,?,5.533,0
15.26,?,0.8696,5.714,3.242,4.543,5.314,?
14.03,14.16,0.8796,5.438,3.201,1.717,?,?
13.89,?,0.888,5.439,?,3.986,?,0
?,14.06,?,5.479,3.156,3.136,4.872,0
13.74,?,0.8744,5.482,3.114,2.932,4.825,0
14.59,14.28,0.8993,?,?,4.185,4.781,?
13.99,?,0.9183,?,3.383,5.234,4.781,0
15.69,?,0.9058,?,3.514,?,?,0
?,14.21,0.9153,5.205,3.466,1.767,4.649,?
12.72,?,?,?,3.049,4.102,?,0
?,14.4,0.8584,5.658,3.129,3.072,?,0
14.11,14.26,0.8722,5.52,3.168,?,5.219,0
15.88,?,0.8988,?,3.507,?,?,0
12.08,?,0.8664,?,?,1.415,4.961,0
15.01,14.76,?,5.789,3.245,?,5.001,0
16.19,15.16,?,5.833,?,0.903,5.307,0
?,?,0.8641,5.395,?,3.373,4.825,0
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,0
14.11,14.18,0.882,5.541,?,2.754,?,?
13.45,14.02,?,?,?,3.531,5.097,?
?,13.82,0.8662,5.454,2.975,0.8551,?,0
?,14.94,?,5.757,3.371,3.412,5.228,?
14.09,?,0.8529,5.717,3.186,3.92,5.299,0
13.94,?,0.8728,5.585,3.15,?,?,0
15.05,14.68,0.8779,?,?,?,5.36,?
?,15.0,0.9,5.709,3.485,2.27,5.443,?
16.2,?,0.8734,5.826,?,?,5.527,?
17.08,15.38,0.9079,?,3.683,2.956,5.484,0
?,14.52,0.8823,?,?,3.112,5.309,?
?,14.17,?,?,?,6.685,5.001,0
?,13.85,?,?,?,2.587,5.178,0
13.5,13.85,?,5.351,3.158,2.249,5.176,0
?,13.55,0.9009,5.138,?,2.461,4.783,0
?,14.86,?,5.877,3.396,4.711,5.528,?
15.11,14.54,?,5.579,3.462,?,?,0
?,?,?,?,3.155,1.56,?,?
15.36,14.76,0.8861,5.701,?,1.367,5.132,0
14.99,?,?,?,3.377,2.958,5.175,0
14.79,14.52,?,?,3.291,2.704,5.111,0
14.86,?,0.8676,5.678,3.258,2.129,5.351,0
?,14.4,0.8751,5.585,3.272,?,?,0
15.78,?,0.8923,5.674,3.434,?,5.136,0
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,0
14.33,14.28,?,5.504,3.199,3.328,?,0
14.52,?,0.8557,5.741,3.113,?,?,?
?,?,?,5.702,3.212,1.933,5.439,?
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,0
?,?,0.9006,5.384,3.412,1.142,?,0
?,14.77,?,?,3.419,1.999,5.222,0
?,?,?,5.159,3.032,1.502,4.519,?
?,?,0.8683,5.008,2.85,2.7,4.607,0
11.23,12.63,0.884,?,2.879,2.269,4.703,0
12.36,?,?,5.076,3.042,3.22,?,0
13.22,13.84,?,5.395,?,4.157,5.088,?
12.78,13.57,?,?,3.026,1.176,?,0
?,13.5,0.8879,5.139,?,?,4.607,0
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,0
?,?,0.8625,?,3.158,2.217,?,?
