@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

14.23,1.71,2.43,15.6,?,2.8,3.06,?,2.29,5.64,1.04,?,?
13.2,?,?,?,?,?,2.76,0.26,?,?,1.05,3.4,?
?,2.36,2.67,18.6,?,2.8,3.24,0.3,2.81,5.68,1.03,3.17,?
?,1.95,?,16.8,?,3.85,?,0.24,2.18,?,0.86,3.45,?
13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,?,2.93,735.0
14.2,1.76,2.45,15.2,?,?,3.39,0.34,1.97,6.75,1.05,?,1450.0
14.39,1.87,?,14.6,96.0,2.5,?,0.3,1.98,5.25,?,3.58,1290.0
14.06,2.15,2.61,17.6,121.0,2.6,2.51,?,1.25,?,1.06,3.58,1295.0
14.83,1.64,2.17,14.0,97.0,2.8,2.98,?,1.98,5.2,?,2.85,1045.0
13.86,1.35,2.27,16.0,98.0,2.98,?,0.22,?,?,1.01,3.55,?
14.1,?,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510.0
14.12,1.48,2.32,16.8,?,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280.0
13.75,1.73,2.41,16.0,89.0,?,2.76,?,1.81,5.6,1.15,2.9,1320.0
14.75,?,2.39,11.4,91.0,3.1,?,?,2.81,5.4,1.25,?,1150.0
14.38,?,?,12.0,102.0,3.3,?,?,?,7.5,?,3.0,?
?,1.81,2.7,?,?,2.85,2.91,?,1.46,?,?,2.88,?
14.3,1.92,2.72,?,120.0,2.8,3.14,0.33,1.97,?,?,2.65,1280.0
13.83,1.57,?,20.0,115.0,?,3.4,0.4,?,6.6,1.13,2.57,?
?,?,?,?,108.0,?,?,?,1.86,8.7,1.23,2.82,?
13.64,?,2.56,15.2,?,2.7,3.03,0.17,?,5.1,?,3.36,845.0
14.06,1.63,?,?,126.0,3.0,3.17,0.24,2.1,5.65,?,3.71,780.0
12.93,3.8,2.65,?,102.0,2.41,?,?,1.98,?,1.03,?,?
13.71,1.86,2.36,16.6,?,2.61,2.88,0.27,1.69,?,1.11,?,1035.0
12.85,?,2.52,17.8,95.0,2.48,2.37,0.26,?,?,1.09,?,1015.0
?,?,2.61,20.0,96.0,?,2.61,?,?,3.52,1.12,?,?
13.05,2.05,3.22,?,124.0,?,2.68,0.47,1.92,3.58,1.13,?,830.0
?,1.77,?,?,93.0,2.85,2.94,0.34,1.45,4.8,?,3.22,?
13.3,?,2.14,17.0,?,2.4,?,?,1.35,3.95,1.02,2.77,?
13.87,1.9,?,19.4,107.0,2.95,2.97,0.37,1.76,?,1.25,3.4,?
14.02,1.68,2.21,?,96.0,?,2.33,0.26,?,4.7,?,3.59,1035.0
13.73,1.5,2.7,22.5,101.0,3.0,?,0.29,2.38,?,1.19,2.71,1285.0
13.58,1.66,2.36,?,106.0,2.86,3.19,0.22,1.95,6.9,1.09,?,?
13.68,?,?,17.2,104.0,?,?,?,?,3.84,1.23,2.87,990.0
?,?,2.7,?,132.0,?,2.74,?,1.35,?,1.25,3.0,1235.0
?,1.8,2.65,?,?,?,2.53,0.29,1.54,4.2,1.1,2.87,1095.0
?,1.81,2.41,20.5,?,2.7,2.98,?,1.86,5.1,1.04,3.47,920.0
13.28,1.64,2.84,?,110.0,?,?,0.34,?,4.6,1.09,2.78,880.0
13.05,1.65,2.55,?,98.0,2.45,?,?,1.44,?,1.12,2.51,1105.0
13.07,1.5,2.1,15.5,98.0,?,2.64,?,1.37,3.7,1.18,2.69,1020.0
?,3.99,?,13.2,128.0,3.0,3.04,0.2,?,5.1,?,3.53,760.0
?,1.71,2.31,16.2,?,?,?,?,2.34,?,0.95,3.38,795.0
?,3.84,2.12,18.8,90.0,2.45,2.68,?,1.48,?,0.91,3.0,1035.0
?,?,?,15.0,101.0,3.25,?,0.17,1.7,5.43,0.88,3.56,1095.0
?,3.98,2.29,17.5,?,2.64,2.63,0.32,?,4.36,?,3.0,680.0
13.05,1.77,2.1,17.0,?,?,3.0,0.28,2.03,5.04,0.88,?,885.0
14.21,4.04,2.44,?,111.0,2.85,2.65,?,1.25,?,0.87,3.33,?
?,3.59,2.28,16.0,?,3.25,3.17,0.27,?,4.9,1.04,3.44,?
13.9,1.68,2.12,?,?,?,3.39,0.21,2.14,6.1,?,?,985.0
14.1,?,2.4,18.8,103.0,2.75,?,?,?,6.2,1.07,2.75,?
?,1.73,?,17.4,108.0,?,3.54,0.32,?,8.9,1.12,3.1,?
13.05,1.73,?,?,92.0,2.72,?,0.17,2.91,?,1.12,2.91,1150.0
13.83,?,2.6,17.2,?,?,2.99,0.22,2.29,5.6,1.24,3.37,1265.0
?,?,?,14.0,?,3.88,?,0.32,?,7.05,1.01,3.26,1190.0
?,1.9,?,?,?,3.0,2.79,0.39,?,6.3,1.13,2.93,1375.0
13.74,1.67,2.25,16.4,118.0,?,2.9,0.21,1.62,?,?,3.2,1060.0
13.56,1.73,2.46,?,?,?,2.78,?,?,6.25,0.98,3.03,1120.0
14.22,1.7,2.3,?,?,3.2,?,?,2.03,6.38,0.94,?,?
13.29,1.97,2.68,?,102.0,3.0,3.23,0.31,?,6.0,1.07,2.84,1270.0
?,?,2.5,?,108.0,3.4,3.67,0.19,?,6.8,0.89,2.87,?
12.37,0.94,1.36,?,88.0,?,?,?,?,1.95,1.05,1.82,520.0
12.33,?,2.28,16.0,101.0,2.05,?,?,0.41,?,1.25,?,?
?,?,2.02,16.8,100.0,2.02,1.41,0.53,?,5.75,0.98,1.59,450.0
?,1.25,1.92,18.0,?,2.1,1.79,0.32,0.73,?,?,2.46,630.0
?,1.13,2.16,?,87.0,3.5,3.1,0.19,?,4.45,1.22,?,420.0
12.17,?,2.53,?,104.0,1.89,1.75,0.45,1.03,?,?,2.23,?
12.37,1.21,2.56,18.1,98.0,2.42,2.65,?,2.08,4.6,1.19,?,678.0
?,?,?,15.0,78.0,2.98,3.18,0.26,2.28,5.3,?,?,502.0
12.37,?,?,19.6,78.0,?,?,0.27,1.04,4.68,?,?,510.0
13.34,0.94,2.36,?,?,2.53,1.3,0.55,0.42,3.17,1.02,1.93,?
12.21,?,1.75,16.8,151.0,?,?,?,2.5,2.85,?,?,718.0
12.29,1.61,2.21,?,103.0,1.1,1.02,0.37,?,3.05,0.906,1.82,?
13.86,1.51,?,25.0,86.0,2.95,?,0.21,?,3.38,1.36,?,410.0
13.49,1.66,2.24,24.0,87.0,?,1.84,?,?,3.74,0.98,?,472.0
?,?,2.6,30.0,?,3.3,2.89,0.21,?,3.35,?,3.5,985.0
?,1.09,2.3,21.0,?,?,?,?,1.65,3.21,?,?,886.0
11.66,?,1.92,16.0,97.0,1.61,1.57,?,?,?,?,2.14,?
13.03,0.9,?,?,86.0,1.95,?,?,1.46,?,1.19,2.48,392.0
?,2.89,2.23,18.0,112.0,?,1.32,0.43,0.95,2.65,?,2.52,?
12.33,0.99,?,?,136.0,1.9,1.85,0.35,2.76,3.4,?,2.31,750.0
?,?,?,23.0,?,2.83,?,0.43,?,2.57,1.19,3.13,463.0
12.0,0.92,2.0,19.0,?,?,2.26,0.3,?,2.5,1.38,3.12,?
12.72,1.81,2.2,?,86.0,2.2,2.53,0.26,1.77,?,1.16,?,?
?,1.13,2.51,24.0,78.0,2.0,?,0.4,1.4,2.2,?,2.72,630.0
13.05,3.86,?,22.5,?,1.65,?,?,1.62,4.8,0.84,2.01,515.0
11.84,0.89,?,18.0,94.0,2.2,2.21,0.22,?,?,?,3.08,?
?,?,?,18.0,99.0,2.2,1.94,?,1.46,2.62,1.23,3.16,450.0
12.16,?,2.31,22.8,?,1.78,1.69,0.43,1.56,2.45,1.33,?,495.0
11.65,?,2.62,26.0,88.0,1.92,1.61,?,?,?,1.36,3.21,562.0
11.64,2.06,?,?,?,1.95,1.69,0.48,?,2.8,1.0,2.75,680.0
12.08,?,?,23.6,?,?,1.59,0.42,1.38,1.74,1.07,3.21,?
12.08,1.83,?,18.5,81.0,?,?,0.52,?,2.4,1.08,2.27,480.0
12.0,1.51,2.42,22.0,?,1.45,1.25,0.5,?,3.6,?,?,450.0
12.69,1.53,2.26,?,80.0,?,1.46,0.58,1.62,3.05,?,2.06,495.0
?,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,?,?
11.62,1.99,2.28,?,98.0,3.02,2.26,0.17,1.35,3.25,?,2.96,345.0
?,1.52,?,19.0,162.0,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937.0
?,2.12,?,?,134.0,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625.0
?,?,1.98,16.0,?,2.55,2.5,0.29,?,2.9,?,?,428.0
?,1.07,2.1,?,88.0,3.52,3.75,0.24,?,?,1.04,2.77,?
12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,?,2.83,406.0
?,?,?,?,?,2.23,2.17,?,1.4,3.3,?,?,710.0
12.6,1.34,?,?,88.0,1.45,1.36,0.29,1.35,?,1.04,?,562.0
12.34,2.45,?,21.0,98.0,2.56,?,?,?,2.8,0.8,3.38,438.0
?,1.72,1.88,19.5,86.0,?,1.64,0.37,1.42,2.06,0.94,2.44,415.0
12.51,1.73,?,20.5,85.0,2.2,?,?,1.48,2.94,1.04,3.57,672.0
12.42,?,2.27,22.0,?,1.68,1.84,?,1.42,2.7,?,3.3,315.0
12.25,?,2.12,19.0,?,1.65,2.03,0.37,1.63,?,?,?,?
12.72,?,?,22.5,84.0,?,1.76,0.48,1.63,3.3,0.88,2.42,488.0
12.22,1.29,1.94,?,92.0,2.36,?,0.39,2.08,2.7,?,3.02,312.0
11.61,?,?,20.0,94.0,2.74,2.92,0.29,?,?,0.96,3.26,680.0
11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,?,2.9,?,?,562.0
?,2.43,2.17,21.0,88.0,?,2.27,?,1.22,?,0.9,?,?
11.76,2.68,?,20.0,103.0,?,?,0.6,?,3.8,1.23,?,607.0
11.41,?,2.5,21.0,88.0,?,2.01,0.42,1.44,3.08,?,2.31,434.0
12.08,1.39,?,?,?,2.56,2.29,0.43,1.04,?,0.93,?,385.0
11.03,?,2.2,21.5,85.0,?,2.17,0.52,2.01,1.9,1.71,2.87,?
11.82,?,?,?,86.0,?,1.6,?,1.53,1.95,0.95,?,?
12.42,1.61,?,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,?,345.0
12.77,3.43,1.98,?,?,1.63,?,?,0.83,3.4,?,?,372.0
12.0,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,?,0.93,3.05,?
11.45,?,2.42,20.0,96.0,2.9,2.79,0.32,?,3.25,0.8,3.39,625.0
?,?,?,28.5,119.0,3.18,5.08,0.47,1.87,?,0.93,3.69,465.0
12.42,4.43,?,26.5,102.0,2.2,2.13,0.43,1.71,2.08,0.92,?,365.0
?,?,2.13,?,86.0,?,?,0.3,2.01,?,0.73,3.1,?
11.87,4.31,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0
?,2.16,?,?,?,2.6,?,0.37,1.35,2.76,0.86,?,378.0
12.43,?,?,21.5,86.0,2.74,3.15,0.39,1.77,3.94,?,2.84,352.0
11.79,2.13,?,28.5,92.0,2.13,2.24,0.58,1.76,?,0.97,?,466.0
?,1.63,2.3,24.5,88.0,2.22,2.45,0.4,1.9,2.12,?,2.78,?
12.04,4.3,2.38,22.0,?,?,?,0.42,1.35,2.6,0.79,2.57,580.0
?,1.35,2.32,18.0,122.0,?,1.25,0.21,0.94,4.1,0.76,1.29,630.0
12.88,?,2.4,20.0,104.0,1.3,?,0.24,0.83,?,0.74,?,530.0
12.81,2.31,2.4,?,98.0,?,1.09,0.27,?,5.7,?,1.36,?
?,?,2.36,?,106.0,1.7,?,0.17,0.84,?,0.78,1.29,600.0
12.51,1.24,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,?
?,2.46,2.2,18.5,94.0,1.62,0.66,0.63,?,7.1,0.73,1.58,695.0
?,?,?,?,89.0,?,0.47,0.53,?,?,?,1.27,?
12.53,?,2.64,25.0,96.0,1.79,0.6,0.63,1.1,5.0,0.82,?,?
13.49,3.59,?,19.5,?,1.62,0.48,?,0.88,5.7,0.81,1.82,?
12.84,2.96,?,?,101.0,2.32,0.6,0.53,0.81,4.92,0.89,?,590.0
12.93,?,2.7,?,96.0,?,0.5,0.53,0.75,4.6,?,2.31,?
?,?,?,20.0,89.0,1.4,?,0.37,0.64,?,0.7,2.47,780.0
13.52,3.17,2.72,23.5,97.0,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520.0
?,?,2.35,20.0,92.0,?,0.8,0.47,?,4.4,?,2.05,550.0
12.25,?,2.2,18.5,112.0,1.38,0.78,0.29,?,8.21,0.65,2.0,855.0
?,?,2.15,21.0,102.0,1.5,0.55,?,?,4.0,0.6,1.68,830.0
13.88,5.04,2.23,20.0,80.0,?,0.34,0.4,0.68,?,?,?,415.0
12.87,4.61,2.48,?,?,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625.0
13.32,3.24,2.38,?,?,1.93,0.76,0.45,1.25,8.42,?,1.62,650.0
?,3.9,2.36,21.5,113.0,1.41,1.39,?,1.14,9.4,0.57,?,550.0
13.5,3.12,?,24.0,123.0,?,?,0.22,1.25,8.6,0.59,1.3,500.0
12.79,2.67,2.48,22.0,?,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480.0
13.11,1.9,2.75,25.5,?,2.2,1.28,?,1.56,7.1,0.61,1.33,425.0
?,3.3,2.28,18.5,?,1.8,0.83,0.61,?,10.52,0.56,1.51,?
12.58,1.29,2.1,?,103.0,?,0.58,?,1.4,?,0.58,?,?
13.17,5.19,2.32,22.0,?,?,0.63,0.61,1.55,7.9,0.6,1.48,725.0
13.84,4.12,2.38,?,89.0,?,?,?,?,?,0.57,1.64,480.0
12.45,3.03,2.64,?,?,1.9,?,0.63,?,?,0.67,1.73,880.0
14.34,?,2.7,25.0,98.0,?,?,0.53,2.7,13.0,0.57,?,660.0
?,1.67,2.64,22.5,89.0,2.6,1.1,0.52,2.29,?,0.57,1.78,?
12.36,3.83,?,21.0,88.0,?,0.92,0.5,?,?,0.56,1.58,520.0
?,3.26,2.54,20.0,107.0,1.83,0.56,?,0.8,5.88,0.96,1.82,680.0
12.85,?,2.58,22.0,?,1.65,0.6,0.6,0.96,5.58,?,2.11,570.0
12.96,3.45,2.35,18.5,?,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675.0
13.78,2.76,2.3,?,90.0,1.35,?,0.41,1.03,9.58,?,1.68,615.0
13.73,4.36,2.26,22.5,?,?,?,?,?,6.62,?,1.75,520.0
13.45,?,2.6,23.0,111.0,1.7,0.92,0.43,?,?,0.85,1.56,?
12.82,3.37,2.3,19.5,88.0,?,0.66,?,0.97,?,0.72,?,?
?,2.58,2.69,24.5,?,1.55,0.84,0.39,1.54,8.66,0.74,1.8,?
?,4.6,2.86,25.0,?,?,?,0.27,1.11,8.5,0.67,1.92,630.0
12.2,3.03,2.32,19.0,96.0,1.25,0.49,0.4,0.73,?,0.66,1.83,510.0
?,2.39,2.28,19.5,86.0,1.39,0.51,0.48,?,?,0.57,1.63,470.0
?,2.51,2.48,20.0,?,1.68,0.7,?,?,?,0.62,1.71,660.0
13.71,5.65,?,20.5,?,1.68,0.61,0.52,?,7.7,0.64,1.74,740.0
?,?,2.48,23.0,102.0,?,?,0.43,?,7.3,0.7,?,750.0
13.27,?,2.26,20.0,?,1.59,0.69,0.43,1.35,?,0.59,1.56,?
?,2.59,2.37,20.0,120.0,1.65,0.68,0.53,?,9.3,0.6,?,840.0
14.13,4.1,2.74,?,96.0,2.05,?,0.56,1.35,9.2,0.61,1.6,560.0
