@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

?,1.71,2.43,15.6,127.0,2.8,3.06,?,2.29,5.64,?,3.92,?
13.2,1.78,2.14,11.2,100.0,2.65,2.76,?,?,4.38,1.05,3.4,1050.0
13.16,?,2.67,?,?,2.8,?,0.3,2.81,?,?,?,1185.0
14.37,1.95,2.5,16.8,?,3.85,3.49,0.24,2.18,?,?,3.45,1480.0
13.24,2.59,2.87,21.0,118.0,?,2.69,0.39,1.82,?,1.04,2.93,?
14.2,1.76,2.45,15.2,112.0,?,3.39,?,1.97,?,1.05,?,1450.0
14.39,?,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,?,1290.0
14.06,2.15,2.61,?,121.0,2.6,2.51,0.31,?,5.05,?,?,1295.0
14.83,1.64,2.17,14.0,97.0,?,2.98,0.29,1.98,5.2,1.08,?,1045.0
13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,?,?,?,3.55,?
14.1,2.16,2.3,18.0,?,2.95,?,0.22,2.38,5.75,?,3.17,1510.0
?,1.48,2.32,?,95.0,2.2,2.43,0.26,1.57,5.0,1.17,?,1280.0
13.75,?,2.41,?,89.0,2.6,2.76,?,?,5.6,?,?,1320.0
14.75,1.73,?,11.4,91.0,?,3.69,0.43,?,5.4,1.25,2.73,?
14.38,1.87,?,12.0,102.0,3.3,3.64,?,2.96,?,?,?,1547.0
?,1.81,2.7,?,112.0,2.85,?,0.3,?,7.3,1.28,2.88,1310.0
14.3,1.92,2.72,20.0,120.0,?,3.14,?,1.97,6.2,1.07,?,?
13.83,?,2.62,20.0,115.0,?,?,?,?,6.6,1.13,2.57,1130.0
14.19,?,?,16.5,108.0,3.3,3.93,0.32,?,8.7,?,?,1680.0
?,?,?,15.2,?,2.7,3.03,?,1.66,5.1,0.96,3.36,845.0
14.06,?,2.28,16.0,?,?,3.17,0.24,2.1,5.65,1.09,3.71,780.0
?,?,2.65,18.6,102.0,2.41,?,0.25,1.98,4.5,1.03,3.52,?
13.71,1.86,2.36,16.6,101.0,?,?,?,1.69,3.8,1.11,?,1035.0
?,1.6,?,17.8,?,2.48,?,?,?,3.93,1.09,?,1015.0
?,1.81,2.61,?,?,2.53,?,0.28,?,?,1.12,?,?
13.05,2.05,3.22,25.0,124.0,?,2.68,0.47,?,3.58,?,?,830.0
13.39,1.77,2.62,16.1,93.0,2.85,2.94,0.34,?,4.8,?,?,1195.0
13.3,1.72,2.14,17.0,94.0,2.4,?,0.27,1.35,3.95,1.02,2.77,?
13.87,1.9,2.8,?,107.0,?,2.97,0.37,1.76,?,1.25,3.4,915.0
14.02,1.68,?,?,96.0,?,2.33,0.26,1.98,4.7,1.04,3.59,1035.0
?,1.5,2.7,?,101.0,3.0,3.25,0.29,?,5.7,1.19,?,?
13.58,1.66,?,?,106.0,?,?,0.22,1.95,6.9,1.09,?,?
?,?,?,17.2,104.0,2.42,?,0.42,?,3.84,?,2.87,990.0
13.76,1.53,2.7,19.5,?,?,2.74,?,1.35,5.4,?,3.0,?
13.51,1.8,2.65,19.0,?,2.35,?,0.29,1.54,4.2,?,2.87,?
13.48,?,2.41,20.5,?,2.7,2.98,?,?,5.1,1.04,?,920.0
?,1.64,?,15.5,?,?,2.68,0.34,1.36,4.6,1.09,2.78,880.0
13.05,1.65,2.55,18.0,98.0,2.45,?,0.29,1.44,4.25,1.12,2.51,1105.0
?,1.5,2.1,?,98.0,2.4,2.64,0.28,1.37,?,?,?,1020.0
14.22,3.99,?,13.2,128.0,?,3.04,0.2,2.08,?,?,3.53,?
?,1.71,2.31,?,117.0,3.15,?,0.34,2.34,6.13,?,3.38,?
?,?,2.12,18.8,?,2.45,2.68,0.27,?,?,0.91,3.0,1035.0
13.88,?,?,15.0,?,3.25,3.56,0.17,1.7,5.43,?,3.56,1095.0
