@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,u,p
x,s,y,?,a,f,c,b,k,e,c,s,s,w,w,?,o,p,n,n,g,e
b,s,w,t,l,?,c,b,n,e,c,s,s,w,w,w,?,p,n,n,m,e
?,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,?,k,s,u,?
x,s,g,f,n,f,w,b,k,?,e,s,s,w,w,w,o,e,n,a,g,e
x,y,y,t,?,f,c,b,n,e,c,?,s,w,w,w,o,p,k,n,g,e
b,s,w,t,a,f,?,b,g,e,c,s,?,w,w,w,o,p,k,n,m,e
b,y,w,t,?,f,c,b,n,?,c,s,s,w,w,w,o,p,n,s,m,e
x,y,w,t,p,f,?,n,p,e,e,?,?,w,w,w,o,p,?,v,?,p
?,s,y,t,a,f,c,b,g,e,?,s,?,w,w,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,?,e,c,s,s,w,w,w,o,p,n,n,g,?
x,y,y,t,?,f,c,b,n,e,c,s,s,w,w,w,o,p,?,s,m,e
b,s,y,t,a,f,c,?,w,e,c,s,s,w,w,w,o,p,?,s,g,e
?,y,w,?,p,f,c,n,k,e,e,s,s,w,w,w,o,?,n,v,u,p
x,f,?,f,?,f,w,b,n,t,e,?,f,w,w,w,o,?,k,a,g,e
?,f,?,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,?,?,e
?,f,w,f,n,f,?,b,k,t,e,?,?,?,w,w,o,e,n,a,g,e
?,s,n,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,s,w,?,w,o,p,n,s,u,p
x,s,?,t,p,f,?,n,k,e,e,s,s,w,w,w,?,p,n,s,u,p
b,s,?,t,a,f,?,b,k,?,c,?,s,w,?,w,o,p,n,s,m,e
x,y,?,t,p,f,c,?,n,e,e,s,s,w,w,w,o,p,n,v,g,p
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,?,o,p,n,s,m,e
b,y,w,?,a,?,c,b,w,e,c,s,s,?,w,w,o,p,n,n,m,e
b,s,w,t,l,?,?,b,g,e,c,s,s,w,w,w,o,p,k,?,?,e
