@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,?,p
?,s,y,t,a,?,c,b,k,e,c,s,s,?,w,w,o,p,n,n,g,e
b,s,w,t,?,f,c,b,n,e,c,s,s,w,w,w,o,?,n,n,m,e
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,?,p
x,s,g,f,n,f,w,b,k,?,?,s,s,w,w,w,o,?,n,a,g,?
x,y,y,?,a,f,c,b,n,e,c,s,s,w,w,w,o,p,?,n,g,e
b,s,w,t,?,f,?,b,g,e,c,s,s,w,w,w,o,p,?,n,m,e
b,y,w,t,l,f,?,b,n,e,c,s,s,w,w,w,o,p,n,s,m,e
x,y,w,t,?,?,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g,?
b,s,?,t,a,f,c,b,g,?,c,s,s,w,w,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,g,e,c,?,s,w,w,w,?,p,n,n,g,e
?,y,?,t,a,f,c,b,n,e,c,s,s,?,w,w,o,p,?,s,m,e
b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,?,o,p,n,s,g,e
x,y,?,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,?,v,u,p
?,f,n,f,?,f,w,b,n,t,e,s,f,w,w,w,o,e,k,?,g,e
s,f,g,f,n,f,?,n,k,e,e,s,s,w,w,w,o,p,n,y,u,?
f,f,?,f,n,f,w,b,?,t,e,s,s,w,w,w,o,e,n,a,g,e
x,s,n,t,p,f,?,?,n,e,e,s,?,w,w,w,o,p,?,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,s,u,p
x,s,n,t,p,f,c,n,k,e,e,s,?,w,w,w,o,?,n,s,u,p
b,s,y,t,a,?,?,b,k,?,c,s,s,w,w,w,?,p,n,s,m,e
?,?,n,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g,p
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,m,e
b,?,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,?,e
b,s,?,t,l,f,c,b,g,e,c,s,s,w,w,w,o,?,k,s,m,e
f,s,?,t,p,f,c,?,n,e,e,s,s,w,w,w,o,?,n,v,?,p
?,y,y,t,a,f,?,b,n,e,c,s,s,w,w,w,o,p,n,n,m,?
x,y,?,t,l,f,c,?,w,e,?,s,s,w,w,w,o,p,n,n,m,e
f,f,n,f,?,f,c,n,k,e,e,s,s,w,w,w,o,p,k,y,?,e
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,?,o,p,n,v,d,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,k,e,e,?,s,w,?,w,o,p,n,s,u,p
x,y,y,t,l,f,c,b,n,e,c,s,?,w,w,w,o,p,n,?,m,e
x,y,n,t,l,f,c,b,p,?,?,s,y,w,w,w,o,p,?,y,p,e
b,y,y,t,?,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,e
x,f,y,t,l,f,?,n,w,t,b,s,s,w,w,?,o,p,?,v,d,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,?,?
x,y,?,?,p,f,c,n,?,?,e,?,s,w,w,w,o,p,n,s,u,p
x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,?,v,d,e
b,s,y,t,l,f,c,?,k,e,c,?,s,w,w,?,o,p,k,s,m,e
?,?,y,t,?,f,c,b,n,?,c,s,s,w,w,w,o,p,n,s,g,e
x,y,y,?,l,f,c,b,n,e,?,s,y,w,w,w,o,p,k,y,p,e
x,f,n,f,n,f,?,n,g,e,e,s,s,w,w,w,o,p,k,?,u,e
x,y,w,t,p,f,c,n,p,e,?,s,s,w,w,w,o,?,n,v,g,?
x,s,y,t,a,f,c,?,w,?,c,s,?,w,?,w,o,p,k,n,m,?
x,y,?,t,a,f,c,b,n,e,c,s,s,w,?,w,o,p,n,n,g,?
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,e
x,s,w,t,l,f,c,?,w,?,c,s,s,w,w,w,o,?,n,n,m,e
?,y,?,t,l,f,c,b,n,?,r,s,y,w,w,w,o,p,n,s,p,e
f,y,y,t,l,f,c,b,w,e,r,s,?,w,w,?,o,p,k,s,p,e
x,y,n,t,a,f,?,b,w,e,r,s,y,?,?,w,o,p,k,s,g,e
?,s,w,t,l,f,c,?,k,e,c,s,s,w,w,w,o,p,k,s,g,e
b,s,?,t,l,f,c,?,k,e,c,s,s,w,w,w,o,p,n,n,?,e
x,y,n,t,?,f,c,n,?,e,e,?,s,w,w,w,o,p,n,v,u,p
x,s,w,t,p,?,c,n,?,e,e,?,s,w,w,w,o,p,k,v,u,p
b,y,y,?,a,f,c,b,w,e,c,s,s,w,w,w,o,p,k,s,m,e
?,f,g,f,n,f,w,b,n,?,e,s,s,w,w,w,o,e,n,a,g,e
b,s,w,t,a,f,c,b,w,?,c,s,s,w,w,?,o,p,n,n,g,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,?,g,e
?,y,n,t,a,f,c,b,p,e,r,s,y,?,w,w,o,p,k,y,p,e
s,f,g,f,n,f,c,n,k,e,?,s,s,w,w,w,o,p,n,v,u,e
?,y,y,t,a,f,c,b,k,e,c,s,?,w,w,w,o,p,n,s,m,e
b,s,y,t,l,f,c,?,g,e,c,s,s,?,w,?,o,p,n,s,m,e
b,y,y,t,l,f,c,b,g,?,c,?,s,w,w,w,o,p,n,n,m,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,?,o,p,n,s,g,e
f,s,?,f,n,f,?,b,k,t,e,s,s,w,?,w,o,e,k,a,g,e
x,s,w,t,l,f,c,b,n,?,c,s,s,w,w,w,o,p,k,?,g,e
f,y,y,t,a,f,c,b,?,e,r,?,y,w,w,?,o,p,n,s,g,e
x,y,y,t,a,f,?,b,w,e,c,s,s,w,w,?,o,p,k,n,g,e
x,f,?,f,n,f,c,n,?,e,e,s,?,w,w,?,o,?,n,v,u,e
f,f,y,t,l,f,w,?,p,t,b,s,s,w,w,w,o,p,n,?,d,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,?,o,p,n,?,?,?
f,f,y,?,?,f,w,n,?,t,b,s,s,w,w,w,o,p,n,?,d,e
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,e
b,s,y,t,a,f,c,?,k,e,?,s,s,w,?,w,o,p,?,s,g,e
f,?,y,t,l,f,w,?,p,t,b,s,s,?,w,w,o,p,n,v,d,?
x,s,w,t,l,f,w,n,n,t,b,?,s,w,w,w,o,p,u,v,d,e
?,y,?,t,l,?,c,b,p,e,r,s,y,w,w,w,o,?,n,y,p,e
x,y,n,t,p,f,c,n,?,e,?,s,s,w,w,w,o,p,n,v,u,p
f,y,n,t,a,f,c,?,n,e,r,s,y,w,w,w,?,p,n,y,g,e
x,?,n,f,?,f,w,b,k,t,e,f,s,w,w,w,o,e,n,s,g,e
x,y,w,t,?,?,?,n,w,e,?,s,s,w,w,w,o,p,?,s,g,p
f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,e
x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,w,?,e,n,s,?,e
x,?,y,t,l,f,?,b,w,e,r,s,y,w,w,w,?,p,k,s,g,e
x,s,n,f,n,f,w,b,k,t,e,?,s,w,w,w,o,e,k,s,g,e
b,s,w,t,a,f,c,b,w,?,c,s,s,w,w,w,o,p,k,s,g,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,?,w,o,p,n,?,g,e
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,?,y,g,e
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,w,?,?,n,v,u,e
x,f,?,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,e
b,?,w,t,l,f,?,b,k,e,?,s,s,w,w,w,o,?,?,s,?,?
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,?,s,g,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,e
?,s,n,f,n,f,w,?,n,t,e,s,s,w,w,w,o,e,n,a,g,e
x,s,w,?,?,f,c,b,g,?,c,s,s,w,w,w,o,?,n,s,g,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,?,s,g,e
x,s,y,t,a,f,c,b,?,e,c,s,s,w,w,w,o,p,k,n,g,e
b,s,w,t,a,f,c,?,g,e,c,s,s,w,w,w,o,p,n,?,g,e
x,y,w,t,a,f,c,b,g,e,c,?,s,w,w,w,o,p,k,s,g,e
x,f,n,f,n,f,w,b,p,t,e,f,s,w,?,w,o,e,k,s,g,e
b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,?,n,g,e
f,?,y,t,?,f,c,?,w,e,?,s,y,w,w,w,o,p,n,s,g,e
x,y,y,?,a,f,c,?,n,e,r,?,?,w,w,w,o,p,k,y,p,e
b,?,w,t,l,?,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,e
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,e
x,y,?,?,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,?,g,e
?,?,w,?,l,f,c,b,n,e,c,s,?,w,w,w,o,?,k,s,m,e
b,?,w,t,a,f,c,b,g,?,?,s,s,w,?,w,o,p,n,s,m,e
x,s,?,t,a,f,c,b,k,e,c,s,s,?,w,w,o,p,k,n,m,e
x,?,y,t,l,f,?,b,w,e,c,s,s,w,w,w,o,p,k,n,g,?
s,f,g,f,n,f,c,n,g,e,e,?,s,w,?,w,o,p,?,y,u,e
x,f,w,t,a,f,w,n,w,?,b,s,s,w,?,w,o,p,u,v,d,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,?,w,o,p,k,n,m,e
?,y,w,t,p,f,c,n,n,e,?,s,s,w,w,w,o,p,n,v,u,p
x,y,y,t,l,f,?,?,p,e,r,s,y,w,w,w,o,p,n,s,?,e
s,f,g,f,n,f,c,n,p,e,e,?,s,?,w,w,o,p,n,y,u,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,?
x,s,y,t,l,f,w,n,p,t,b,?,s,w,w,w,o,p,u,?,d,e
