@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,0.455,0.365,0.095,?,0.2245,0.101,0.15,15
M,0.35,0.265,0.09,0.2255,0.0995,?,0.07,?
F,0.53,0.42,0.135,?,?,?,?,9
?,0.44,?,?,0.516,0.2155,?,0.155,10
I,0.33,0.255,0.08,0.205,0.0895,0.0395,?,?
?,0.425,0.3,0.095,0.3515,0.141,0.0775,?,8
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,?
F,0.545,0.425,?,0.768,0.294,0.1495,0.26,16
M,0.475,0.37,0.125,0.5095,?,0.1125,0.165,9
?,?,0.44,0.15,0.8945,0.3145,?,0.32,19
F,0.525,0.38,0.14,?,0.194,0.1475,0.21,?
?,?,?,?,?,0.1675,0.081,0.135,?
M,0.49,0.38,0.135,0.5415,?,0.095,0.19,11
F,0.535,?,0.145,0.6845,0.2725,?,0.205,10
F,0.47,0.355,?,0.4755,0.1675,?,0.185,10
?,?,?,0.13,0.6645,0.258,0.133,?,12
I,0.355,?,0.085,0.2905,0.095,?,0.115,7
F,0.44,0.34,?,0.451,0.188,0.087,?,?
M,0.365,?,?,0.2555,0.097,0.043,?,7
?,?,?,?,0.381,0.1705,0.075,0.115,?
M,0.355,0.28,0.095,0.2455,0.0955,?,0.075,?
I,?,0.275,0.1,?,?,0.049,0.085,10
F,0.565,0.44,0.155,0.9395,?,?,0.27,12
F,?,0.415,0.135,?,0.318,0.21,?,9
?,?,?,0.165,1.1615,0.513,0.301,?,?
F,?,0.44,0.14,0.9285,0.3825,0.188,0.3,?
F,0.58,0.45,?,0.9955,0.3945,?,0.285,?
?,?,0.445,0.14,?,0.356,?,0.28,?
?,0.605,0.475,0.18,0.9365,0.394,0.219,?,?
?,?,0.425,0.14,0.8635,0.393,0.227,0.2,11
M,?,0.47,0.165,0.9975,0.3935,0.242,0.33,10
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
?,0.665,0.525,?,?,?,?,0.35,18
F,?,0.55,0.175,1.798,?,?,0.455,?
F,?,0.55,0.2,1.7095,0.633,0.4115,0.49,13
M,0.465,0.355,0.105,0.4795,?,0.124,?,8
F,0.54,0.475,?,1.217,0.5305,0.3075,0.34,?
F,0.45,0.355,?,0.5225,?,?,0.145,?
?,?,?,0.135,?,0.381,?,0.26,?
M,?,0.29,0.09,0.3275,0.134,?,0.09,9
F,?,0.335,?,0.425,0.1865,0.091,0.115,9
F,0.55,?,0.135,0.8515,0.362,0.196,0.27,14
I,?,0.175,?,0.07,0.0315,0.0235,0.02,5
I,?,0.15,0.055,?,?,0.015,?,?
I,0.21,?,0.05,0.042,0.0175,0.0125,0.015,?
I,0.39,0.295,?,0.203,0.0875,0.045,0.075,7
M,0.47,0.37,0.12,?,0.293,?,0.14,9
F,0.46,0.375,?,0.4605,0.1775,?,0.15,7
I,?,0.245,?,0.161,0.0755,0.0255,0.045,6
F,0.525,0.425,0.16,0.8355,0.3545,?,0.245,9
?,0.52,0.41,0.12,0.595,?,0.111,?,8
M,?,0.32,?,0.303,0.1335,0.06,?,7
M,0.485,0.36,?,0.5415,?,0.096,0.16,10
F,0.47,0.36,0.12,?,0.2105,0.1055,?,10
M,?,?,?,0.385,0.173,?,0.11,?
F,?,0.4,0.14,?,0.2565,0.1755,0.22,8
?,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
?,0.47,0.385,0.135,?,?,0.12,0.17,8
I,?,0.19,0.06,0.086,?,0.014,0.025,4
F,?,?,0.125,?,0.246,0.13,0.175,?
?,?,?,?,0.4115,0.18,0.1125,0.135,7
?,0.505,0.405,0.11,?,0.305,0.16,0.175,9
F,0.53,?,?,0.6965,0.302,?,0.2,?
M,0.425,0.325,0.095,0.3785,?,0.08,?,7
?,0.52,0.4,?,?,0.234,0.1315,0.185,8
M,0.475,0.355,0.12,?,0.234,?,?,?
?,?,?,0.16,?,?,0.1935,0.32,12
F,?,0.495,?,1.285,0.416,0.224,0.485,13
F,?,0.39,?,0.5305,0.2135,?,0.17,?
I,0.31,0.235,0.07,0.151,0.063,0.0405,?,?
M,0.555,?,0.13,?,0.264,0.168,0.275,13
F,0.4,0.32,0.11,?,0.1405,0.0985,0.1,8
?,0.595,0.475,0.17,1.247,0.48,?,?,20
M,?,?,?,?,?,?,0.38,11
F,0.605,0.45,0.195,1.098,0.481,?,0.315,13
F,0.6,?,0.15,?,?,0.221,?,15
?,0.595,?,0.14,0.944,0.3625,0.189,0.315,9
?,?,?,0.15,0.922,0.363,0.194,?,10
?,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
?,?,0.475,?,1.1025,0.4695,0.2355,0.345,?
F,?,0.445,0.14,0.941,0.3845,0.252,0.285,9
M,?,?,0.175,1.615,?,0.192,?,12
?,0.52,0.425,0.165,?,?,0.225,0.32,16
?,?,0.475,0.16,1.3175,0.408,0.234,0.58,?
M,?,0.45,?,1.013,?,0.216,0.36,14
F,0.57,0.465,0.18,1.295,?,0.2225,0.44,12
M,0.625,?,0.14,1.195,0.4825,0.205,0.4,13
M,0.56,?,0.16,0.8645,0.3305,?,?,10
?,0.46,0.355,0.13,?,0.2205,0.114,0.165,9
F,?,0.45,?,0.9775,0.3135,?,0.33,12
M,0.565,?,?,?,?,?,0.255,15
M,0.555,0.44,0.15,0.755,?,?,0.26,12
?,?,0.465,0.175,1.115,0.4015,?,0.39,13
F,0.625,0.495,?,?,?,0.318,0.39,10
?,?,?,0.19,1.494,0.588,?,0.485,?
M,0.665,0.535,?,?,0.5755,?,0.48,?
M,0.535,?,0.15,0.725,0.269,0.1385,?,9
?,0.47,0.375,0.13,?,?,?,0.145,?
M,?,?,?,0.5225,?,0.133,0.165,7
F,?,?,0.125,0.5785,0.2775,?,?,?
I,0.36,0.265,?,?,0.105,?,0.075,7
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
?,?,?,?,0.883,0.316,0.164,0.335,15
M,0.53,?,?,0.724,0.3105,0.1675,0.205,10
M,0.605,?,0.16,?,0.4975,0.2405,0.345,12
?,?,0.41,?,0.727,0.291,0.1835,0.235,?
F,?,0.43,0.165,0.802,0.2935,?,?,11
F,?,?,?,0.6675,?,0.1315,0.22,10
F,?,0.39,0.135,0.6335,0.231,0.179,0.2,9
?,0.435,0.395,0.105,?,0.136,0.098,0.13,9
?,0.495,0.395,0.125,?,?,?,?,?
M,0.465,0.36,?,?,?,0.107,0.175,?
I,?,0.32,?,0.3325,?,0.0635,0.105,9
M,0.425,0.35,?,0.393,0.13,?,?,9
