@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,?,?,3.312,?,5.22,1
?,?,0.8811,?,3.333,1.018,4.956,1
14.29,14.09,?,?,3.337,2.699,4.825,1
13.84,13.94,0.8955,5.324,3.379,2.259,?,?
?,14.99,?,?,?,1.355,5.175,1
14.38,14.21,?,?,3.312,2.462,4.956,?
?,?,0.8799,5.563,3.259,3.586,5.219,?
?,?,?,5.42,?,2.7,5.0,?
16.63,15.46,?,6.053,3.465,?,?,1
?,15.25,0.888,?,?,1.969,?,?
?,14.85,0.8696,?,?,4.543,?,?
?,?,?,5.438,?,?,5.001,1
13.89,?,0.888,?,3.199,?,4.738,1
?,14.06,?,5.479,3.156,?,?,?
13.74,14.05,0.8744,?,3.114,2.932,4.825,?
?,14.28,0.8993,?,3.333,?,?,?
?,13.83,?,?,3.383,?,4.781,?
15.69,14.75,0.9058,?,?,1.599,?,1
14.7,?,0.9153,5.205,3.466,1.767,?,?
?,?,0.8686,5.226,?,4.102,4.914,?
14.16,14.4,0.8584,?,?,?,?,1
?,?,?,?,3.168,?,?,?
15.88,14.9,?,?,3.507,?,5.091,?
?,?,?,5.099,2.936,?,?,?
?,?,0.8657,?,?,1.791,5.001,?
16.19,15.16,?,?,3.421,0.903,5.307,?
13.02,?,0.8641,?,3.026,3.373,?,1
?,13.67,?,5.395,?,?,?,1
14.11,14.18,?,5.541,3.221,?,?,?
?,?,0.8604,5.516,3.065,3.531,?,?
13.16,13.82,?,5.454,2.975,0.8551,?,1
?,14.94,?,?,?,3.412,5.228,1
14.09,14.41,0.8529,5.717,3.186,?,?,1
?,14.17,?,5.585,?,?,5.012,?
15.05,?,?,?,3.328,2.129,5.36,1
?,?,0.9,?,3.485,?,?,?
16.2,15.27,?,?,?,2.823,?,?
17.08,15.38,?,?,3.683,?,5.484,1
14.8,?,?,5.656,?,?,5.309,1
?,?,0.8944,5.397,?,?,?,1
13.54,13.85,?,5.348,3.156,2.587,5.178,?
?,?,?,?,3.158,2.249,?,1
?,?,?,5.138,?,2.461,?,?
?,14.86,0.882,?,3.396,4.711,5.528,1
?,?,?,5.579,?,3.128,5.18,1
?,?,0.8794,?,3.155,1.56,?,1
?,?,0.8861,?,?,1.367,?,1
?,?,0.8883,5.57,?,?,5.175,?
14.79,14.52,?,5.545,3.291,2.704,5.111,?
?,14.67,0.8676,5.678,3.258,2.129,5.351,1
14.43,14.4,0.8751,?,?,3.975,?,1
?,?,0.8923,?,?,?,5.136,?
14.49,14.61,0.8538,?,?,4.116,5.396,?
14.33,14.28,0.8831,?,3.199,?,?,?
14.52,?,0.8557,?,?,1.481,?,?
15.03,14.77,?,?,3.212,1.933,?,1
?,?,0.8818,5.388,?,?,5.044,?
?,14.43,?,5.384,?,?,?,1
15.38,14.77,?,?,3.419,1.999,5.222,1
?,?,?,5.159,?,?,?,?
11.42,12.86,?,5.008,?,?,4.607,1
?,12.63,?,?,?,?,?,1
12.36,?,?,?,3.042,3.22,4.605,1
13.22,13.84,?,?,?,?,?,?
?,?,?,?,3.026,?,?,1
?,?,0.8879,5.139,3.119,?,?,1
14.34,14.37,?,5.63,3.19,1.313,?,?
?,14.29,?,?,?,2.217,?,1
?,?,?,5.569,?,1.464,?,1
?,?,0.8458,?,?,3.533,?,1
?,15.98,?,?,3.561,?,?,?
?,15.67,0.8623,5.998,?,?,5.877,?
?,15.73,?,5.978,3.594,?,5.791,?
?,16.26,?,6.154,3.93,?,?,?
16.82,15.51,?,6.017,?,4.004,?,?
?,?,?,5.927,3.438,?,5.795,2
17.32,15.91,?,6.064,?,?,5.922,2
?,17.23,?,6.579,3.814,4.451,6.451,?
18.94,16.49,0.875,?,?,?,?,2
17.12,?,0.8892,?,3.566,?,?,?
16.53,15.34,?,5.875,3.467,?,?,?
18.72,16.19,?,?,3.857,?,5.879,?
?,16.89,?,?,3.864,5.173,6.187,?
?,?,0.8779,?,3.772,1.472,?,?
?,?,?,6.366,?,2.962,6.185,?
18.27,?,?,6.173,3.651,2.443,6.197,2
18.88,16.26,0.8969,6.084,?,1.649,?,?
18.98,16.66,0.859,?,3.67,3.691,6.498,2
?,?,0.8989,?,4.033,?,6.231,?
20.88,17.05,?,6.45,?,?,6.321,?
20.1,?,0.8746,6.581,3.785,1.955,6.449,?
?,16.2,0.8984,6.172,3.796,?,6.053,2
18.81,?,0.8906,?,3.693,?,6.053,2
18.59,?,0.9066,6.037,3.86,6.001,?,2
18.36,16.52,?,?,3.485,4.933,6.448,?
?,15.65,0.8648,?,3.463,?,5.967,?
?,?,?,6.341,3.81,?,6.238,2
?,16.57,?,6.449,?,2.144,?,2
?,16.26,?,6.271,?,?,?,2
?,16.34,?,6.219,?,2.188,?,?
?,?,?,5.718,?,?,5.618,?
17.99,?,0.8992,5.89,3.694,2.068,?,2
?,?,?,?,3.892,?,6.009,?
?,?,0.8717,6.369,?,3.357,6.229,?
