@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,0.871,5.763,?,?,5.22,?
?,?,0.8811,5.554,3.333,1.018,?,?
14.29,?,?,5.291,3.337,?,4.825,0
13.84,?,?,5.324,3.379,?,4.805,0
16.14,14.99,0.9034,5.658,?,1.355,5.175,0
14.38,14.21,0.8951,5.386,?,2.462,4.956,0
?,14.49,0.8799,5.563,3.259,?,?,?
14.11,14.1,0.8911,?,3.302,?,5.0,0
?,?,0.8747,?,3.465,2.04,?,?
?,?,0.888,?,3.505,?,5.533,?
15.26,?,?,?,?,4.543,5.314,?
?,14.16,?,5.438,?,?,5.001,?
?,14.02,0.888,?,?,3.986,?,0
13.78,14.06,?,?,?,?,4.872,?
13.74,14.05,?,?,?,?,4.825,?
?,14.28,0.8993,?,?,?,?,0
13.99,13.83,?,?,?,?,?,?
15.69,14.75,?,?,3.514,1.599,?,?
?,?,?,5.205,?,1.767,4.649,?
?,?,?,?,3.049,?,4.914,?
14.16,14.4,?,?,3.129,3.072,5.176,?
14.11,?,0.8722,5.52,3.168,2.688,5.219,?
15.88,?,0.8988,?,?,?,?,?
12.08,13.23,0.8664,?,2.936,?,4.961,0
15.01,?,?,?,3.245,1.791,?,?
?,?,?,?,3.421,?,?,0
?,?,0.8641,?,3.026,3.373,?,?
?,13.67,?,5.395,2.956,?,?,?
14.11,?,0.882,5.541,?,2.754,?,0
13.45,14.02,0.8604,5.516,3.065,?,?,?
?,?,?,?,2.975,0.8551,?,?
?,14.94,?,?,?,?,?,?
?,14.41,0.8529,?,?,3.92,5.299,?
?,14.17,0.8728,?,?,?,?,0
?,14.68,0.8779,?,3.328,2.129,5.36,0
16.12,?,0.9,5.709,3.485,?,5.443,?
?,?,0.8734,?,?,?,5.527,?
?,15.38,?,?,3.683,?,?,?
14.8,14.52,?,?,?,3.112,?,?
?,14.17,?,?,3.298,?,?,0
13.54,13.85,0.8871,?,3.156,2.587,5.178,0
13.5,?,0.8852,5.351,?,?,?,0
13.16,13.55,0.9009,5.138,3.201,?,4.783,?
15.5,?,?,?,?,?,5.528,0
?,14.54,?,?,?,3.128,?,0
?,?,0.8794,5.376,?,1.56,?,0
?,?,0.8861,5.701,3.393,1.367,?,0
?,14.56,?,5.57,3.377,?,5.175,0
?,?,0.8819,?,3.291,?,5.111,?
?,?,0.8676,5.678,?,2.129,?,0
14.43,14.4,0.8751,5.585,3.272,?,5.144,0
