@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,?,5.763,3.312,2.221,5.22,0
14.88,?,0.8811,5.554,3.333,1.018,?,?
14.29,?,?,?,?,?,4.825,0
?,?,0.8955,5.324,3.379,2.259,4.805,0
?,?,0.9034,?,?,1.355,5.175,0
?,14.21,0.8951,5.386,?,?,4.956,0
?,14.49,?,?,?,?,5.219,?
?,14.1,?,?,?,2.7,5.0,?
?,?,?,?,?,2.04,5.877,?
16.44,15.25,?,5.884,?,?,?,?
?,14.85,?,?,?,?,?,?
14.03,14.16,0.8796,5.438,3.201,1.717,?,0
13.89,14.02,?,5.439,3.199,3.986,?,0
13.78,?,?,?,3.156,?,4.872,?
?,?,0.8744,5.482,3.114,?,4.825,0
?,14.28,0.8993,?,?,?,4.781,?
?,13.83,?,5.119,3.383,?,?,?
15.69,14.75,0.9058,?,?,?,?,0
?,14.21,0.9153,?,3.466,1.767,4.649,?
?,13.57,0.8686,5.226,3.049,?,?,0
14.16,?,0.8584,?,?,?,5.176,0
?,14.26,?,5.52,?,?,?,?
15.88,?,0.8988,?,3.507,0.7651,?,?
?,?,0.8664,5.099,2.936,?,?,0
?,?,0.8657,?,?,?,?,0
16.19,15.16,0.8849,?,?,?,5.307,0
?,13.76,0.8641,5.395,?,?,4.825,?
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,?
?,14.18,0.882,5.541,3.221,2.754,?,0
13.45,14.02,0.8604,5.516,?,?,5.097,0
13.16,13.82,0.8662,5.454,2.975,?,5.056,0
?,14.94,0.8724,?,3.371,?,5.228,0
14.09,?,?,?,3.186,3.92,?,0
?,?,?,5.585,?,?,5.012,?
?,14.68,?,?,3.328,2.129,?,?
16.12,?,?,5.709,3.485,?,?,0
?,?,?,?,3.464,?,?,?
17.08,15.38,0.9079,?,3.683,?,5.484,?
?,14.52,0.8823,?,3.288,?,?,?
14.28,14.17,0.8944,5.397,3.298,?,?,0
?,13.85,0.8871,?,?,2.587,5.178,0
13.5,13.85,0.8852,5.351,?,?,?,0
?,?,0.9009,?,?,?,?,?
?,?,0.882,5.877,3.396,4.711,?,0
?,?,0.8986,?,?,?,?,0
13.8,14.04,0.8794,5.376,?,1.56,4.961,0
?,?,0.8861,?,3.393,1.367,5.132,?
14.99,14.56,?,?,?,?,?,?
14.79,14.52,0.8819,5.545,?,2.704,?,0
14.86,?,?,5.678,?,?,5.351,0
14.43,?,?,?,3.272,?,5.144,?
15.78,?,?,?,?,?,?,?
14.49,14.61,0.8538,?,3.113,?,?,0
14.33,14.28,?,?,?,3.328,5.224,?
14.52,?,?,?,3.113,1.481,5.487,0
15.03,14.77,?,5.702,3.212,?,5.439,0
?,?,0.8818,5.388,?,2.802,?,?
14.92,14.43,0.9006,5.384,?,1.142,?,0
?,?,?,5.662,3.419,1.999,5.222,?
?,?,0.8392,5.159,3.032,1.502,4.519,?
11.42,12.86,0.8683,5.008,2.85,?,4.607,0
11.23,?,0.884,4.902,2.879,2.269,4.703,0
12.36,?,?,?,3.042,?,4.605,0
?,13.84,?,5.395,?,4.157,5.088,?
?,13.57,?,5.262,?,1.176,4.782,?
?,13.5,0.8879,?,?,2.352,?,0
14.34,14.37,?,5.63,3.19,1.313,5.15,?
?,?,?,5.609,?,?,5.132,?
?,?,?,?,?,?,5.3,?
?,13.75,0.8458,?,?,3.533,?,0
?,15.98,0.8673,?,3.561,?,?,1
16.84,?,?,?,?,4.675,5.877,?
?,15.73,?,5.978,3.594,4.539,?,?
19.11,16.26,?,?,?,2.936,?,?
?,?,0.8786,?,?,?,?,?
?,15.62,0.8638,?,?,4.92,?,1
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,?
?,?,0.8763,?,?,?,6.451,?
18.94,16.49,0.875,?,?,5.064,?,?
?,15.55,?,?,?,2.858,?,?
?,?,0.8823,?,3.467,?,?,1
?,16.19,?,?,?,?,5.879,1
20.2,?,0.8894,?,3.864,?,?,1
19.57,?,?,?,?,1.472,6.273,?
19.51,16.71,0.878,6.366,?,?,6.185,1
?,?,0.887,?,?,2.443,6.197,?
18.88,16.26,0.8969,6.084,?,1.649,6.109,?
?,16.66,0.859,6.549,?,?,?,1
?,?,0.8989,6.573,4.033,?,?,1
20.88,?,0.9031,6.45,?,5.016,?,?
?,?,?,?,3.785,1.955,?,1
?,?,?,6.172,3.796,3.12,?,?
?,16.29,?,?,3.693,3.237,6.053,?
18.59,16.05,?,6.037,3.86,?,?,?
18.36,16.52,?,6.666,3.485,4.933,6.448,1
16.87,15.65,?,?,?,3.696,5.967,1
?,?,?,?,?,3.477,6.238,?
?,16.57,0.8687,?,?,2.144,6.453,?
18.17,16.26,0.8637,?,3.512,?,6.273,1
?,16.34,0.881,6.219,3.684,2.188,6.097,1
16.41,?,0.8866,5.718,3.525,?,?,?
?,15.86,0.8992,?,3.694,?,?,1
?,?,?,?,?,4.308,6.009,?
?,?,?,6.369,?,?,6.229,?
?,16.42,0.8829,6.248,3.755,?,?,?
18.83,16.29,?,6.037,3.786,2.553,?,1
?,16.17,0.9056,6.152,?,?,?,?
17.63,?,?,6.033,3.573,?,5.929,?
?,?,0.8752,6.675,3.763,3.252,6.55,1
?,?,?,?,3.674,?,5.894,?
?,?,?,6.107,?,?,?,1
19.38,?,?,6.303,3.791,?,?,?
?,16.31,?,6.183,3.902,?,?,1
19.14,16.61,?,?,3.737,?,6.053,?
?,17.25,?,6.563,3.991,?,6.316,?
19.06,?,0.8854,?,?,?,?,?
18.96,16.2,?,6.051,3.897,?,5.75,1
?,?,0.889,?,?,?,?,1
18.89,16.23,0.9008,6.227,?,3.639,?,1
?,16.9,0.8811,?,?,?,6.32,1
?,?,?,6.315,?,5.901,6.188,?
?,16.12,0.8772,6.059,3.563,?,6.011,1
?,?,0.8588,5.762,3.387,?,5.703,?
?,?,?,5.98,?,2.984,5.905,1
15.99,?,0.9064,5.363,?,?,5.144,?
18.75,?,0.8999,?,?,?,?,?
18.65,16.41,0.8698,?,3.594,4.391,?,1
?,?,?,5.979,?,2.257,?,1
?,?,?,?,3.773,?,?,?
17.55,?,?,5.791,?,5.366,5.661,1
?,15.89,0.9108,?,?,2.837,5.962,1
18.94,16.32,?,?,?,2.908,?,?
?,?,?,5.884,?,4.462,?,1
?,?,?,?,3.395,4.266,?,?
?,14.89,?,?,3.408,4.972,?,1
?,?,?,5.477,?,3.6,5.439,?
?,?,?,6.145,3.574,?,?,?
?,?,?,?,3.231,2.64,5.879,?
15.6,15.11,?,5.832,3.286,?,?,1
16.23,?,0.885,5.872,3.472,3.769,5.922,?
?,13.92,?,?,2.994,5.304,?,2
13.32,13.94,0.8613,5.541,3.073,7.035,?,?
?,13.95,0.862,5.389,?,?,5.307,2
12.22,?,?,5.224,2.967,5.469,5.221,2
?,?,0.8274,5.314,2.777,?,?,2
11.21,?,0.8167,?,?,?,?,?
11.43,?,0.8335,5.176,2.719,2.221,?,?
12.49,13.46,?,?,2.967,?,?,?
?,13.71,?,5.386,?,3.26,5.316,2
10.79,?,?,?,2.648,5.462,5.194,2
11.83,13.23,?,5.263,2.84,?,5.307,2
?,13.52,0.8249,5.405,2.776,6.992,?,?
?,13.6,?,?,2.833,?,?,2
?,?,?,5.22,?,?,5.001,2
?,?,0.8382,5.175,2.755,?,?,?
11.19,?,0.8253,?,?,5.813,?,2
11.34,?,?,?,?,?,5.003,2
?,13.73,0.8081,?,2.745,4.825,5.22,?
?,13.52,?,?,2.678,?,5.31,2
11.49,13.22,0.8263,?,2.695,5.388,?,?
?,13.67,?,?,2.879,3.082,?,2
12.02,13.33,0.8503,5.35,?,4.271,?,?
12.05,?,?,?,?,4.988,5.046,?
?,13.57,0.8558,?,2.968,4.419,?,2
?,?,0.8558,?,2.794,6.388,5.049,?
?,?,?,5.105,2.941,2.201,5.056,2
12.44,13.59,?,5.319,?,?,5.27,?
?,13.45,?,?,?,3.638,5.338,2
?,13.12,0.8291,5.176,?,4.337,?,2
11.24,13.0,?,5.09,2.715,3.521,?,?
?,?,0.8189,?,2.701,?,5.163,2
?,?,?,?,2.845,6.715,4.956,?
?,12.97,0.8419,?,?,?,5.0,?
11.4,?,?,5.136,2.763,5.588,5.089,?
?,12.96,0.8099,?,?,?,?,?
?,?,?,?,?,4.773,?,?
11.26,?,?,?,?,?,5.092,?
?,?,?,?,2.642,4.702,?,?
?,?,0.8473,?,2.758,?,?,2
?,13.47,0.8453,?,2.893,?,5.178,2
?,12.95,?,5.09,?,4.957,?,?
12.46,?,?,5.236,3.017,?,5.147,2
?,13.36,?,5.24,?,4.857,?,?
?,13.07,?,?,?,?,?,2
?,13.77,0.8541,5.495,?,?,5.316,?
11.56,?,0.8198,?,?,?,5.182,?
11.81,13.45,?,?,?,4.898,?,2
10.91,12.8,0.8372,5.088,?,?,4.956,2
?,?,0.8594,5.089,2.821,7.524,?,2
?,?,?,4.899,2.787,?,?,?
