@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

?,14.84,?,5.763,?,?,5.22,?
?,?,0.8811,?,3.333,?,?,0
14.29,14.09,0.905,?,3.337,?,?,0
?,13.94,0.8955,5.324,?,?,4.805,0
16.14,?,0.9034,5.658,?,?,?,0
14.38,14.21,0.8951,5.386,3.312,?,?,?
?,14.49,0.8799,?,3.259,3.586,?,0
14.11,?,?,?,?,2.7,5.0,0
?,?,?,?,3.465,2.04,5.877,0
16.44,15.25,?,?,?,?,5.533,0
?,?,?,?,?,4.543,5.314,0
14.03,?,0.8796,5.438,?,1.717,?,0
13.89,14.02,?,?,3.199,?,4.738,?
?,14.06,0.8759,?,3.156,?,?,0
13.74,14.05,?,?,?,?,4.825,?
?,?,?,5.351,3.333,4.185,4.781,?
13.99,?,?,?,?,?,4.781,0
15.69,14.75,0.9058,?,3.514,1.599,5.046,0
?,?,?,?,?,?,?,0
?,13.57,?,5.226,?,4.102,4.914,?
14.16,?,0.8584,5.658,?,3.072,?,0
14.11,?,?,?,?,2.688,5.219,0
15.88,14.9,?,?,?,0.7651,?,0
12.08,13.23,?,?,?,1.415,?,0
15.01,14.76,0.8657,5.789,?,1.791,5.001,?
?,15.16,?,5.833,3.421,0.903,5.307,?
13.02,13.76,0.8641,5.395,?,?,4.825,0
12.74,?,0.8564,5.395,2.956,2.504,?,?
?,14.18,0.882,5.541,3.221,2.754,5.038,?
?,?,?,5.516,3.065,?,5.097,0
13.16,13.82,?,?,2.975,0.8551,5.056,?
15.49,14.94,?,?,?,?,?,?
14.09,14.41,?,?,?,?,5.299,0
13.94,14.17,?,5.585,?,2.124,5.012,?
?,14.68,0.8779,?,3.328,?,?,0
?,15.0,0.9,?,3.485,2.27,?,?
?,?,?,?,3.464,2.823,?,0
?,?,?,5.832,3.683,2.956,?,0
14.8,?,0.8823,?,3.288,3.112,5.309,?
?,14.17,0.8944,5.397,?,6.685,5.001,0
?,13.85,0.8871,5.348,?,?,5.178,?
13.5,13.85,0.8852,?,?,?,?,0
?,?,?,?,?,2.461,4.783,?
15.5,?,0.882,?,?,?,?,?
?,?,?,?,?,3.128,?,?
13.8,?,0.8794,5.376,?,?,?,0
15.36,14.76,0.8861,?,?,?,5.132,?
14.99,?,?,?,3.377,?,?,0
14.79,14.52,0.8819,5.545,?,?,5.111,?
14.86,14.67,?,?,?,2.129,5.351,?
14.43,?,0.8751,5.585,3.272,?,?,0
15.78,?,?,5.674,?,5.593,?,0
?,?,?,?,?,?,5.396,0
14.33,?,?,5.504,3.199,?,?,0
14.52,?,?,?,3.113,?,5.487,?
?,?,?,?,?,?,?,0
?,14.35,0.8818,?,3.377,?,5.044,?
?,?,?,?,3.412,?,?,0
15.38,?,0.8857,?,3.419,1.999,5.222,0
?,13.47,?,?,3.032,?,?,?
?,12.86,0.8683,?,2.85,2.7,?,0
11.23,?,0.884,4.902,2.879,2.269,?,0
12.36,13.19,?,?,?,3.22,?,0
?,13.84,0.868,?,?,?,?,?
?,?,0.8716,5.262,3.026,?,4.782,?
?,?,?,5.139,?,2.352,4.607,?
?,?,?,5.63,3.19,?,?,0
14.01,14.29,0.8625,?,?,2.217,5.132,?
?,?,?,5.569,3.153,1.464,?,0
?,13.75,?,?,?,3.533,?,0
17.63,?,?,6.191,?,?,6.06,1
?,?,?,5.998,3.484,?,?,1
?,15.73,0.8763,?,?,4.539,5.791,?
19.11,16.26,0.9081,6.154,3.93,?,?,1
16.82,15.51,0.8786,?,?,?,?,1
?,15.62,0.8638,?,?,4.92,?,?
17.32,?,?,6.064,3.403,?,?,1
?,?,?,?,?,?,6.451,1
?,?,0.875,6.445,?,5.064,6.362,1
?,?,0.8892,5.85,?,2.858,5.746,1
?,15.34,?,?,3.467,?,?,1
18.72,?,0.8977,6.006,3.857,?,?,?
20.2,?,0.8894,6.285,?,?,6.187,?
19.57,16.74,0.8779,6.384,?,1.472,?,?
19.51,16.71,0.878,6.366,3.801,2.962,6.185,1
18.27,16.09,?,6.173,3.651,?,6.197,1
18.88,16.26,0.8969,6.084,?,?,6.109,?
?,?,?,?,3.67,?,6.498,?
?,17.21,?,6.573,4.033,5.78,6.231,?
?,17.05,?,6.45,4.032,5.016,?,1
20.1,16.99,0.8746,6.581,?,?,6.449,?
?,16.2,0.8984,?,3.796,3.12,?,1
?,16.29,?,?,?,3.237,6.053,1
?,16.05,0.9066,?,?,?,5.877,?
18.36,16.52,0.8452,6.666,3.485,?,6.448,1
16.87,15.65,?,6.139,3.463,3.696,5.967,1
?,16.59,0.8815,?,?,3.477,?,?
18.98,16.57,0.8687,?,?,2.144,6.453,?
?,?,0.8637,6.271,3.512,?,?,1
?,16.34,?,6.219,3.684,?,?,?
?,15.25,?,5.718,3.525,4.217,5.618,?
17.99,15.86,?,5.89,3.694,2.068,?,?
?,?,?,6.113,3.892,?,6.009,?
?,16.63,?,?,3.681,3.357,6.229,?
18.95,16.42,?,6.248,3.755,3.368,6.148,1
?,16.29,0.8917,?,?,2.553,?,1
18.85,16.17,0.9056,6.152,?,2.843,6.2,?
?,?,?,6.033,?,3.747,5.929,?
?,16.92,?,6.675,3.763,?,?,?
18.55,?,?,6.153,3.674,1.738,?,?
18.45,16.12,0.8921,6.107,3.769,?,5.794,1
?,16.72,?,?,3.791,?,?,?
?,?,0.9035,6.183,?,?,?,1
19.14,?,0.8722,6.259,3.737,?,6.053,?
?,17.25,0.8859,?,?,?,?,1
19.06,?,0.8854,?,?,2.248,?,?
?,?,0.9077,6.051,?,4.334,?,?
?,?,?,6.245,3.815,3.084,?,?
18.89,16.23,?,6.227,?,?,?,?
20.03,16.9,?,?,3.857,3.063,6.32,?
20.24,?,0.8897,6.315,3.962,?,?,1
18.14,16.12,0.8772,6.059,?,?,?,1
?,15.38,?,?,?,4.286,?,1
18.43,?,0.9077,5.98,3.771,?,?,1
15.99,14.89,0.9064,5.363,?,3.336,5.144,1
18.75,16.18,0.8999,?,3.869,?,5.992,1
18.65,?,?,6.285,3.594,4.391,6.102,1
?,?,0.8993,?,3.687,2.257,5.919,1
20.16,17.03,?,6.513,3.773,?,6.185,1
17.55,?,?,5.791,3.69,5.366,5.661,1
?,?,?,?,?,?,?,1
18.94,16.32,?,6.144,3.825,?,?,?
?,14.9,0.8706,?,3.268,?,?,1
?,15.33,?,5.845,3.395,?,?,?
15.56,?,0.8823,5.776,?,?,?,?
15.38,?,0.899,5.477,?,?,5.439,?
17.36,15.76,?,6.145,3.574,3.526,?,?
15.57,?,?,?,3.231,2.64,5.879,1
?,?,?,?,3.286,?,?,1
16.23,15.18,?,?,?,3.769,5.922,1
?,13.92,?,?,?,?,?,?
?,13.94,0.8613,?,?,7.035,?,?
?,13.95,0.862,?,?,5.995,5.307,?
12.22,13.32,0.8652,?,?,?,?,?
?,13.4,?,5.314,2.777,4.471,?,2
?,?,?,?,2.687,?,?,2
11.43,13.13,?,?,2.719,2.221,5.132,?
12.49,?,?,?,2.967,?,?,2
12.7,?,0.8491,5.386,2.911,?,?,2
10.79,?,0.8107,5.317,2.648,?,?,?
11.83,13.23,?,?,2.84,5.195,?,2
?,?,0.8249,5.405,2.776,6.992,?,2
12.26,?,?,?,2.833,?,5.36,2
11.18,?,0.8266,5.22,2.693,3.332,?,2
?,?,0.8382,?,2.755,4.048,5.263,?
11.19,13.05,?,?,?,?,5.219,?
?,?,0.8596,?,?,3.347,?,?
12.13,?,?,5.394,?,4.825,5.22,2
?,?,?,5.444,2.678,?,5.31,2
11.49,13.22,0.8263,?,?,5.388,?,?
?,?,0.8425,5.451,?,3.082,5.491,2
12.02,?,0.8503,?,2.81,4.271,5.308,2
12.05,13.41,0.8416,5.267,?,?,?,2
?,?,?,5.333,2.968,4.419,5.176,2
?,?,?,5.011,2.794,6.388,5.049,?
12.1,?,?,5.105,?,?,5.056,?
?,13.59,?,?,?,4.924,5.27,?
?,?,?,5.417,2.837,3.638,?,?
11.35,13.12,0.8291,?,?,4.337,?,?
11.24,?,0.8359,5.09,?,3.521,5.088,?
11.02,?,?,5.325,2.701,6.735,5.163,?
11.55,13.1,0.8455,5.167,?,6.715,?,2
11.27,12.97,?,5.088,2.763,4.309,5.0,2
?,13.08,?,5.136,?,?,5.089,2
10.83,?,?,5.278,?,?,5.185,2
?,?,0.859,4.981,2.821,4.773,?,2
11.26,?,0.8355,?,?,?,5.092,?
10.74,?,?,5.145,2.642,?,4.963,2
?,?,?,5.18,2.758,5.876,?,?
12.21,?,0.8453,?,?,1.661,?,2
11.41,?,?,5.09,?,?,?,?
?,13.41,0.8706,5.236,?,?,5.147,2
?,?,0.8579,?,?,4.857,5.158,2
?,?,0.8575,5.108,?,5.209,?,2
?,?,0.8541,5.495,3.026,?,?,?
?,?,?,?,2.683,?,?,2
?,?,?,?,2.716,4.898,?,2
10.91,?,?,?,?,?,?,2
?,?,0.8594,5.089,2.821,7.524,?,2
?,?,0.8648,?,?,?,4.794,?
?,12.8,0.839,?,?,?,5.045,2
11.27,?,0.8563,5.091,2.804,?,?,?
?,?,0.8795,?,2.953,3.597,5.132,?
10.82,12.83,?,?,?,?,?,?
12.11,?,?,5.236,?,?,?,?
?,?,?,?,?,4.873,?,?
?,?,0.8786,?,?,?,?,?
?,?,0.8849,?,3.128,?,5.091,2
?,13.67,?,5.41,?,?,5.231,?
?,?,?,5.073,?,?,?,2
?,?,?,5.219,?,?,?,2
12.67,?,0.8977,?,?,2.3,?,2
?,12.72,?,5.009,?,?,4.828,2
?,13.41,?,?,3.091,8.456,5.0,?
12.37,13.47,?,5.204,2.96,?,?,?
?,?,?,5.137,2.981,?,?,?
11.23,?,0.8511,?,?,?,?,?
13.2,?,0.8883,5.236,?,?,5.056,?
?,13.21,?,?,2.836,3.598,?,2
12.3,?,0.8684,5.243,?,5.637,?,2
