@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,0.871,?,3.312,2.221,5.22,0
14.88,?,?,?,3.333,?,4.956,0
?,14.09,0.905,5.291,?,?,4.825,0
13.84,13.94,?,?,?,?,4.805,0
?,14.99,0.9034,5.658,3.562,1.355,5.175,0
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,0
14.69,14.49,?,5.563,?,?,5.219,?
?,?,0.8911,?,3.302,2.7,5.0,?
?,?,?,6.053,?,2.04,5.877,0
?,?,0.888,?,3.505,1.969,?,?
?,14.85,?,?,3.242,4.543,5.314,?
?,14.16,0.8796,5.438,?,?,?,0
13.89,14.02,0.888,5.439,?,3.986,?,?
?,14.06,0.8759,?,?,?,?,0
?,?,?,5.482,?,?,4.825,0
14.59,?,0.8993,?,?,?,?,?
?,?,0.9183,5.119,3.383,?,4.781,?
15.69,?,?,5.527,?,?,?,?
?,14.21,?,?,?,1.767,4.649,?
12.72,?,?,?,3.049,4.102,?,?
14.16,14.4,0.8584,5.658,?,3.072,?,?
?,14.26,0.8722,?,3.168,2.688,?,?
?,?,0.8988,5.618,3.507,?,5.091,0
12.08,13.23,?,?,2.936,1.415,4.961,0
15.01,14.76,?,5.789,3.245,1.791,?,0
?,?,0.8849,?,?,0.903,?,?
?,13.76,?,?,?,?,4.825,0
12.74,13.67,?,?,?,?,4.869,0
?,14.18,0.882,5.541,3.221,2.754,?,0
13.45,14.02,?,5.516,?,?,?,0
?,?,?,?,2.975,?,5.056,0
?,14.94,0.8724,5.757,?,?,?,0
14.09,?,0.8529,?,?,?,?,0
13.94,14.17,0.8728,?,3.15,?,5.012,?
15.05,?,?,5.712,3.328,2.129,5.36,0
16.12,?,?,5.709,3.485,2.27,?,?
?,15.27,0.8734,5.826,?,2.823,?,0
?,?,0.9079,?,3.683,2.956,?,?
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,0
14.28,14.17,?,?,3.298,?,5.001,?
13.54,?,0.8871,5.348,?,?,?,0
13.5,?,0.8852,5.351,?,2.249,?,?
?,?,?,5.138,?,?,?,?
?,14.86,?,5.877,?,4.711,?,?
15.11,14.54,?,?,?,3.128,?,?
?,14.04,0.8794,5.376,3.155,?,?,0
15.36,14.76,0.8861,?,?,1.367,?,?
?,14.56,?,5.57,?,?,?,0
14.79,?,?,5.545,3.291,2.704,5.111,0
14.86,?,?,?,?,?,5.351,0
14.43,?,0.8751,5.585,3.272,?,?,0
?,14.91,?,?,?,5.593,?,0
?,?,?,?,?,?,5.396,0
?,?,?,?,?,3.328,5.224,?
?,?,?,?,3.113,1.481,5.487,0
?,14.77,0.8658,?,?,1.933,?,0
14.46,14.35,0.8818,?,?,2.802,?,?
14.92,14.43,?,?,3.412,?,?,?
?,14.77,?,?,?,?,?,?
?,13.47,?,?,?,?,?,0
11.42,12.86,?,5.008,2.85,2.7,4.607,0
11.23,12.63,?,?,?,2.269,4.703,0
?,13.19,0.8923,?,3.042,?,4.605,?
?,?,?,?,?,4.157,?,?
12.78,?,?,5.262,3.026,1.176,?,0
12.88,?,?,5.139,?,2.352,?,?
?,14.37,?,5.63,3.19,1.313,?,?
?,14.29,0.8625,?,?,?,5.132,0
?,14.39,0.8726,?,3.153,1.464,?,0
?,?,0.8458,5.412,2.882,3.533,5.067,?
?,15.98,0.8673,?,?,?,?,?
16.84,15.67,?,?,3.484,?,?,1
17.26,15.73,?,5.978,?,?,5.791,1
19.11,16.26,0.9081,6.154,?,2.936,6.079,?
16.82,15.51,0.8786,6.017,?,4.004,5.841,1
?,15.62,?,?,?,?,?,?
?,?,?,6.064,?,?,?,1
20.71,?,0.8763,?,3.814,?,6.451,?
18.94,16.49,0.875,6.445,3.639,5.064,6.362,1
17.12,?,?,?,3.566,2.858,5.746,1
?,15.34,0.8823,5.875,3.467,5.532,?,?
?,?,0.8977,6.006,?,?,?,1
20.2,16.89,0.8894,?,?,5.173,6.187,?
19.57,?,0.8779,?,?,?,6.273,?
?,?,0.878,6.366,?,2.962,?,1
?,?,0.887,6.173,3.651,?,?,?
18.88,?,?,6.084,3.764,?,?,1
18.98,16.66,?,6.549,?,3.691,6.498,?
21.18,17.21,?,?,4.033,?,6.231,?
