@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

?,?,0.871,?,?,2.221,5.22,?
14.88,?,0.8811,5.554,?,?,?,1
?,?,0.905,5.291,3.337,2.699,?,?
13.84,?,?,?,?,2.259,4.805,1
16.14,14.99,0.9034,5.658,?,?,5.175,1
?,14.21,?,?,3.312,2.462,4.956,1
?,14.49,0.8799,?,?,?,5.219,1
14.11,14.1,0.8911,5.42,3.302,?,5.0,1
16.63,?,?,?,?,?,?,1
16.44,15.25,?,?,?,?,5.533,1
?,14.85,0.8696,?,?,4.543,5.314,?
14.03,?,?,?,3.201,?,5.001,?
13.89,14.02,0.888,?,?,3.986,4.738,1
13.78,?,?,?,3.156,3.136,?,1
13.74,?,0.8744,5.482,?,?,4.825,?
14.59,14.28,0.8993,?,3.333,4.185,4.781,?
13.99,13.83,0.9183,5.119,?,?,4.781,1
15.69,14.75,0.9058,5.527,3.514,1.599,?,?
?,?,?,?,3.466,1.767,?,?
12.72,?,0.8686,5.226,?,4.102,?,?
?,?,0.8584,5.658,?,3.072,?,1
14.11,14.26,0.8722,?,3.168,2.688,5.219,1
?,?,?,5.618,?,?,?,?
12.08,13.23,0.8664,?,2.936,1.415,?,?
15.01,?,0.8657,?,3.245,1.791,5.001,?
16.19,15.16,0.8849,5.833,?,?,?,?
13.02,?,?,?,?,3.373,4.825,1
?,13.67,0.8564,?,?,?,?,?
?,14.18,?,5.541,3.221,?,5.038,?
13.45,14.02,?,5.516,?,3.531,?,?
13.16,13.82,0.8662,5.454,?,?,5.056,1
?,?,0.8724,5.757,3.371,3.412,?,1
?,14.41,0.8529,?,3.186,3.92,?,?
?,?,0.8728,?,3.15,?,5.012,1
15.05,?,?,?,?,2.129,?,?
16.12,?,0.9,5.709,?,?,?,1
16.2,?,?,5.826,3.464,?,5.527,?
17.08,?,0.9079,5.832,3.683,?,?,1
?,14.52,?,?,3.288,?,5.309,?
?,14.17,0.8944,?,3.298,?,?,1
?,13.85,0.8871,5.348,3.156,2.587,5.178,?
13.5,?,0.8852,?,?,?,5.176,?
?,?,0.9009,5.138,3.201,?,?,1
?,14.86,?,?,?,4.711,?,1
?,14.54,?,5.579,?,?,5.18,1
13.8,14.04,0.8794,?,?,1.56,4.961,1
?,14.76,?,5.701,?,1.367,?,?
14.99,?,0.8883,?,?,?,5.175,?
14.79,?,0.8819,?,?,2.704,5.111,?
14.86,?,?,?,?,2.129,5.351,1
?,?,0.8751,?,?,?,5.144,1
15.78,14.91,0.8923,?,3.434,?,5.136,1
?,14.61,0.8538,?,3.113,?,5.396,1
?,?,?,?,?,3.328,?,1
14.52,?,0.8557,5.741,3.113,?,5.487,1
15.03,?,0.8658,?,?,1.933,?,1
?,14.35,0.8818,5.388,3.377,2.802,?,1
?,14.43,?,5.384,?,?,?,1
?,14.77,0.8857,5.662,?,1.999,?,1
?,?,0.8392,5.159,3.032,1.502,4.519,1
?,?,?,?,2.85,?,4.607,1
?,12.63,?,?,2.879,?,?,?
12.36,13.19,?,?,3.042,3.22,?,1
?,?,0.868,5.395,3.07,4.157,?,?
12.78,13.57,0.8716,5.262,3.026,?,?,?
?,13.5,0.8879,5.139,3.119,2.352,4.607,1
?,?,0.8726,?,?,1.313,?,1
14.01,14.29,?,?,?,?,?,1
?,?,?,?,?,?,5.3,?
12.73,13.75,0.8458,5.412,2.882,?,5.067,1
?,?,0.8673,?,3.561,4.076,6.06,2
?,?,0.8623,5.998,?,4.675,5.877,2
?,?,0.8763,?,?,?,5.791,?
?,?,0.9081,6.154,3.93,?,?,?
?,15.51,?,6.017,3.486,?,5.841,2
?,?,?,5.927,3.438,4.92,?,?
17.32,15.91,0.8599,6.064,3.403,?,5.922,2
20.71,17.23,0.8763,?,?,?,6.451,2
?,?,0.875,6.445,?,5.064,6.362,?
17.12,15.55,0.8892,?,3.566,?,?,?
?,15.34,0.8823,?,3.467,?,?,2
?,?,?,6.006,?,?,5.879,2
?,16.89,0.8894,6.285,?,?,6.187,?
19.57,?,?,6.384,3.772,?,6.273,2
?,16.71,0.878,?,3.801,?,?,2
?,16.09,0.887,?,?,?,?,2
?,16.26,?,?,3.764,?,6.109,2
18.98,?,?,?,?,3.691,?,?
?,17.21,0.8989,?,4.033,?,6.231,?
20.88,17.05,0.9031,6.45,?,5.016,?,2
?,?,?,6.581,?,?,6.449,2
?,16.2,?,?,3.796,?,6.053,?
?,?,?,6.272,?,3.237,?,?
?,16.05,?,?,3.86,6.001,?,?
?,16.52,0.8452,?,?,4.933,6.448,?
?,15.65,0.8648,6.139,?,?,5.967,?
?,?,?,?,3.81,3.477,?,2
?,?,?,6.449,?,?,6.453,?
18.17,?,?,?,3.512,2.853,6.273,2
18.72,16.34,0.881,?,?,2.188,?,?
16.41,?,?,5.718,?,?,?,2
?,15.86,?,?,3.694,?,?,2
?,16.5,?,?,?,4.308,?,2
