@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

15.26,14.84,0.871,5.763,?,2.221,?,?
?,?,0.8811,5.554,3.333,1.018,4.956,?
?,?,?,5.291,3.337,?,?,0
?,13.94,?,5.324,?,?,4.805,0
16.14,?,0.9034,5.658,3.562,?,?,0
14.38,?,0.8951,5.386,3.312,?,4.956,0
14.69,?,0.8799,?,3.259,?,?,0
14.11,14.1,0.8911,?,?,2.7,?,0
16.63,?,0.8747,?,3.465,?,5.877,?
?,?,?,5.884,?,?,5.533,0
15.26,?,0.8696,5.714,3.242,4.543,5.314,?
?,14.16,?,5.438,?,?,?,?
?,?,0.888,5.439,?,3.986,?,0
?,14.06,?,?,3.156,3.136,4.872,0
13.74,?,?,?,3.114,?,4.825,0
14.59,14.28,0.8993,?,?,4.185,4.781,?
13.99,?,?,?,3.383,?,?,0
15.69,?,0.9058,?,3.514,?,?,0
?,?,0.9153,5.205,3.466,1.767,4.649,?
12.72,?,?,?,3.049,?,?,?
?,14.4,0.8584,5.658,3.129,3.072,?,?
?,14.26,0.8722,?,3.168,?,5.219,?
?,?,0.8988,?,3.507,?,?,0
12.08,?,0.8664,?,?,?,4.961,0
15.01,14.76,?,?,?,?,5.001,?
16.19,15.16,?,5.833,?,0.903,5.307,0
?,?,0.8641,5.395,?,3.373,4.825,0
12.74,13.67,0.8564,?,2.956,2.504,4.869,0
14.11,14.18,0.882,5.541,?,2.754,?,?
?,14.02,?,?,?,3.531,5.097,?
?,13.82,0.8662,5.454,2.975,0.8551,?,0
?,?,?,5.757,3.371,3.412,?,?
14.09,?,?,5.717,3.186,3.92,5.299,0
13.94,?,0.8728,5.585,3.15,?,?,0
?,?,0.8779,?,?,?,5.36,?
?,15.0,0.9,?,?,2.27,5.443,?
16.2,?,0.8734,5.826,?,?,?,?
17.08,15.38,0.9079,?,3.683,2.956,5.484,0
?,14.52,?,?,?,3.112,?,?
?,14.17,?,?,?,6.685,5.001,0
?,?,?,?,?,2.587,5.178,0
13.5,13.85,?,5.351,?,2.249,5.176,?
?,13.55,0.9009,5.138,?,?,4.783,?
?,14.86,?,?,3.396,4.711,?,?
15.11,?,?,5.579,3.462,?,?,0
?,?,?,?,3.155,1.56,?,?
?,14.76,0.8861,?,?,1.367,5.132,0
14.99,?,?,?,?,2.958,?,?
14.79,?,?,?,3.291,2.704,5.111,0
14.86,?,?,?,3.258,2.129,?,?
?,14.4,?,5.585,3.272,?,?,0
?,?,?,?,?,?,5.136,?
