@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,?,0.98535,?,?,?,?,0.04779,0.12795,?,?,2.7477E-4,?
?,1.5257,?,?,0.99825,0.79867,0.0052423,0.0050016,0.02416,?,0.0081195,?,7.4846E-5,0.69659
0.76722,1.5725,?,?,?,?,?,?,?,0.057445,0.0032891,?,3.7886E-5,?
?,1.4597,0.35376,?,1.0,0.81697,0.0068768,0.0086068,0.01595,?,0.0042707,0.0011544,?,?
0.82301,?,0.44462,?,1.0,?,0.007428,?,0.0079379,?,?,?,2.3504E-5,0.34214
0.72997,1.4892,0.34284,?,1.0,?,0.0049451,?,0.010487,0.058528,?,?,2.4798E-5,0.34068
0.82063,?,0.44458,?,?,?,?,?,?,?,?,0.0022713,?,0.53904
0.77982,?,0.39222,0.98512,0.99825,0.80816,0.0050987,?,0.024875,?,?,?,?,0.66975
0.83089,?,0.45693,0.9824,1.0,0.77106,0.0060055,?,?,0.040616,?,3.8812E-4,?,0.33696
?,2.3906,0.58336,0.97683,0.99825,?,0.0084019,0.012848,?,?,?,4.5889E-4,2.8251E-5,0.28082
0.7459,1.4927,?,?,1.0,0.83088,0.0055665,0.0056395,0.0057679,0.036511,0.0013313,3.0872E-4,3.1839E-5,0.25026
0.79606,1.6934,0.43387,?,1.0,0.76985,?,0.011071,?,?,?,?,?,0.49751
?,2.7582,?,0.98346,?,?,0.0055336,0.0055731,0.029712,?,?,0.0020648,?,0.91499
0.91186,2.4994,0.60323,0.983,?,?,?,?,0.018887,0.072486,?,?,?,0.67811
?,2.2927,0.56667,0.98732,?,0.66427,0.0028365,?,0.029272,?,?,0.0022383,2.0166E-4,?
0.86755,2.009,?,0.98691,1.0,?,0.0054439,?,?,0.092063,?,?,?,?
?,2.5247,?,0.9787,1.0,?,?,?,?,0.082029,0.0066839,?,1.2452E-4,?
?,2.2038,0.56218,0.97835,?,?,0.0059242,0.0063874,0.032722,?,0.0085691,0.0021199,2.7729E-4,1.008
?,1.9548,?,0.98622,?,0.70267,?,0.0028733,0.020258,0.070841,0.0049933,?,1.4929E-4,?
?,2.2979,?,?,?,0.64598,?,0.042443,?,0.086477,?,?,2.4345E-4,0.91307
0.93062,2.8973,0.65828,?,?,?,0.0064894,?,0.023606,?,?,?,2.5558E-4,?
