@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,?,?,?,?,?,0.0046566,?,0.04779,0.12795,0.016108,?,2.7477E-4,?
0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,?,0.0050016,0.02416,0.090476,?,?,?,0.69659
0.76722,?,?,0.97755,?,?,?,0.010121,0.011897,?,0.0032891,9.2068E-4,?,0.44348
0.73797,?,?,?,1.0,0.81697,?,0.0086068,?,?,0.0042707,?,?,0.58785
0.82301,1.7707,0.44462,?,?,0.75493,?,?,0.0079379,0.045339,?,?,2.3504E-5,?
0.72997,1.4892,0.34284,?,?,?,0.0049451,?,0.010487,0.058528,0.0034138,?,2.4798E-5,?
?,1.7529,0.44458,0.97964,0.99649,0.7677,?,?,?,0.080587,0.0064523,?,4.1495E-5,0.53904
0.77982,1.6215,?,?,0.99825,0.80816,0.0050987,?,0.024875,?,?,?,1.4676E-4,0.66975
?,?,?,0.9824,1.0,?,0.0060055,?,0.0072447,0.040616,0.0016469,3.8812E-4,3.2863E-5,?
?,?,0.58336,0.97683,?,?,?,0.012848,?,?,?,4.5889E-4,2.8251E-5,0.28082
?,1.4927,0.34116,?,1.0,?,0.0055665,0.0056395,?,0.036511,?,?,3.1839E-5,0.25026
0.79606,1.6934,?,0.98181,1.0,0.76985,0.0077992,0.011071,?,?,0.0033334,?,1.3855E-4,0.49751
?,2.7582,0.64257,0.98346,1.0,?,?,?,0.029712,?,0.0080153,?,?,?
0.91186,?,?,0.983,1.0,0.64916,0.0061494,?,0.018887,0.072486,?,?,8.3271E-5,0.67811
?,?,?,?,1.0,0.66427,?,?,?,?,0.0082717,?,?,?
?,2.009,0.51464,?,?,0.70277,?,0.0053937,?,?,?,?,?,?
0.91852,?,0.61648,?,1.0,?,?,?,?,0.082029,?,0.0018929,1.2452E-4,0.71713
?,?,?,?,?,0.64158,?,0.0063874,?,?,?,?,?,1.008
0.85121,?,?,0.98622,1.0,?,0.0039733,0.0028733,0.020258,?,?,?,?,?
0.89084,?,0.57815,?,1.0,?,?,?,?,0.086477,?,?,2.4345E-4,?
?,2.8973,?,0.98182,?,?,?,?,?,?,?,?,?,?
?,1.86,?,0.99039,?,0.75976,?,0.0039793,?,?,0.017213,?,6.5523E-4,?
?,1.2099,?,?,0.98772,0.60555,?,?,?,?,?,0.015895,4.049E-4,?
0.66307,?,0.32559,?,?,?,?,?,?,0.097143,0.0093485,?,?,?
?,?,0.33117,?,?,0.61661,?,0.11877,?,0.1606,0.025145,?,1.2121E-4,?
