@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,?,0.32396,0.98535,?,0.83592,?,0.0039465,?,0.12795,0.016108,0.0052323,2.7477E-4,1.1756
0.74173,1.5257,0.36116,?,0.99825,0.79867,?,0.0050016,0.02416,0.090476,0.0081195,0.002708,?,0.69659
?,1.5725,0.38998,?,1.0,0.80812,?,0.010121,0.011897,0.057445,0.0032891,?,?,0.44348
?,1.4597,0.35376,0.97566,1.0,0.81697,0.0068768,?,0.01595,?,0.0042707,0.0011544,6.6272E-5,?
0.82301,?,?,0.97698,?,0.75493,?,?,0.0079379,?,?,5.5986E-4,?,?
0.72997,?,?,?,?,?,?,0.0044506,?,?,0.0034138,0.0011248,2.4798E-5,0.34068
0.82063,1.7529,0.44458,?,0.99649,0.7677,0.0059279,?,0.018375,0.080587,?,0.0022713,4.1495E-5,0.53904
0.77982,?,?,0.98512,0.99825,0.80816,0.0050987,?,?,?,0.0079794,?,1.4676E-4,?
0.83089,?,?,0.9824,1.0,0.77106,0.0060055,0.006564,?,?,?,3.8812E-4,?,0.33696
?,?,0.58336,0.97683,0.99825,0.66419,?,0.012848,0.0070096,?,?,4.5889E-4,?,?
0.7459,?,?,0.98296,1.0,?,0.0055665,?,0.0057679,0.036511,0.0013313,3.0872E-4,3.1839E-5,?
?,1.6934,0.43387,?,?,?,?,0.011071,0.013677,?,0.0033334,8.1648E-4,1.3855E-4,?
?,2.7582,0.64257,?,1.0,?,?,?,0.029712,0.089889,0.0080153,0.0020648,2.3883E-4,?
?,?,?,0.983,1.0,?,?,0.0068823,?,0.072486,0.0052267,0.0014887,8.3271E-5,?
0.89063,?,0.56667,?,?,0.66427,0.0028365,?,?,?,0.0082717,0.0022383,?,0.87177
?,?,?,?,?,?,0.0054439,?,?,?,?,?,1.9854E-4,0.94545
0.91852,2.5247,0.61648,?,1.0,?,0.0050494,?,?,?,0.0066839,0.0018929,?,?
0.88795,2.2038,?,?,0.99825,?,?,?,0.032722,?,?,?,?,?
0.85121,?,0.4892,?,?,0.70267,?,?,0.020258,0.070841,?,?,1.4929E-4,0.74174
?,?,?,?,1.0,0.64598,0.015271,0.042443,0.028461,?,?,?,2.4345E-4,0.91307
0.93062,?,?,?,1.0,?,?,?,?,0.072237,0.005191,0.0011217,?,?
0.84113,1.86,0.46549,0.99039,?,0.75976,?,?,?,?,?,?,?,1.653
?,?,?,?,?,?,?,?,0.089301,?,?,0.015895,?,1.5371
?,?,0.32559,?,?,0.75954,0.013388,0.032621,?,0.097143,?,?,3.6303E-5,?
0.61289,1.0991,0.33117,0.92405,?,0.61661,?,0.11877,0.054687,?,0.025145,?,?,?
?,1.251,?,?,?,?,0.019432,?,0.031587,?,?,?,8.6352E-5,?
0.66889,1.1435,0.3846,?,?,?,?,0.14606,?,0.15931,0.024752,?,?,1.1365
0.50139,?,?,?,0.99825,?,0.021782,?,?,0.1598,?,0.011106,?,1.0511
?,?,?,0.90487,?,?,?,?,0.06245,?,?,0.010602,2.2964E-4,1.2307
0.56599,1.0427,0.35318,?,?,?,?,?,?,?,?,?,5.2046E-5,?
0.68605,?,?,?,?,?,?,?,?,?,?,0.012886,?,?
?,1.084,0.32592,?,0.99825,0.65698,?,0.11151,0.042051,?,?,?,?,0.83221
0.39432,1.1191,?,?,?,?,0.012499,?,?,0.13718,0.01847,0.0040597,?,1.8893
0.62011,?,?,?,?,?,?,0.013637,?,0.1186,?,?,?,?
0.73429,?,0.40827,0.94518,1.0,?,0.014987,?,?,?,?,0.0017773,?,?
0.64161,?,?,0.93324,0.97895,0.65487,0.017963,?,?,0.08221,?,?,2.9878E-4,?
0.64056,?,0.28616,0.97053,?,0.77183,0.0091632,?,?,0.065575,0.0042817,8.9749E-4,2.0433E-4,?
?,1.5529,?,0.95593,?,?,?,?,?,?,0.0041101,?,2.6812E-4,0.87687
?,?,0.17039,0.96405,1.0,0.79407,?,0.025176,?,?,?,?,1.5762E-4,?
?,?,?,0.97337,1.0,0.82703,?,?,?,?,?,0.0027809,4.8839E-4,?
?,?,0.63151,?,?,?,0.043563,?,0.045468,0.12554,0.015515,?,?,?
?,1.736,0.58345,?,?,0.41551,0.040582,0.29973,0.035786,?,0.0099932,?,?,?
0.86545,1.8803,?,?,?,0.33077,?,0.40204,?,?,?,?,2.0084E-4,?
?,?,0.7298,0.81793,?,?,?,1.1805,?,0.12051,?,?,?,?
?,2.222,?,0.82432,0.89474,?,0.038012,?,?,0.14901,0.021723,?,?,1.353
?,2.1139,?,0.80873,?,?,0.047267,?,?,0.10517,0.010939,0.0028913,2.9366E-4,1.1602
?,?,?,0.81682,?,?,0.049955,?,?,?,?,?,?,?
?,?,?,?,0.90526,?,?,?,?,?,0.014091,?,4.2459E-4,1.2593
?,?,?,?,?,?,?,?,0.06103,?,0.022554,?,2.5039E-4,1.3805
?,?,?,?,0.89298,0.32238,?,?,0.064428,?,?,?,2.3873E-4,1.3343
?,?,?,0.84493,?,?,0.048803,0.43348,?,?,?,0.013523,2.7502E-4,1.5377
?,1.6035,0.6025,?,?,0.31304,?,?,?,?,0.02594,?,3.2134E-4,?
?,1.0544,?,0.63754,?,?,?,?,?,?,0.0028534,8.7543E-4,2.9594E-5,?
?,?,0.623,?,?,0.27687,?,3.2176,?,?,?,0.0013737,3.792E-5,?
?,?,0.68343,0.76364,0.56667,?,?,2.1022,0.024036,?,?,?,1.0648E-4,?
