@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

?,?,0.32396,0.98535,?,?,0.0046566,?,0.04779,0.12795,?,?,2.7477E-4,?
0.74173,1.5257,0.36116,?,0.99825,?,?,0.0050016,?,0.090476,0.0081195,?,7.4846E-5,0.69659
?,?,?,?,?,?,?,?,0.011897,0.057445,0.0032891,9.2068E-4,3.7886E-5,?
?,1.4597,0.35376,0.97566,1.0,?,?,?,?,?,0.0042707,0.0011544,6.6272E-5,0.58785
0.82301,?,0.44462,?,1.0,0.75493,0.007428,0.010042,?,0.045339,?,5.5986E-4,2.3504E-5,?
0.72997,1.4892,0.34284,0.98755,1.0,?,?,0.0044506,0.010487,0.058528,?,?,2.4798E-5,?
?,1.7529,0.44458,0.97964,?,0.7677,?,?,0.018375,0.080587,?,?,4.1495E-5,?
0.77982,?,0.39222,0.98512,0.99825,?,0.0050987,?,0.024875,0.089686,0.0079794,0.0024664,1.4676E-4,?
0.83089,1.8199,?,0.9824,1.0,?,?,0.006564,?,0.040616,?,3.8812E-4,3.2863E-5,?
?,?,0.58336,0.97683,?,?,?,?,?,0.042347,?,4.5889E-4,?,?
0.7459,1.4927,?,0.98296,1.0,0.83088,0.0055665,?,0.0057679,0.036511,?,?,3.1839E-5,?
0.79606,1.6934,?,?,1.0,0.76985,0.0077992,0.011071,0.013677,?,0.0033334,8.1648E-4,?,?
?,?,?,?,?,?,?,0.0055731,0.029712,0.089889,?,0.0020648,?,?
0.91186,?,0.60323,?,1.0,0.64916,0.0061494,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.3271E-5,?
?,?,0.56667,?,?,0.66427,?,?,0.029272,?,?,?,2.0166E-4,0.87177
?,2.009,?,?,1.0,?,0.0054439,?,?,0.092063,?,?,?,?
0.91852,2.5247,?,?,?,0.63037,0.0050494,0.0046404,?,0.082029,?,?,1.2452E-4,?
?,2.2038,?,0.97835,?,?,0.0059242,0.0063874,?,0.092969,0.0085691,?,2.7729E-4,?
?,?,?,?,?,0.70267,?,?,?,0.070841,?,0.0012274,?,?
?,?,?,?,1.0,?,0.015271,?,?,0.086477,?,?,2.4345E-4,0.91307
?,?,?,?,1.0,?,0.0064894,?,?,0.072237,0.005191,0.0011217,?,?
?,?,?,?,?,?,?,0.0039793,0.062798,0.13234,0.017213,0.0044528,?,?
?,?,0.36317,?,0.98772,?,0.023597,0.10134,?,?,0.038786,0.015895,4.049E-4,?
0.66307,?,?,?,?,0.75954,?,?,0.021815,?,?,0.0040284,?,?
?,1.0991,?,?,?,?,0.025545,?,?,0.1606,?,0.011672,?,?
0.70668,1.251,?,?,0.99825,?,?,0.068724,?,?,0.013056,?,?,0.72247
0.66889,1.1435,?,0.90355,0.99649,0.60571,?,0.14606,?,?,0.024752,?,?,1.1365
0.50139,1.0066,?,?,0.99825,?,0.021782,0.086347,?,0.1598,?,0.011106,1.6162E-4,?
0.60803,?,?,0.90487,?,?,0.031915,?,?,?,?,0.010602,2.2964E-4,?
?,1.0427,0.35318,?,?,?,?,0.19785,?,?,?,?,5.2046E-5,0.62671
0.68605,1.1632,?,?,0.99825,0.61136,?,?,?,0.16858,?,0.012886,?,?
?,?,?,?,?,?,?,?,?,?,?,0.010881,6.468E-5,0.83221
?,?,?,?,0.99298,0.73417,0.012499,?,?,0.13718,?,?,?,1.8893
?,?,0.2836,?,?,?,?,0.013637,?,0.1186,?,?,4.4188E-4,?
?,?,?,?,?,?,?,?,?,?,0.0084269,?,?,?
0.64161,?,?,0.93324,?,?,0.017963,?,0.030897,?,?,0.0014678,2.9878E-4,1.2359
?,1.3166,?,?,0.99649,?,?,?,?,?,0.0042817,8.9749E-4,?,0.86218
?,?,0.38804,?,?,?,0.012904,0.030306,?,0.064242,0.0041101,?,?,?
?,?,0.17039,0.96405,?,?,?,?,0.025409,0.078211,?,0.0015299,?,1.0326
?,1.2503,?,0.97337,?,?,?,0.0079913,?,0.10941,0.011828,0.0027809,?,?
0.87844,?,0.63151,?,0.83684,0.37688,0.043563,?,?,0.12554,?,?,2.2842E-4,?
0.88075,?,?,0.83383,?,?,?,?,0.035786,?,0.0099932,?,2.5802E-4,1.0952
?,1.8803,?,?,?,?,?,?,?,?,?,?,?,1.0136
0.93671,?,0.7298,0.81793,?,0.33439,?,?,?,0.12051,0.014314,?,?,?
?,?,0.6558,?,0.89474,?,0.038012,?,0.059981,0.14901,?,0.0075251,2.8398E-4,1.353
