@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,0.32396,0.98535,?,?,0.0046566,?,0.04779,0.12795,0.016108,?,2.7477E-4,1.1756
0.74173,1.5257,0.36116,?,0.99825,?,?,0.0050016,?,0.090476,?,?,7.4846E-5,?
?,?,0.38998,0.97755,1.0,0.80812,0.0074573,0.010121,?,?,0.0032891,9.2068E-4,?,0.44348
?,1.4597,?,?,?,0.81697,0.0068768,0.0086068,0.01595,?,0.0042707,0.0011544,?,0.58785
0.82301,?,?,0.97698,1.0,0.75493,?,0.010042,0.0079379,?,?,5.5986E-4,2.3504E-5,0.34214
0.72997,1.4892,?,?,?,0.84482,?,0.0044506,0.010487,0.058528,?,?,?,0.34068
0.82063,1.7529,?,?,0.99649,0.7677,?,0.0063954,0.018375,?,?,0.0022713,4.1495E-5,0.53904
0.77982,?,?,?,?,?,0.0050987,0.0047314,0.024875,0.089686,?,?,?,0.66975
0.83089,1.8199,0.45693,0.9824,?,0.77106,?,?,?,?,0.0016469,3.8812E-4,?,?
?,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,?,0.0017901,4.5889E-4,?,0.28082
?,1.4927,?,?,1.0,0.83088,0.0055665,0.0056395,0.0057679,?,?,?,?,0.25026
0.79606,1.6934,?,0.98181,1.0,0.76985,?,0.011071,0.013677,0.057832,0.0033334,?,?,?
?,?,0.64257,0.98346,?,0.59851,?,0.0055731,0.029712,0.089889,0.0080153,0.0020648,2.3883E-4,?
?,2.4994,?,0.983,1.0,?,?,?,0.018887,0.072486,0.0052267,0.0014887,8.3271E-5,0.67811
0.89063,?,0.56667,?,?,?,0.0028365,?,0.029272,0.091328,0.0082717,?,2.0166E-4,?
?,2.009,?,?,?,0.70277,?,0.0053937,?,0.092063,0.0084044,0.0022541,?,0.94545
?,?,0.61648,?,?,?,?,?,?,?,?,?,?,0.71713
