@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

3.919,?,?,0.0,0.0,0.0,0.0,31.4,2.0,?,?,?,?,2.55,?,?,0.96,?,?,0.0,?,0.0,0.0,0.0,?,1.932,?,?,0.0,4.489,0.0,?,0.0,?,?,1.591,?,7.253,0.0,0.0,?
4.17,2.1144,?,0.0,0.0,0.0,0.0,30.8,1.0,1.0,0.0,0.0,2.461,1.393,8.723,1.0,0.989,1.144,?,0.0,1.104,1.0,0.0,0.0,?,2.214,-0.204,0.0,0.0,?,0.0,?,0.0,0.0,?,1.967,0.0,7.257,0.0,0.0,1
3.932,3.2512,0.0,0.0,0.0,0.0,0.0,26.7,2.0,?,0.0,?,3.279,2.585,9.11,?,1.009,?,?,?,1.092,0.0,0.0,0.0,0.0,1.942,-0.008,?,0.0,4.891,0.0,0.0,0.0,1.0,?,?,0.0,7.601,0.0,0.0,?
?,?,?,0.0,?,0.0,?,20.0,0.0,2.0,0.0,?,2.1,0.918,?,?,1.108,1.167,?,0.0,1.024,?,?,0.0,?,1.414,?,0.0,8.361,1.333,0.0,?,0.0,1.0,3.046,5.0,0.0,6.69,?,?,?
4.236,3.3944,0.0,0.0,0.0,0.0,0.0,29.4,2.0,4.0,0.0,?,?,?,9.528,2.0,1.004,1.147,0.0,0.0,1.137,?,0.0,0.0,0.0,?,-0.002,0.0,?,5.588,?,0.0,0.0,0.0,3.351,?,0.0,8.003,?,0.0,?
?,?,0.0,?,?,0.0,?,?,2.0,?,0.0,?,3.313,2.522,9.383,1.0,?,1.149,0.0,0.0,1.119,0.0,?,0.0,0.0,?,?,?,?,4.746,0.0,?,?,?,3.351,2.556,?,7.904,?,0.0,?
5.0,5.0476,?,0.0,0.0,0.0,?,?,?,3.0,0.0,?,2.872,?,9.657,0.0,?,1.153,?,0.0,1.125,0.0,?,0.0,0.0,2.0,0.446,0.0,18.375,0.8,?,0.0,0.0,1.0,4.712,4.583,0.0,?,0.0,0.0,?
4.525,?,?,0.0,?,0.0,0.0,?,3.0,?,0.0,?,3.418,2.468,9.786,5.0,?,?,0.0,0.0,1.179,0.0,0.0,?,0.0,?,-0.002,0.0,11.115,?,0.0,0.0,0.0,0.0,3.379,2.143,0.0,7.95,0.0,?,1
?,?,0.0,0.0,0.0,0.0,2.0,?,2.0,?,0.0,0.0,2.97,?,9.54,0.0,0.968,1.115,0.0,?,1.328,1.0,0.0,0.0,0.0,?,?,?,?,1.069,0.0,0.0,?,?,3.626,1.917,0.0,?,0.0,0.0,1
5.04,3.6112,0.0,?,1.0,0.0,?,41.2,0.0,4.0,?,-1.29,3.483,1.258,10.159,8.0,1.069,1.127,?,0.0,?,?,?,0.0,?,?,0.005,?,30.959,1.711,0.0,1.0,2.0,1.0,3.888,?,?,8.706,0.0,0.0,1
