@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,5.0,?,?,86.2,26.2,94.3,?,8.2,?,6.7,0.0,0.0
7.0,4.0,10,?,90.6,35.4,669.1,6.7,?,33.0,0.9,0.0,?
7.0,4.0,10,?,90.6,43.7,686.9,6.7,14.6,33.0,?,0.0,0.0
8.0,6.0,7,?,91.7,?,77.5,9.0,8.3,97.0,4.0,0.2,0.0
8.0,6.0,?,3,?,51.3,?,?,11.4,99.0,1.8,0.0,0.0
?,6.0,1,3,?,85.3,488.0,14.7,?,29.0,5.4,0.0,0.0
8.0,6.0,1,1,92.3,?,495.6,8.5,24.1,27.0,3.1,?,0.0
8.0,6.0,1,?,91.5,145.4,?,10.7,?,86.0,?,0.0,0.0
8.0,6.0,11,5,?,129.5,692.6,7.0,13.1,?,5.4,0.0,?
7.0,?,11,2,?,88.0,698.6,7.1,22.8,40.0,4.0,?,0.0
?,5.0,11,?,92.5,?,698.6,7.1,17.8,51.0,7.2,?,0.0
7.0,5.0,?,?,92.8,?,713.0,22.6,19.3,38.0,4.0,0.0,0.0
6.0,5.0,1,0,?,70.8,?,?,17.0,?,6.7,?,0.0
6.0,5.0,11,?,90.9,126.5,686.5,?,21.3,42.0,2.2,0.0,0.0
?,5.0,11,6,92.9,133.3,699.6,9.2,26.4,21.0,?,0.0,?
6.0,5.0,11,0,93.3,141.2,713.9,13.9,22.9,?,?,?,0.0
5.0,5.0,7,?,?,35.8,80.8,7.8,?,?,?,0.0,?
?,?,10,1,84.9,?,664.2,3.0,16.7,47.0,4.9,0.0,0.0
6.0,?,7,?,89.2,27.9,?,6.3,?,35.0,4.0,0.0,?
6.0,4.0,0,2,?,?,97.1,5.1,?,44.0,4.5,0.0,0.0
?,?,11,5,91.0,129.5,692.6,7.0,18.3,40.0,2.7,0.0,0.0
5.0,?,11,?,91.8,78.5,724.3,9.2,?,38.0,2.7,0.0,0.0
?,4.0,6,3,94.3,96.3,?,56.1,21.0,?,?,0.0,?
7.0,?,1,2,90.2,110.9,?,?,19.5,?,5.8,0.0,0.0
7.0,4.0,?,?,93.5,139.4,?,20.3,23.7,?,?,0.0,?
7.0,4.0,1,?,91.4,142.4,601.4,10.6,?,?,?,?,0.0
?,?,?,0,92.4,117.9,668.0,?,19.0,34.0,5.8,0.0,?
?,4.0,11,1,90.9,?,686.5,7.0,19.4,48.0,1.3,0.0,?
6.0,3.0,?,2,93.4,145.4,721.4,8.1,30.2,24.0,?,0.0,0.0
6.0,3.0,11,?,93.5,149.3,728.6,?,22.8,39.0,?,0.0,0.0
?,3.0,?,0,94.3,?,692.3,15.9,25.4,24.0,3.6,0.0,0.0
6.0,?,11,?,?,?,?,7.1,11.2,78.0,7.6,0.0,0.0
?,3.0,11,0,88.6,69.7,706.8,5.8,20.6,37.0,1.8,?,0.0
6.0,3.0,11,?,?,75.6,?,7.8,17.7,39.0,?,0.0,?
6.0,3.0,?,?,?,78.5,724.3,9.2,21.2,32.0,2.7,0.0,?
6.0,3.0,?,5,90.3,?,730.2,6.3,?,?,?,0.0,0.0
?,3.0,10,5,?,35.4,669.1,?,?,?,4.5,?,?
7.0,4.0,?,0,90.0,?,682.6,8.7,11.3,?,5.4,0.0,0.0
?,3.0,10,2,90.6,43.7,686.9,6.7,17.8,?,4.0,0.0,0.0
4.0,?,7,5,?,25.7,67.6,?,?,?,2.7,0.0,0.0
?,4.0,?,?,79.5,60.6,366.7,1.5,23.3,?,3.1,0.0,0.0
?,4.0,1,2,90.2,96.9,624.2,?,18.4,42.0,6.7,0.0,0.0
4.0,4.0,1,?,94.8,108.3,647.1,17.0,?,?,5.4,?,0.0
?,4.0,11,2,92.5,88.0,698.6,7.1,?,48.0,2.7,0.0,0.0
?,4.0,11,6,90.1,82.9,735.7,6.2,12.9,?,?,0.0,0.0
5.0,?,11,6,94.3,85.1,692.3,15.9,25.9,24.0,?,0.0,0.0
5.0,6.0,11,1,90.9,126.5,?,7.0,14.7,70.0,3.6,0.0,0.0
6.0,6.0,5,1,94.2,62.3,442.9,?,?,?,?,0.0,?
4.0,4.0,7,1,87.2,?,64.7,4.1,?,35.0,1.8,0.0,?
