@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,?,?,?,86.2,26.2,94.3,5.1,8.2,51.0,6.7,?,0.0
7.0,4.0,10,5,90.6,35.4,669.1,6.7,18.0,33.0,0.9,0.0,0.0
7.0,4.0,10,2,90.6,?,686.9,6.7,?,33.0,?,0.0,0.0
8.0,6.0,?,0,91.7,33.3,77.5,9.0,?,?,?,?,0.0
8.0,6.0,?,3,89.3,51.3,?,?,11.4,99.0,1.8,?,0.0
8.0,6.0,1,3,92.3,85.3,?,14.7,?,29.0,5.4,?,0.0
?,6.0,1,?,92.3,88.9,?,8.5,?,?,?,0.0,0.0
?,?,?,?,91.5,145.4,608.2,?,?,86.0,2.2,0.0,0.0
8.0,6.0,11,5,91.0,129.5,692.6,7.0,?,63.0,5.4,?,0.0
7.0,5.0,?,2,92.5,88.0,698.6,7.1,?,40.0,4.0,?,?
7.0,5.0,11,2,92.5,88.0,698.6,7.1,?,51.0,?,0.0,?
7.0,5.0,?,2,92.8,73.2,?,22.6,19.3,38.0,?,0.0,?
6.0,5.0,1,0,?,70.8,665.3,0.8,?,72.0,6.7,0.0,0.0
?,?,11,?,?,126.5,686.5,?,21.3,42.0,2.2,?,?
?,?,11,?,92.9,133.3,699.6,?,26.4,21.0,4.5,0.0,?
6.0,?,?,0,93.3,141.2,?,13.9,22.9,44.0,5.4,0.0,?
5.0,5.0,7,2,?,?,80.8,7.8,?,?,?,0.0,0.0
8.0,5.0,10,1,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0
6.0,4.0,?,?,89.2,27.9,70.8,6.3,15.9,35.0,4.0,?,0.0
6.0,4.0,0,2,86.3,27.4,?,5.1,9.3,44.0,?,0.0,0.0
6.0,4.0,11,?,?,129.5,692.6,7.0,18.3,40.0,2.7,?,0.0
5.0,?,?,1,?,78.5,724.3,9.2,19.1,?,2.7,0.0,0.0
7.0,4.0,6,3,94.3,96.3,200.0,?,?,44.0,?,?,?
7.0,4.0,?,2,?,?,?,?,19.5,43.0,5.8,0.0,0.0
7.0,?,?,?,93.5,139.4,594.2,20.3,?,32.0,5.8,?,?
7.0,?,1,3,91.4,?,601.4,10.6,?,60.0,?,0.0,?
7.0,?,11,0,?,117.9,?,12.2,19.0,34.0,5.8,0.0,?
7.0,4.0,11,1,90.9,126.5,686.5,7.0,19.4,48.0,1.3,0.0,?
6.0,3.0,?,2,93.4,?,721.4,8.1,30.2,24.0,?,0.0,0.0
