@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,5.0,mar,?,86.2,26.2,?,5.1,?,51.0,6.7,?,0.0
?,4.0,oct,tue,?,?,?,6.7,18.0,33.0,?,0.0,0.0
?,4.0,?,?,90.6,43.7,686.9,6.7,14.6,33.0,1.3,?,0.0
8.0,?,mar,fri,91.7,33.3,77.5,?,8.3,?,?,0.2,0.0
8.0,6.0,mar,sun,89.3,51.3,?,9.6,?,99.0,?,0.0,?
8.0,6.0,aug,sun,?,?,?,14.7,?,29.0,?,?,0.0
8.0,6.0,?,?,92.3,88.9,495.6,?,24.1,27.0,3.1,0.0,0.0
8.0,6.0,aug,mon,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0
8.0,6.0,?,tue,91.0,129.5,692.6,7.0,?,63.0,?,?,0.0
7.0,?,?,sat,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0
?,5.0,sep,sat,92.5,88.0,698.6,?,17.8,?,?,0.0,0.0
7.0,5.0,sep,?,92.8,73.2,713.0,22.6,19.3,?,?,?,0.0
6.0,5.0,aug,fri,63.5,?,665.3,0.8,17.0,72.0,6.7,?,0.0
6.0,5.0,sep,?,?,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
?,5.0,sep,wed,92.9,133.3,?,9.2,26.4,21.0,4.5,?,0.0
?,5.0,?,fri,?,?,713.9,?,?,44.0,5.4,0.0,0.0
5.0,5.0,mar,sat,91.7,35.8,80.8,7.8,15.1,?,5.4,0.0,0.0
8.0,?,oct,mon,?,32.8,?,3.0,?,47.0,4.9,0.0,0.0
6.0,?,?,wed,89.2,?,70.8,6.3,15.9,35.0,4.0,?,0.0
6.0,?,apr,sat,86.3,27.4,97.1,5.1,9.3,?,4.5,?,0.0
6.0,4.0,?,?,?,129.5,692.6,7.0,?,40.0,2.7,0.0,0.0
5.0,4.0,sep,mon,?,?,724.3,9.2,?,38.0,2.7,?,0.0
7.0,4.0,jun,sun,94.3,96.3,200.0,?,21.0,?,?,?,?
?,4.0,aug,sat,90.2,110.9,537.4,6.2,?,43.0,?,0.0,0.0
7.0,4.0,?,sat,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
7.0,?,?,sun,?,142.4,601.4,10.6,16.3,60.0,5.4,0.0,0.0
?,4.0,sep,fri,92.4,117.9,668.0,12.2,19.0,?,5.8,0.0,0.0
7.0,?,sep,?,90.9,?,?,?,19.4,48.0,1.3,0.0,?
6.0,3.0,sep,sat,?,145.4,?,?,30.2,24.0,2.7,?,0.0
6.0,3.0,sep,sun,93.5,?,?,8.1,?,?,3.6,0.0,0.0
?,3.0,?,?,?,?,692.3,15.9,25.4,?,?,0.0,0.0
6.0,?,sep,mon,88.6,91.8,?,?,11.2,?,7.6,0.0,0.0
?,3.0,sep,?,?,?,706.8,5.8,?,37.0,1.8,?,0.0
6.0,3.0,sep,sun,?,75.6,718.3,7.8,17.7,39.0,3.6,0.0,?
?,?,?,mon,91.8,78.5,724.3,9.2,?,32.0,?,0.0,0.0
?,3.0,sep,tue,?,?,?,6.3,18.2,62.0,4.5,0.0,0.0
6.0,?,oct,tue,?,35.4,669.1,6.7,?,24.0,?,0.0,0.0
7.0,4.0,oct,fri,90.0,41.5,682.6,?,11.3,60.0,?,?,0.0
?,3.0,?,?,90.6,43.7,686.9,?,17.8,?,?,0.0,0.0
4.0,?,?,tue,88.1,25.7,67.6,?,14.1,?,?,?,?
4.0,4.0,jul,tue,?,60.6,366.7,1.5,23.3,37.0,?,0.0,?
4.0,4.0,aug,sat,90.2,96.9,624.2,8.9,18.4,?,6.7,0.0,0.0
?,4.0,aug,tue,?,108.3,?,17.0,?,54.0,5.4,?,?
4.0,4.0,sep,?,?,88.0,698.6,?,19.6,48.0,?,0.0,0.0
4.0,?,sep,wed,90.1,?,735.7,6.2,12.9,?,4.9,?,?
?,6.0,?,wed,94.3,85.1,692.3,15.9,25.9,24.0,?,0.0,0.0
?,6.0,?,?,90.9,?,?,7.0,14.7,70.0,3.6,?,?
6.0,6.0,?,mon,94.2,62.3,442.9,11.0,?,36.0,3.1,0.0,?
?,4.0,mar,mon,?,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0
4.0,4.0,?,mon,87.6,?,103.8,5.0,11.0,46.0,5.8,?,0.0
4.0,4.0,sep,thu,?,137.0,706.4,9.2,20.8,?,?,0.0,0.0
4.0,?,aug,?,90.2,?,631.2,6.3,21.5,34.0,2.2,0.0,?
4.0,?,aug,wed,92.1,111.2,654.1,9.6,20.4,?,?,?,?
4.0,3.0,aug,wed,?,?,?,?,20.4,42.0,4.9,0.0,?
4.0,3.0,aug,thu,?,114.3,661.3,?,17.6,45.0,?,0.0,0.0
4.0,?,?,thu,?,?,706.4,?,27.7,24.0,2.2,?,0.0
?,?,?,?,?,80.7,730.2,?,17.8,63.0,4.9,?,?
?,3.0,oct,sun,?,46.5,?,8.8,?,?,2.7,0.0,?
2.0,?,feb,?,84.0,9.3,?,2.1,?,40.0,?,0.0,0.0
2.0,2.0,feb,fri,?,13.2,?,5.3,12.3,51.0,?,0.0,0.0
2.0,2.0,?,sun,?,?,102.2,9.6,11.5,?,?,0.0,0.0
2.0,?,?,?,89.3,?,102.2,9.6,5.5,59.0,6.3,?,0.0
