@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

14.23,?,?,15.6,127.0,?,?,?,?,?,1.04,?,1065.0
13.2,?,2.14,?,100.0,2.65,2.76,0.26,?,4.38,1.05,3.4,1050.0
13.16,?,?,18.6,101.0,?,3.24,0.3,2.81,5.68,?,?,1185.0
?,1.95,2.5,16.8,113.0,?,3.49,?,?,7.8,0.86,3.45,1480.0
13.24,2.59,?,?,118.0,2.8,2.69,0.39,1.82,?,?,2.93,735.0
14.2,1.76,2.45,15.2,112.0,?,3.39,0.34,?,?,1.05,2.85,1450.0
14.39,?,?,?,96.0,?,2.52,0.3,1.98,5.25,1.02,?,?
14.06,2.15,?,17.6,?,?,?,0.31,1.25,?,1.06,?,?
14.83,1.64,?,14.0,?,2.8,2.98,0.29,1.98,5.2,?,?,1045.0
13.86,?,?,16.0,98.0,2.98,3.15,0.22,?,7.22,1.01,3.55,1045.0
14.1,?,2.3,?,105.0,?,?,0.22,2.38,?,1.25,3.17,1510.0
14.12,?,2.32,?,?,?,2.43,0.26,1.57,5.0,?,?,1280.0
?,?,?,?,?,?,2.76,0.29,1.81,5.6,1.15,2.9,?
?,?,?,?,91.0,3.1,3.69,0.43,2.81,5.4,?,2.73,?
14.38,1.87,2.38,12.0,?,?,3.64,?,2.96,7.5,?,3.0,1547.0
13.63,1.81,?,?,?,?,2.91,0.3,1.46,7.3,?,?,?
?,1.92,?,?,?,2.8,?,?,1.97,6.2,?,2.65,?
?,?,2.62,?,115.0,2.95,3.4,0.4,1.72,?,1.13,2.57,1130.0
14.19,?,2.48,?,?,3.3,?,0.32,1.86,?,1.23,2.82,1680.0
?,3.1,2.56,15.2,?,?,3.03,0.17,1.66,5.1,0.96,3.36,845.0
14.06,?,?,16.0,126.0,?,3.17,?,2.1,5.65,?,?,?
12.93,3.8,?,?,102.0,?,2.41,0.25,?,?,1.03,?,770.0
?,?,2.36,16.6,?,2.61,2.88,?,1.69,3.8,?,4.0,1035.0
12.85,?,2.52,?,95.0,?,?,?,?,?,?,?,1015.0
13.5,1.81,?,20.0,?,?,?,0.28,?,?,?,3.82,845.0
13.05,2.05,3.22,?,?,?,2.68,0.47,1.92,?,?,?,?
?,1.77,?,16.1,?,?,?,?,1.45,?,0.92,?,1195.0
13.3,1.72,2.14,?,?,?,?,0.27,1.35,?,?,?,1285.0
?,1.9,2.8,19.4,107.0,2.95,2.97,?,1.76,4.5,?,3.4,915.0
?,?,2.21,16.0,?,2.65,2.33,0.26,1.98,?,?,3.59,?
13.73,?,?,?,101.0,?,?,?,?,5.7,1.19,?,?
?,1.66,2.36,?,?,2.86,?,?,?,?,?,?,1515.0
13.68,?,2.36,?,?,2.42,?,?,?,3.84,1.23,2.87,990.0
13.76,1.53,?,?,?,2.95,?,0.5,1.35,?,1.25,?,?
?,?,2.65,19.0,?,2.35,2.53,?,1.54,?,1.1,?,1095.0
?,?,?,?,?,?,2.98,?,?,?,1.04,?,920.0
13.28,1.64,2.84,15.5,?,2.6,2.68,?,1.36,4.6,1.09,2.78,?
?,1.65,?,18.0,?,2.45,2.43,?,1.44,4.25,?,2.51,1105.0
13.07,1.5,2.1,?,98.0,2.4,?,0.28,1.37,3.7,1.18,?,?
14.22,?,?,?,?,3.0,?,0.2,2.08,?,0.89,?,?
13.56,1.71,2.31,16.2,?,?,?,?,?,6.13,0.95,3.38,795.0
13.41,?,2.12,18.8,?,2.45,2.68,?,1.48,4.28,?,?,1035.0
13.88,1.89,2.59,15.0,101.0,3.25,?,?,?,5.43,?,3.56,1095.0
?,3.98,2.29,?,?,?,?,?,1.66,4.36,?,?,680.0
13.05,1.77,2.1,?,?,?,?,?,2.03,?,?,?,?
?,4.04,?,18.9,?,2.85,?,0.3,1.25,?,?,3.33,?
?,?,?,16.0,?,3.25,3.17,0.27,?,4.9,1.04,?,1065.0
?,1.68,?,?,?,?,3.39,?,2.14,6.1,0.91,?,985.0
14.1,?,?,?,?,2.75,?,?,?,?,1.07,?,?
13.94,1.73,?,17.4,108.0,2.88,?,?,2.08,8.9,?,?,1260.0
?,?,2.04,?,92.0,2.72,?,?,2.91,?,?,?,1150.0
13.83,?,2.6,17.2,?,?,?,?,?,5.6,1.24,?,1265.0
?,1.75,?,?,?,?,?,?,?,?,1.01,?,?
?,?,?,17.1,115.0,3.0,?,?,?,6.3,1.13,2.93,1375.0
?,1.67,2.25,?,?,2.6,2.9,0.21,?,5.85,0.92,?,?
?,1.73,2.46,?,116.0,2.96,2.78,0.2,2.45,?,?,?,1120.0
?,?,2.3,16.3,?,?,?,0.26,?,?,0.94,3.31,?
13.29,?,2.68,16.8,?,3.0,3.23,?,?,6.0,1.07,?,?
?,1.43,2.5,?,?,?,3.67,?,2.04,6.8,?,2.87,?
12.37,0.94,?,?,88.0,?,?,0.28,0.42,1.95,?,1.82,520.0
?,1.1,2.28,?,101.0,?,?,?,?,?,1.25,?,680.0
?,?,2.02,16.8,100.0,2.02,1.41,0.53,?,5.75,?,1.59,?
13.67,1.25,1.92,18.0,94.0,?,1.79,0.32,0.73,3.8,1.23,2.46,?
?,?,?,19.0,?,?,3.1,0.19,1.87,?,?,?,?
?,?,2.53,?,104.0,1.89,?,0.45,1.03,2.95,?,2.23,355.0
?,1.21,?,18.1,?,2.42,?,0.37,2.08,4.6,1.19,?,?
?,?,?,15.0,78.0,?,?,?,?,5.3,?,3.18,?
12.37,1.17,?,19.6,78.0,2.11,2.0,?,?,4.68,1.12,3.48,?
13.34,0.94,2.36,?,110.0,?,?,?,?,3.17,1.02,1.93,750.0
?,1.19,?,16.8,?,1.85,?,0.14,2.5,?,?,?,?
12.29,1.61,2.21,20.4,?,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870.0
?,1.51,?,?,?,2.95,2.86,?,1.87,3.38,?,?,?
13.49,?,2.24,?,87.0,?,?,?,1.03,3.74,0.98,2.78,472.0
12.99,?,2.6,30.0,139.0,3.3,2.89,?,?,3.35,?,?,985.0
11.96,?,2.3,21.0,101.0,?,2.14,0.13,?,3.21,0.99,3.13,?
11.66,1.88,1.92,16.0,97.0,?,1.57,0.34,1.15,?,?,2.14,?
13.03,?,1.71,?,?,1.95,?,0.24,?,4.6,1.19,?,?
11.84,2.89,?,18.0,112.0,?,?,?,?,2.65,?,?,?
?,?,1.95,?,136.0,?,?,0.35,?,?,?,2.31,?
?,?,2.4,?,?,?,?,0.43,?,?,?,?,463.0
?,0.92,2.0,19.0,?,?,?,0.3,?,?,1.38,3.12,?
?,1.81,?,?,86.0,?,2.53,?,?,3.9,?,?,714.0
?,?,2.51,?,?,2.0,?,?,?,2.2,1.31,2.72,?
?,?,?,22.5,85.0,1.65,?,?,1.62,4.8,?,2.01,?
?,?,?,18.0,?,2.2,2.21,0.22,2.35,3.05,?,3.08,?
12.67,0.98,2.24,?,99.0,?,1.94,?,?,?,?,3.16,?
12.16,?,2.31,22.8,?,?,?,?,?,2.45,?,?,495.0
?,1.67,?,26.0,?,?,1.61,?,1.34,2.6,1.36,3.21,?
11.64,?,?,?,?,?,1.69,?,1.35,?,?,2.75,680.0
?,1.33,2.3,23.6,?,?,1.59,?,1.38,?,1.07,?,625.0
12.08,1.83,?,18.5,?,?,?,?,?,?,?,?,?
?,1.51,?,22.0,?,1.45,?,?,1.63,3.6,?,?,?
?,?,?,20.7,80.0,1.38,?,?,1.62,3.05,?,2.06,495.0
?,?,2.22,18.0,?,?,?,?,?,2.15,?,?,290.0
?,1.99,2.28,?,?,?,?,?,1.35,?,1.16,2.96,?
?,?,2.2,?,162.0,2.5,?,?,?,2.6,1.16,2.63,?
?,2.12,2.74,?,134.0,1.6,0.99,0.14,1.56,?,?,?,625.0
12.29,?,?,16.0,?,?,2.5,0.29,1.77,2.9,1.23,?,428.0
?,?,2.1,?,?,3.52,3.75,?,1.95,?,1.04,2.77,660.0
?,?,?,?,?,?,2.99,?,?,2.3,?,2.83,406.0
?,2.08,1.7,?,97.0,2.23,?,?,?,3.3,?,?,?
12.6,1.34,1.9,18.5,?,1.45,?,?,1.35,?,?,2.77,562.0
12.34,2.45,2.46,21.0,98.0,?,2.11,?,1.31,?,0.8,3.38,?
11.82,?,?,?,?,?,1.64,?,?,?,0.94,2.44,415.0
?,1.73,?,20.5,?,2.2,?,0.32,?,2.94,1.04,?,?
?,2.55,2.27,22.0,90.0,?,?,0.66,?,?,?,3.3,315.0
?,1.73,2.12,?,80.0,1.65,?,0.37,1.63,3.4,1.0,3.17,510.0
?,?,2.28,22.5,?,?,?,?,1.63,3.3,?,?,488.0
?,?,?,19.0,92.0,?,?,0.39,?,2.7,?,3.02,312.0
11.61,?,2.7,20.0,?,2.74,2.92,0.29,2.49,?,?,?,680.0
11.46,?,1.82,?,?,?,?,?,3.58,2.9,0.75,2.81,?
12.52,2.43,?,?,88.0,2.55,?,0.26,?,2.0,?,2.78,?
?,2.68,?,?,?,1.75,?,0.6,?,?,1.23,?,?
?,?,?,?,?,?,?,?,?,3.08,1.1,2.31,?
?,?,2.5,?,?,2.56,2.29,0.43,?,?,?,?,?
?,?,?,21.5,?,?,2.17,0.52,?,?,1.71,2.87,407.0
11.82,1.47,?,20.8,?,1.98,1.6,0.3,1.53,1.95,?,3.33,?
?,1.61,2.19,?,?,?,2.09,0.34,?,?,1.06,2.96,345.0
?,?,?,16.0,80.0,1.63,1.25,0.43,0.83,?,?,2.12,372.0
?,?,?,?,87.0,2.0,1.64,0.37,1.87,?,?,3.05,564.0
11.45,2.4,?,20.0,?,2.9,2.79,?,1.83,?,?,3.39,?
?,2.05,?,28.5,119.0,?,?,0.47,1.87,6.0,0.93,3.69,?
?,?,?,?,102.0,?,2.13,0.43,?,2.08,0.92,3.12,365.0
13.05,?,2.13,?,86.0,?,2.65,0.3,?,?,?,?,380.0
?,?,2.39,21.0,?,?,3.03,?,2.91,2.8,?,3.64,380.0
