@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

?,1.71,2.43,?,?,2.8,3.06,?,2.29,?,?,3.92,?
?,1.78,2.14,11.2,100.0,2.65,2.76,?,?,4.38,1.05,3.4,1050.0
13.16,?,2.67,?,?,?,?,0.3,2.81,?,?,?,1185.0
14.37,1.95,2.5,16.8,?,3.85,3.49,0.24,2.18,?,?,3.45,1480.0
13.24,2.59,2.87,21.0,118.0,?,2.69,0.39,1.82,?,1.04,?,?
?,1.76,2.45,15.2,112.0,?,?,?,1.97,?,1.05,?,?
14.39,?,2.45,14.6,96.0,2.5,?,?,1.98,5.25,1.02,?,?
14.06,2.15,?,?,?,2.6,2.51,0.31,?,5.05,?,?,1295.0
?,1.64,2.17,14.0,97.0,?,2.98,0.29,1.98,5.2,1.08,?,1045.0
13.86,1.35,2.27,16.0,98.0,2.98,3.15,?,?,?,?,3.55,?
14.1,2.16,2.3,18.0,?,?,?,0.22,2.38,5.75,?,?,1510.0
?,?,2.32,?,95.0,2.2,2.43,0.26,1.57,?,1.17,?,1280.0
13.75,?,2.41,?,89.0,2.6,2.76,?,?,5.6,?,?,?
14.75,1.73,?,11.4,?,?,3.69,?,?,5.4,?,?,?
?,1.87,?,12.0,?,?,?,?,2.96,?,?,?,?
?,1.81,?,?,112.0,2.85,?,0.3,?,7.3,1.28,2.88,?
14.3,?,2.72,20.0,120.0,?,3.14,?,1.97,6.2,1.07,?,?
13.83,?,2.62,20.0,115.0,?,?,?,?,6.6,?,?,1130.0
14.19,?,?,16.5,?,3.3,3.93,0.32,?,8.7,?,?,1680.0
?,?,?,?,?,?,?,?,1.66,5.1,0.96,3.36,845.0
14.06,?,2.28,16.0,?,?,3.17,0.24,2.1,5.65,1.09,3.71,780.0
?,?,2.65,18.6,102.0,2.41,?,0.25,1.98,4.5,1.03,3.52,?
13.71,1.86,?,?,101.0,?,?,?,1.69,3.8,1.11,?,?
?,1.6,?,17.8,?,2.48,?,?,?,3.93,1.09,?,1015.0
?,1.81,2.61,?,?,2.53,?,0.28,?,?,1.12,?,?
13.05,2.05,?,25.0,124.0,?,2.68,?,?,3.58,?,?,?
13.39,1.77,2.62,?,93.0,2.85,?,?,?,4.8,?,?,1195.0
13.3,1.72,?,17.0,94.0,?,?,0.27,?,3.95,1.02,2.77,?
13.87,1.9,2.8,?,?,?,?,?,1.76,?,?,3.4,915.0
14.02,1.68,?,?,96.0,?,2.33,0.26,?,?,1.04,3.59,1035.0
?,1.5,2.7,?,101.0,3.0,3.25,0.29,?,5.7,1.19,?,?
13.58,1.66,?,?,106.0,?,?,0.22,?,6.9,1.09,?,?
?,?,?,17.2,104.0,?,?,?,?,3.84,?,2.87,990.0
?,1.53,2.7,19.5,?,?,?,?,?,5.4,?,?,?
13.51,1.8,2.65,?,?,?,?,?,1.54,4.2,?,2.87,?
13.48,?,2.41,20.5,?,2.7,2.98,?,?,5.1,1.04,?,920.0
?,1.64,?,15.5,?,?,2.68,?,?,?,?,?,?
?,1.65,?,18.0,98.0,2.45,?,0.29,1.44,?,1.12,?,1105.0
?,1.5,2.1,?,?,2.4,?,?,?,?,?,?,1020.0
14.22,3.99,?,13.2,128.0,?,?,0.2,?,?,?,3.53,?
?,1.71,?,?,?,3.15,?,?,?,?,?,3.38,?
?,?,2.12,18.8,?,2.45,2.68,0.27,?,?,?,3.0,1035.0
13.88,?,?,15.0,?,?,?,?,1.7,5.43,?,3.56,1095.0
13.24,?,2.29,17.5,?,?,?,?,1.66,4.36,0.82,?,?
13.05,?,2.1,?,?,?,?,0.28,?,?,?,?,?
14.21,?,?,18.9,?,?,?,?,1.25,5.24,0.87,3.33,1080.0
?,3.59,?,16.0,?,?,?,0.27,?,4.9,1.04,?,1065.0
13.9,1.68,2.12,?,101.0,3.1,3.39,0.21,?,?,0.91,3.33,985.0
?,2.02,2.4,?,?,?,2.92,0.32,?,?,1.07,?,1060.0
?,1.73,2.27,17.4,?,2.88,3.54,?,2.08,8.9,1.12,3.1,?
?,?,?,12.4,?,2.72,3.27,0.17,?,7.2,?,?,1150.0
?,1.65,?,17.2,94.0,2.45,?,?,2.29,?,?,3.37,?
13.82,?,?,?,111.0,?,?,?,?,?,1.01,3.26,1190.0
13.77,1.9,?,17.1,115.0,?,?,0.39,1.68,?,1.13,?,?
?,?,2.25,16.4,118.0,?,?,?,1.62,?,?,?,1060.0
?,?,2.46,20.5,?,2.96,?,0.2,2.45,6.25,?,?,1120.0
?,1.7,2.3,16.3,?,3.2,3.0,0.26,?,?,?,?,970.0
13.29,1.97,2.68,?,102.0,3.0,?,0.31,1.66,6.0,1.07,?,1270.0
13.72,?,2.5,16.7,108.0,3.4,?,0.19,?,?,0.89,?,?
?,?,?,?,?,1.98,?,0.28,?,?,?,?,520.0
12.33,?,2.28,16.0,?,?,?,0.63,?,3.27,1.25,1.67,?
12.64,?,2.02,16.8,100.0,2.02,?,?,0.62,5.75,?,1.59,450.0
13.67,?,1.92,?,?,2.1,1.79,?,?,?,1.23,?,630.0
?,1.13,2.16,?,87.0,3.5,3.1,0.19,?,4.45,?,?,420.0
?,1.45,2.53,19.0,?,1.89,?,?,?,2.95,1.45,2.23,?
?,?,2.56,18.1,98.0,?,?,0.37,2.08,4.6,?,2.3,678.0
?,1.01,1.7,15.0,?,?,?,0.26,?,?,1.12,?,?
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,?,?,510.0
?,?,2.36,17.0,?,?,?,?,?,?,1.02,1.93,?
?,?,?,16.8,?,1.85,?,?,?,2.85,?,?,?
12.29,1.61,2.21,?,?,1.1,1.02,?,1.46,3.05,?,1.82,?
13.86,?,2.67,?,86.0,2.95,?,?,1.87,3.38,1.36,3.16,?
?,1.66,?,?,87.0,?,?,0.27,?,3.74,?,2.78,?
?,1.67,?,30.0,139.0,3.3,2.89,?,1.96,3.35,?,?,985.0
11.96,1.09,?,?,?,3.38,?,0.13,?,?,?,3.13,?
11.66,?,?,?,97.0,1.61,?,0.34,1.15,3.8,1.23,?,?
13.03,0.9,?,?,86.0,?,?,0.24,?,?,?,2.48,?
?,?,?,?,?,1.72,1.32,0.43,?,2.65,?,2.52,500.0
12.33,0.99,1.95,14.8,?,?,?,?,?,?,?,?,750.0
?,?,2.4,23.0,?,?,?,?,1.95,2.57,1.19,?,463.0
12.0,?,?,19.0,86.0,?,2.26,0.3,1.43,?,?,3.12,278.0
12.72,?,2.2,18.8,86.0,?,2.53,?,1.77,?,1.16,3.14,714.0
12.08,1.13,2.51,?,78.0,2.0,?,?,?,?,?,2.72,?
13.05,?,?,22.5,85.0,?,1.59,0.61,?,?,0.84,2.01,?
11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,?,?,0.79,?,?
12.67,?,2.24,?,99.0,?,?,0.3,1.46,?,1.23,?,?
12.16,?,2.31,?,90.0,?,1.69,0.43,?,?,1.33,?,?
?,1.67,?,?,?,?,?,0.4,?,2.6,1.36,3.21,562.0
?,?,2.46,21.6,84.0,?,1.69,0.48,1.35,2.8,1.0,?,?
12.08,?,?,?,?,?,1.59,0.42,1.38,1.74,?,3.21,?
?,?,2.32,?,81.0,1.6,?,?,?,?,1.08,?,480.0
?,1.51,2.42,?,86.0,1.45,1.25,?,?,3.6,?,2.65,?
12.69,1.53,?,20.7,?,?,?,0.58,1.62,?,0.96,?,495.0
?,?,2.22,18.0,?,?,2.25,?,1.99,?,?,3.3,290.0
?,1.99,2.28,18.0,?,?,2.26,?,?,?,1.16,2.96,345.0
