@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data

14.23,1.71,2.43,15.6,?,2.8,3.06,?,2.29,5.64,1.04,?,?
13.2,?,?,?,?,?,2.76,0.26,?,?,1.05,3.4,?
?,2.36,?,18.6,?,2.8,3.24,0.3,2.81,5.68,1.03,?,?
?,1.95,?,16.8,?,3.85,?,?,2.18,?,0.86,3.45,?
13.24,2.59,2.87,21.0,118.0,2.8,?,0.39,1.82,4.32,?,2.93,735.0
?,1.76,2.45,?,?,?,?,0.34,1.97,6.75,?,?,1450.0
14.39,1.87,?,14.6,96.0,2.5,?,0.3,1.98,5.25,?,3.58,?
14.06,2.15,2.61,17.6,?,2.6,?,?,1.25,?,1.06,3.58,1295.0
14.83,1.64,2.17,14.0,97.0,2.8,?,?,1.98,5.2,?,2.85,1045.0
?,1.35,2.27,16.0,?,?,?,0.22,?,?,1.01,3.55,?
?,?,?,18.0,105.0,2.95,3.32,0.22,2.38,?,1.25,3.17,?
14.12,1.48,2.32,16.8,?,2.2,2.43,?,1.57,5.0,1.17,?,1280.0
13.75,1.73,2.41,16.0,89.0,?,2.76,?,1.81,5.6,1.15,?,1320.0
14.75,?,?,11.4,91.0,3.1,?,?,2.81,5.4,1.25,?,1150.0
14.38,?,?,12.0,?,3.3,?,?,?,7.5,?,3.0,?
?,?,?,?,?,2.85,?,?,?,?,?,2.88,?
?,1.92,2.72,?,120.0,?,3.14,0.33,1.97,?,?,2.65,1280.0
13.83,?,?,20.0,115.0,?,?,0.4,?,6.6,1.13,2.57,?
?,?,?,?,108.0,?,?,?,?,8.7,1.23,2.82,?
?,?,2.56,15.2,?,2.7,3.03,0.17,?,5.1,?,?,?
14.06,1.63,?,?,126.0,3.0,3.17,0.24,2.1,5.65,?,?,780.0
12.93,3.8,2.65,?,?,2.41,?,?,1.98,?,1.03,?,?
13.71,1.86,2.36,16.6,?,2.61,2.88,?,1.69,?,?,?,1035.0
12.85,?,2.52,17.8,?,2.48,?,0.26,?,?,1.09,?,1015.0
?,?,2.61,20.0,96.0,?,2.61,?,?,?,1.12,?,?
13.05,2.05,3.22,?,?,?,?,0.47,1.92,3.58,1.13,?,830.0
?,1.77,?,?,93.0,2.85,?,?,1.45,?,?,3.22,?
13.3,?,2.14,17.0,?,?,?,?,1.35,3.95,1.02,?,?
13.87,1.9,?,19.4,?,2.95,?,?,1.76,?,1.25,3.4,?
?,1.68,2.21,?,96.0,?,2.33,0.26,?,4.7,?,?,?
?,1.5,?,?,101.0,3.0,?,0.29,2.38,?,1.19,2.71,?
13.58,1.66,?,?,106.0,?,3.19,0.22,?,6.9,?,?,?
13.68,?,?,17.2,104.0,?,?,?,?,3.84,?,?,?
?,?,2.7,?,?,?,?,?,1.35,?,1.25,3.0,1235.0
?,1.8,2.65,?,?,?,2.53,0.29,?,4.2,1.1,?,1095.0
?,?,?,?,?,2.7,2.98,?,1.86,5.1,?,3.47,?
?,?,2.84,?,110.0,?,?,0.34,?,?,?,2.78,?
13.05,?,?,?,98.0,2.45,?,?,1.44,?,1.12,?,1105.0
?,1.5,2.1,15.5,?,?,?,?,1.37,?,1.18,2.69,1020.0
?,3.99,?,13.2,128.0,3.0,3.04,0.2,?,5.1,?,3.53,760.0
?,1.71,2.31,?,?,?,?,?,2.34,?,?,3.38,?
?,3.84,2.12,18.8,?,2.45,2.68,?,1.48,?,0.91,?,?
?,?,?,?,101.0,3.25,?,0.17,?,5.43,0.88,3.56,?
?,3.98,2.29,17.5,?,2.64,2.63,?,?,4.36,?,?,680.0
13.05,?,2.1,?,?,?,3.0,0.28,2.03,5.04,?,?,885.0
?,4.04,2.44,?,?,2.85,?,?,1.25,?,0.87,3.33,?
?,3.59,2.28,16.0,?,?,3.17,0.27,?,4.9,1.04,3.44,?
13.9,1.68,2.12,?,?,?,3.39,0.21,?,?,?,?,985.0
14.1,?,2.4,18.8,103.0,2.75,?,?,?,6.2,?,2.75,?
?,?,?,17.4,?,?,?,0.32,?,?,1.12,?,?
13.05,1.73,?,?,92.0,2.72,?,0.17,2.91,?,?,?,?
13.83,?,?,17.2,?,?,?,0.22,?,5.6,1.24,3.37,1265.0
?,?,?,14.0,?,3.88,?,?,?,?,1.01,?,1190.0
?,1.9,?,?,?,?,2.79,0.39,?,6.3,?,?,?
13.74,1.67,2.25,?,118.0,?,2.9,0.21,?,?,?,?,1060.0
13.56,1.73,2.46,?,?,?,2.78,?,?,?,0.98,?,?
14.22,1.7,2.3,?,?,3.2,?,?,2.03,?,0.94,?,?
13.29,1.97,2.68,?,102.0,3.0,3.23,0.31,?,6.0,1.07,2.84,1270.0
?,?,2.5,?,108.0,3.4,3.67,0.19,?,?,0.89,?,?
12.37,0.94,1.36,?,88.0,?,?,?,?,1.95,?,1.82,?
12.33,?,2.28,16.0,101.0,2.05,?,?,0.41,?,1.25,?,?
?,?,2.02,?,100.0,?,?,0.53,?,?,0.98,1.59,450.0
?,1.25,1.92,18.0,?,?,1.79,0.32,?,?,?,2.46,630.0
?,1.13,2.16,?,87.0,3.5,3.1,0.19,?,4.45,?,?,420.0
12.17,?,2.53,?,104.0,1.89,?,0.45,1.03,?,?,?,?
12.37,?,?,18.1,98.0,2.42,2.65,?,2.08,4.6,1.19,?,?
?,?,?,15.0,78.0,2.98,?,0.26,2.28,?,?,?,502.0
?,?,?,?,78.0,?,?,0.27,?,4.68,?,?,510.0
13.34,0.94,2.36,?,?,2.53,1.3,?,0.42,3.17,1.02,?,?
12.21,?,?,?,151.0,?,?,?,2.5,?,?,?,718.0
12.29,1.61,2.21,?,103.0,?,1.02,?,?,?,0.906,1.82,?
13.86,?,?,25.0,86.0,2.95,?,0.21,?,?,1.36,?,410.0
13.49,1.66,2.24,24.0,87.0,?,1.84,?,?,?,0.98,?,472.0
?,?,?,?,?,3.3,2.89,?,?,3.35,?,?,985.0
?,1.09,2.3,21.0,?,?,?,?,1.65,3.21,?,?,886.0
11.66,?,?,16.0,97.0,1.61,1.57,?,?,?,?,?,?
?,?,?,?,?,1.95,?,?,?,?,?,2.48,392.0
?,2.89,2.23,?,112.0,?,1.32,0.43,0.95,2.65,?,?,?
12.33,0.99,?,?,136.0,1.9,1.85,0.35,?,3.4,?,2.31,750.0
?,?,?,23.0,?,2.83,?,?,?,?,1.19,3.13,?
12.0,0.92,2.0,19.0,?,?,2.26,?,?,2.5,1.38,3.12,?
?,1.81,?,?,86.0,2.2,2.53,?,1.77,?,1.16,?,?
?,?,2.51,24.0,78.0,2.0,?,0.4,1.4,2.2,?,?,?
?,3.86,?,22.5,?,?,?,?,1.62,4.8,0.84,2.01,?
?,0.89,?,18.0,?,2.2,?,?,?,?,?,3.08,?
?,?,?,18.0,99.0,2.2,1.94,?,1.46,?,1.23,?,450.0
12.16,?,2.31,?,?,?,1.69,0.43,1.56,2.45,1.33,?,495.0
11.65,?,?,26.0,88.0,?,1.61,?,?,?,1.36,?,562.0
?,2.06,?,?,?,1.95,?,?,?,2.8,1.0,2.75,680.0
12.08,?,?,23.6,?,?,?,?,1.38,1.74,?,3.21,?
12.08,1.83,?,18.5,81.0,?,?,?,?,?,?,2.27,480.0
12.0,1.51,2.42,?,?,1.45,?,0.5,?,3.6,?,?,?
?,?,2.26,?,80.0,?,1.46,0.58,1.62,?,?,2.06,?
?,2.83,2.22,18.0,?,2.45,2.25,0.25,1.99,?,?,?,?
?,1.99,2.28,?,98.0,3.02,2.26,0.17,?,?,?,?,?
?,1.52,?,?,?,?,2.27,0.32,3.28,2.6,1.16,?,?
?,2.12,?,?,134.0,1.6,0.99,0.14,1.56,2.5,?,2.26,625.0
?,?,1.98,16.0,?,2.55,?,0.29,?,?,?,?,?
?,?,2.1,?,?,3.52,?,0.24,?,?,1.04,2.77,?
12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,?,2.3,?,2.83,406.0
?,?,?,?,?,?,?,?,1.4,?,?,?,710.0
?,1.34,?,?,?,1.45,?,0.29,1.35,?,1.04,?,562.0
12.34,2.45,?,?,98.0,?,?,?,?,?,?,3.38,438.0
?,1.72,?,?,86.0,?,1.64,0.37,?,2.06,0.94,?,415.0
12.51,1.73,?,?,?,2.2,?,?,1.48,2.94,?,3.57,672.0
12.42,?,?,22.0,?,?,1.84,?,?,2.7,?,3.3,?
?,?,2.12,19.0,?,1.65,2.03,0.37,?,?,?,?,?
12.72,?,?,22.5,84.0,?,?,?,?,?,?,2.42,?
12.22,1.29,1.94,?,92.0,?,?,?,2.08,2.7,?,3.02,312.0
?,?,?,?,?,2.74,2.92,?,?,?,0.96,3.26,680.0
11.46,3.74,1.82,19.5,107.0,?,2.58,?,?,2.9,?,?,?
?,?,2.17,21.0,88.0,?,2.27,?,?,?,0.9,?,?
11.76,2.68,?,20.0,?,?,?,?,?,3.8,1.23,?,607.0
?,?,2.5,?,?,?,2.01,0.42,?,3.08,?,?,434.0
12.08,1.39,?,?,?,2.56,?,0.43,1.04,?,0.93,?,?
?,?,?,21.5,85.0,?,?,0.52,2.01,1.9,1.71,?,?
11.82,?,?,?,?,?,1.6,?,?,1.95,0.95,?,?
12.42,?,?,22.5,108.0,2.0,2.09,?,1.61,2.06,1.06,?,?
12.77,3.43,1.98,?,?,1.63,?,?,0.83,3.4,?,?,372.0
12.0,3.43,2.0,19.0,87.0,2.0,?,0.37,1.87,?,0.93,3.05,?
11.45,?,2.42,20.0,96.0,2.9,2.79,0.32,?,3.25,0.8,?,625.0
?,?,?,28.5,119.0,?,?,0.47,1.87,?,0.93,?,465.0
12.42,4.43,?,?,102.0,2.2,2.13,?,1.71,?,?,?,365.0
?,?,2.13,?,86.0,?,?,0.3,?,?,0.73,?,?
11.87,4.31,?,?,82.0,2.86,?,0.21,?,2.8,0.75,?,380.0
?,2.16,?,?,?,?,?,0.37,?,2.76,0.86,?,378.0
12.43,?,?,21.5,86.0,?,3.15,0.39,1.77,?,?,?,352.0
11.79,2.13,?,28.5,?,2.13,?,0.58,1.76,?,?,?,?
?,1.63,2.3,?,88.0,?,2.45,0.4,1.9,2.12,?,2.78,?
12.04,4.3,2.38,?,?,?,?,?,1.35,2.6,0.79,2.57,580.0
?,1.35,2.32,18.0,122.0,?,1.25,0.21,?,4.1,0.76,?,630.0
12.88,?,2.4,?,104.0,1.3,?,0.24,0.83,?,0.74,?,?
12.81,2.31,?,?,98.0,?,1.09,0.27,?,?,?,1.36,?
?,?,2.36,?,?,1.7,?,?,?,?,0.78,?,600.0
12.51,?,2.25,17.5,?,?,?,0.6,?,5.45,0.75,1.51,?
?,?,2.2,18.5,94.0,1.62,?,?,?,?,?,1.58,695.0
?,?,?,?,89.0,?,?,0.53,?,?,?,1.27,?
12.53,?,?,25.0,?,?,0.6,0.63,1.1,5.0,?,?,?
?,3.59,?,19.5,?,?,0.48,?,0.88,5.7,0.81,1.82,?
12.84,2.96,?,?,101.0,?,0.6,0.53,0.81,4.92,?,?,590.0
12.93,?,?,?,?,?,0.5,?,?,4.6,?,2.31,?
?,?,?,20.0,89.0,?,?,?,?,?,0.7,2.47,780.0
13.52,3.17,?,23.5,97.0,1.55,?,?,0.55,4.35,?,?,520.0
?,?,2.35,20.0,92.0,?,0.8,0.47,?,4.4,?,2.05,550.0
?,?,2.2,18.5,112.0,1.38,0.78,0.29,?,8.21,?,2.0,855.0
?,?,2.15,?,102.0,1.5,0.55,?,?,4.0,0.6,1.68,?
?,5.04,2.23,20.0,80.0,?,?,0.4,0.68,?,?,?,415.0
12.87,4.61,2.48,?,?,1.7,?,0.47,0.86,?,0.54,1.86,?
13.32,3.24,2.38,?,?,1.93,0.76,?,1.25,8.42,?,1.62,?
?,3.9,2.36,21.5,113.0,1.41,?,?,1.14,9.4,?,?,550.0
13.5,3.12,?,?,123.0,?,?,0.22,?,?,0.59,1.3,500.0
?,2.67,2.48,?,?,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480.0
?,1.9,2.75,?,?,2.2,1.28,?,1.56,?,?,?,?
?,3.3,2.28,18.5,?,1.8,?,0.61,?,10.52,0.56,?,?
?,1.29,2.1,?,103.0,?,0.58,?,?,?,0.58,?,?
13.17,?,2.32,?,?,?,0.63,0.61,1.55,7.9,0.6,1.48,725.0
13.84,4.12,2.38,?,89.0,?,?,?,?,?,0.57,1.64,480.0
?,3.03,?,?,?,?,?,0.63,?,?,0.67,?,880.0
14.34,?,2.7,25.0,98.0,?,?,?,2.7,13.0,0.57,?,660.0
?,1.67,2.64,22.5,89.0,?,?,0.52,2.29,?,0.57,?,?
12.36,?,?,21.0,88.0,?,?,0.5,?,?,0.56,?,520.0
?,3.26,2.54,?,107.0,?,0.56,?,0.8,5.88,0.96,1.82,?
?,?,?,22.0,?,1.65,0.6,0.6,0.96,5.58,?,?,570.0
12.96,3.45,2.35,?,?,1.39,0.7,0.4,0.94,?,0.68,?,675.0
13.78,2.76,2.3,?,?,1.35,?,?,1.03,9.58,?,1.68,?
?,4.36,2.26,22.5,?,?,?,?,?,6.62,?,1.75,520.0
?,?,?,23.0,111.0,?,0.92,0.43,?,?,0.85,1.56,?
12.82,3.37,2.3,19.5,?,?,0.66,?,?,?,0.72,?,?
?,?,?,?,?,1.55,0.84,0.39,1.54,?,?,1.8,?
?,?,?,25.0,?,?,?,0.27,1.11,?,0.67,1.92,?
12.2,3.03,2.32,19.0,?,1.25,0.49,0.4,?,?,0.66,1.83,?
?,2.39,?,19.5,?,1.39,0.51,0.48,?,?,0.57,1.63,470.0
?,?,?,20.0,?,?,0.7,?,?,?,0.62,?,?
13.71,?,?,?,?,1.68,0.61,0.52,?,7.7,0.64,1.74,740.0
?,?,2.48,23.0,?,?,?,0.43,?,7.3,?,?,750.0
13.27,?,?,?,?,1.59,0.69,?,1.35,?,0.59,1.56,?
?,?,2.37,20.0,?,?,?,0.53,?,9.3,0.6,?,?
14.13,?,?,?,96.0,?,?,0.56,1.35,?,0.61,1.6,560.0
