@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

95.0,?,?,178.0,?,10.0,?,42.0,?,159.0,?,379.0,184.0,70.0,?,16.0,?,197.0,?
91.0,?,84.0,141.0,?,9.0,149.0,45.0,19.0,143.0,170.0,?,158.0,72.0,?,14.0,189.0,199.0,van
104.0,50.0,?,209.0,66.0,10.0,207.0,32.0,23.0,158.0,223.0,635.0,?,73.0,14.0,9.0,188.0,196.0,saab
93.0,41.0,82.0,159.0,63.0,?,144.0,?,?,143.0,?,309.0,127.0,?,6.0,10.0,199.0,207.0,van
85.0,44.0,70.0,205.0,?,52.0,149.0,45.0,19.0,?,241.0,325.0,188.0,127.0,9.0,?,180.0,183.0,bus
107.0,57.0,?,172.0,50.0,6.0,255.0,26.0,28.0,169.0,280.0,957.0,264.0,85.0,?,9.0,181.0,183.0,?
97.0,43.0,?,?,?,6.0,153.0,42.0,19.0,143.0,?,?,172.0,66.0,13.0,1.0,?,204.0,bus
90.0,43.0,?,157.0,65.0,?,137.0,48.0,18.0,146.0,162.0,281.0,?,67.0,3.0,?,193.0,202.0,?
86.0,?,62.0,140.0,61.0,7.0,122.0,54.0,?,?,141.0,223.0,112.0,64.0,2.0,?,200.0,208.0,van
93.0,44.0,98.0,197.0,62.0,11.0,183.0,36.0,22.0,?,202.0,505.0,152.0,?,4.0,14.0,195.0,204.0,saab
86.0,36.0,70.0,143.0,61.0,9.0,133.0,?,18.0,?,?,266.0,127.0,66.0,?,?,194.0,?,?
90.0,34.0,?,136.0,55.0,?,123.0,54.0,17.0,?,?,?,?,?,5.0,26.0,196.0,202.0,saab
88.0,46.0,74.0,171.0,68.0,?,?,43.0,?,?,?,349.0,192.0,?,5.0,11.0,?,195.0,bus
89.0,42.0,?,144.0,58.0,10.0,?,44.0,19.0,144.0,?,345.0,161.0,72.0,?,13.0,187.0,197.0,van
94.0,49.0,79.0,203.0,?,5.0,?,?,21.0,154.0,196.0,465.0,?,71.0,?,2.0,197.0,?,bus
96.0,55.0,103.0,201.0,65.0,9.0,204.0,32.0,23.0,166.0,227.0,624.0,?,74.0,6.0,2.0,186.0,?,?
89.0,?,51.0,?,52.0,6.0,118.0,57.0,17.0,129.0,137.0,206.0,125.0,80.0,2.0,?,181.0,185.0,van
?,41.0,?,?,69.0,6.0,177.0,?,21.0,139.0,202.0,485.0,151.0,72.0,4.0,10.0,198.0,?,bus
104.0,54.0,100.0,186.0,?,10.0,?,31.0,24.0,173.0,225.0,686.0,220.0,74.0,5.0,11.0,185.0,?,?
?,?,100.0,215.0,?,10.0,208.0,?,?,169.0,227.0,651.0,223.0,74.0,?,5.0,186.0,?,opel
84.0,?,?,153.0,64.0,6.0,154.0,43.0,19.0,145.0,175.0,?,184.0,75.0,0.0,3.0,185.0,?,?
84.0,37.0,53.0,121.0,59.0,5.0,123.0,55.0,17.0,125.0,?,?,133.0,82.0,7.0,1.0,179.0,183.0,van
?,43.0,64.0,173.0,69.0,7.0,150.0,43.0,19.0,142.0,169.0,?,177.0,68.0,9.0,1.0,199.0,206.0,?
87.0,39.0,70.0,?,61.0,7.0,143.0,?,18.0,136.0,164.0,307.0,141.0,69.0,1.0,2.0,192.0,199.0,bus
?,53.0,?,?,66.0,11.0,204.0,32.0,23.0,165.0,?,?,224.0,68.0,?,6.0,?,201.0,saab
?,45.0,?,154.0,64.0,9.0,147.0,45.0,19.0,148.0,169.0,324.0,174.0,71.0,1.0,?,188.0,?,?
?,36.0,54.0,?,57.0,6.0,128.0,53.0,?,?,?,238.0,?,?,6.0,3.0,?,?,saab
107.0,54.0,?,203.0,65.0,?,218.0,31.0,25.0,167.0,229.0,696.0,?,72.0,1.0,28.0,?,199.0,saab
