@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

adviser,?,256.0,6000.0,?,16.0,128.0,?
amdahl,29.0,8000.0,32000.0,32.0,8.0,?,253.0
?,?,8000.0,32000.0,32.0,?,?,?
?,29.0,?,32000.0,32.0,?,32.0,253.0
amdahl,29.0,?,?,?,8.0,16.0,?
amdahl,?,8000.0,32000.0,64.0,8.0,32.0,?
amdahl,23.0,16000.0,32000.0,64.0,?,32.0,381.0
amdahl,23.0,16000.0,?,64.0,16.0,32.0,381.0
?,23.0,16000.0,?,64.0,?,32.0,749.0
?,?,?,?,128.0,32.0,?,1238.0
apollo,400.0,1000.0,?,?,?,2.0,23.0
apollo,400.0,?,3500.0,4.0,1.0,?,24.0
?,60.0,?,8000.0,65.0,1.0,?,?
basf,50.0,4000.0,16000.0,65.0,?,?,117.0
?,350.0,?,64.0,0.0,?,?,?
bti,?,512.0,?,0.0,?,32.0,?
burroughs,?,?,2000.0,8.0,4.0,15.0,?
burroughs,143.0,?,5000.0,0.0,7.0,32.0,?
burroughs,143.0,1000.0,2000.0,0.0,?,16.0,22.0
burroughs,110.0,?,5000.0,142.0,8.0,64.0,?
burroughs,143.0,1500.0,6300.0,0.0,5.0,?,?
burroughs,?,3100.0,?,0.0,5.0,?,39.0
burroughs,?,2300.0,6200.0,0.0,6.0,64.0,40.0
?,?,3100.0,?,0.0,6.0,?,?
c.r.d,?,?,6000.0,0.0,1.0,12.0,28.0
?,?,512.0,2000.0,?,1.0,?,21.0
c.r.d,?,256.0,6000.0,0.0,1.0,6.0,28.0
c.r.d,320.0,?,?,?,1.0,?,22.0
c.r.d,?,512.0,5000.0,?,?,5.0,28.0
c.r.d,320.0,256.0,?,?,1.0,6.0,27.0
cdc,25.0,1310.0,2620.0,131.0,12.0,?,102.0
cdc,25.0,?,2620.0,?,12.0,?,102.0
?,?,2620.0,10480.0,?,12.0,?,74.0
cdc,50.0,2620.0,10480.0,?,?,?,?
cdc,?,5240.0,20970.0,?,12.0,24.0,?
?,?,5240.0,?,?,?,?,136.0
cdc,50.0,?,?,?,?,4.0,23.0
cdc,?,1000.0,?,8.0,1.0,?,29.0
cdc,?,?,8000.0,?,?,5.0,44.0
?,?,?,4000.0,?,?,5.0,30.0
cambex,50.0,1000.0,?,8.0,3.0,?,41.0
?,?,2000.0,16000.0,8.0,3.0,5.0,74.0
cambex,?,2000.0,16000.0,8.0,?,6.0,?
?,50.0,?,16000.0,8.0,3.0,6.0,74.0
dec,133.0,1000.0,12000.0,?,?,?,?
?,133.0,?,8000.0,?,?,12.0,?
dec,?,?,512.0,?,?,?,18.0
dec,?,?,5000.0,0.0,1.0,1.0,?
dec,?,?,8000.0,?,?,5.0,?
?,200.0,?,?,?,?,8.0,?
dg,700.0,384.0,?,0.0,?,?,34.0
dg,700.0,?,?,?,?,1.0,19.0
