@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,?,?,?,16.0,?,199.0
1,?,8000.0,?,?,8.0,32.0,253.0
1,?,8000.0,32000.0,32.0,?,32.0,253.0
1,29.0,8000.0,32000.0,?,?,32.0,?
1,29.0,?,16000.0,32.0,8.0,?,132.0
?,?,8000.0,32000.0,64.0,8.0,?,290.0
1,23.0,16000.0,?,64.0,16.0,32.0,?
1,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
?,?,16000.0,?,64.0,16.0,32.0,?
1,?,?,64000.0,?,32.0,64.0,?
2,?,1000.0,?,0.0,1.0,?,23.0
2,400.0,?,3500.0,?,1.0,?,24.0
?,60.0,2000.0,?,65.0,1.0,8.0,?
3,50.0,4000.0,16000.0,65.0,1.0,8.0,?
4,?,?,64.0,?,1.0,4.0,15.0
?,200.0,?,?,?,?,32.0,?
5,?,524.0,2000.0,?,?,?,23.0
?,143.0,512.0,?,0.0,7.0,?,29.0
5,143.0,?,2000.0,0.0,5.0,?,?
?,110.0,?,5000.0,142.0,8.0,?,124.0
?,143.0,?,6300.0,0.0,5.0,32.0,?
?,143.0,3100.0,6200.0,?,?,?,39.0
?,143.0,?,6200.0,0.0,?,?,40.0
5,?,3100.0,6200.0,0.0,6.0,?,45.0
6,320.0,128.0,?,?,1.0,12.0,?
?,320.0,?,2000.0,4.0,1.0,3.0,?
6,?,256.0,6000.0,?,1.0,6.0,28.0
?,?,?,?,?,1.0,3.0,?
?,320.0,512.0,5000.0,?,1.0,5.0,28.0
6,?,?,?,?,1.0,?,?
7,25.0,1310.0,?,131.0,12.0,24.0,102.0
?,25.0,1310.0,?,131.0,?,?,102.0
?,?,2620.0,?,30.0,12.0,?,?
?,50.0,?,10480.0,?,12.0,24.0,74.0
7,56.0,5240.0,?,30.0,?,24.0,138.0
7,64.0,?,20970.0,30.0,?,24.0,?
7,50.0,500.0,2000.0,?,?,4.0,?
7,50.0,1000.0,4000.0,8.0,?,?,?
?,?,?,?,?,1.0,5.0,?
8,50.0,?,?,8.0,3.0,5.0,?
?,50.0,?,8000.0,?,3.0,?,41.0
?,50.0,2000.0,16000.0,?,?,5.0,74.0
8,?,?,16000.0,8.0,?,?,?
?,?,2000.0,?,8.0,?,?,74.0
9,133.0,?,?,9.0,?,?,54.0
9,133.0,1000.0,8000.0,?,3.0,12.0,?
9,?,512.0,?,8.0,1.0,?,18.0
9,810.0,1000.0,?,0.0,?,1.0,?
?,?,?,?,4.0,?,5.0,?
?,?,512.0,?,8.0,1.0,8.0,38.0
?,?,384.0,?,0.0,1.0,1.0,34.0
10,?,256.0,2000.0,0.0,?,1.0,19.0
?,140.0,1000.0,?,?,1.0,3.0,72.0
10,200.0,1000.0,8000.0,?,1.0,2.0,?
10,?,1000.0,4000.0,?,1.0,2.0,?
?,110.0,1000.0,?,16.0,1.0,2.0,?
?,220.0,?,8000.0,?,1.0,?,?
?,800.0,256.0,8000.0,0.0,1.0,4.0,?
?,800.0,256.0,8000.0,0.0,?,4.0,34.0
11,800.0,?,?,0.0,1.0,?,?
11,800.0,?,8000.0,0.0,?,4.0,?
11,?,256.0,8000.0,0.0,?,4.0,?
12,?,512.0,1000.0,0.0,8.0,20.0,?
?,75.0,2000.0,8000.0,64.0,1.0,38.0,75.0
?,75.0,?,16000.0,?,1.0,38.0,?
13,?,?,?,?,?,38.0,157.0
14,90.0,?,?,0.0,3.0,10.0,18.0
14,105.0,256.0,2000.0,0.0,3.0,10.0,20.0
14,?,1000.0,4000.0,?,?,24.0,?
?,?,2000.0,4000.0,8.0,3.0,19.0,33.0
?,?,?,8000.0,8.0,3.0,?,?
?,75.0,?,?,8.0,3.0,?,54.0
?,?,?,?,?,3.0,?,20.0
15,300.0,768.0,?,0.0,?,24.0,?
