@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}


@data

?,?,0.47,?,?,0.0,?,0.22,?
0.43,0.67,0.48,?,?,?,0.53,?,?
?,0.62,0.49,0.15,0.5,0.0,0.53,?,6
0.58,0.44,?,?,?,0.0,?,?,?
0.42,0.44,?,0.54,?,?,0.48,?,?
0.51,0.4,?,?,0.5,0.5,0.49,?,?
0.5,?,0.48,0.65,?,?,?,?,6
0.48,0.45,0.59,0.2,0.5,0.0,0.58,?,7
0.55,0.5,?,0.36,0.5,0.0,0.49,0.22,?
0.4,?,0.6,?,?,?,?,0.3,?
?,?,0.54,0.21,0.5,?,0.53,?,7
0.42,?,0.59,0.2,0.5,?,0.52,?,?
0.4,0.42,?,0.35,?,0.0,?,?,?
0.6,?,0.52,0.46,?,?,?,?,6
0.66,?,0.45,?,?,0.0,0.46,?,?
?,?,0.52,?,0.5,?,0.5,?,?
0.47,?,?,0.11,?,?,?,?,0
0.58,?,0.54,?,0.5,0.0,0.51,0.26,?
0.5,?,0.55,0.21,0.5,0.0,?,0.22,7
?,0.6,0.55,0.21,0.5,?,0.5,?,?
?,?,?,?,?,0.0,0.5,?,?
?,?,?,0.22,?,?,0.51,0.22,0
0.73,?,?,0.3,?,?,?,?,?
0.43,?,?,?,0.5,?,0.55,0.22,0
?,?,?,0.15,0.5,0.0,0.58,0.22,?
?,?,?,0.51,?,0.0,0.54,?,6
0.59,?,0.53,0.19,?,0.0,0.59,?,?
0.57,0.47,0.6,0.18,0.5,0.0,?,0.22,?
0.63,?,?,0.24,0.5,0.0,?,?,?
0.8,?,0.36,0.39,0.5,0.0,0.56,?,?
0.53,0.54,0.43,0.1,0.5,0.0,?,?,7
0.51,0.51,?,?,0.5,?,0.52,?,6
0.38,?,0.61,?,0.5,?,0.53,0.47,0
0.33,0.55,?,0.43,0.5,0.0,?,?,7
0.78,?,?,0.26,?,?,0.43,0.22,?
?,0.67,0.47,0.34,0.5,0.0,?,?,?
0.72,0.61,?,?,?,0.0,?,0.25,?
0.4,0.45,?,0.18,0.5,0.0,?,?,0
0.59,0.53,?,0.44,0.5,?,?,?,?
0.57,?,?,0.34,?,?,0.53,0.22,6
?,?,0.39,0.24,0.5,0.0,?,?,4
0.86,0.74,0.51,0.4,?,?,?,?,4
?,0.57,0.41,0.28,0.5,?,?,0.22,?
0.41,?,0.39,0.2,?,?,0.51,0.22,5
?,0.36,?,?,?,0.0,?,?,9
?,0.31,0.58,0.39,0.5,?,0.47,?,?
0.74,0.75,0.58,0.47,0.5,?,?,0.35,4
?,?,0.52,0.29,0.5,0.0,0.48,?,?
0.74,0.57,?,0.28,?,?,?,?,9
0.42,?,?,0.16,0.5,0.0,0.5,0.22,?
0.48,0.39,?,?,0.5,0.0,?,?,?
0.41,0.53,?,0.14,0.5,0.0,0.52,0.66,?
0.45,0.46,0.55,0.43,0.5,?,0.55,?,7
0.56,?,0.58,?,0.5,?,?,0.22,0
?,?,0.56,0.23,?,?,?,?,0
0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,?
?,?,?,0.1,?,?,0.49,?,?
?,0.44,?,?,?,?,0.55,?,0
0.38,?,?,?,?,?,0.5,0.22,?
?,0.58,?,?,0.5,0.0,?,0.22,6
?,?,0.52,0.52,?,0.0,0.54,?,?
0.37,0.32,0.47,0.18,0.5,0.0,0.45,?,7
?,0.43,0.51,?,?,?,?,?,?
0.41,?,?,0.19,?,?,0.58,0.27,7
?,?,0.44,0.08,?,?,?,?,0
?,?,?,0.22,?,?,0.51,0.29,?
?,0.46,0.57,?,?,?,?,?,?
?,?,0.55,?,?,0.0,0.51,?,0
0.47,0.39,0.59,?,?,0.0,0.57,0.22,0
0.81,?,?,0.37,0.5,0.0,?,0.22,2
?,0.42,?,0.24,?,0.0,0.56,0.22,?
?,0.51,0.49,0.27,0.5,0.0,?,?,?
?,0.5,0.44,0.61,0.5,0.0,0.47,0.22,?
0.45,?,?,?,0.5,?,?,?,?
?,0.49,0.58,?,?,0.0,0.44,?,6
?,?,0.56,?,0.5,0.0,?,?,?
?,?,0.54,?,0.5,?,?,0.22,6
0.5,?,0.53,0.54,?,?,0.51,0.27,6
?,?,?,?,?,?,0.38,0.22,6
0.43,0.57,?,0.49,?,?,0.48,?,6
0.48,0.45,0.55,0.5,0.5,0.0,?,?,?
0.5,?,0.46,0.46,0.5,?,?,0.22,?
?,?,0.6,0.57,0.5,0.0,0.58,0.22,?
0.54,0.52,?,0.37,?,0.0,?,0.22,6
?,0.62,?,?,0.5,?,0.5,0.22,?
?,0.58,0.21,0.13,0.5,0.0,?,?,?
?,?,0.35,?,0.5,?,0.55,?,?
?,?,0.45,?,0.5,?,?,?,?
0.5,0.52,0.59,0.3,?,?,0.51,?,7
?,?,?,0.41,0.5,0.0,0.53,0.32,?
0.36,?,0.62,0.46,0.5,0.0,?,0.33,?
?,?,0.47,0.22,0.5,0.0,?,0.27,6
?,?,?,0.2,?,0.0,?,?,?
?,?,0.64,0.16,?,?,0.52,0.52,?
?,?,0.49,?,0.5,0.0,0.5,0.28,?
?,0.5,?,?,0.5,?,?,?,5
0.69,0.7,?,0.36,?,0.0,0.46,0.22,2
?,?,0.39,?,0.5,?,0.58,?,6
?,?,?,?,0.5,0.0,?,?,6
0.64,0.57,0.57,0.27,0.5,0.0,0.37,?,0
0.36,?,0.35,?,0.5,?,0.44,0.22,5
?,?,0.39,0.12,?,?,?,0.22,?
0.47,0.52,?,0.4,0.5,0.0,?,0.22,?
?,?,?,?,?,0.0,0.48,0.47,?
0.47,?,?,0.24,0.5,?,?,0.22,?
0.44,0.59,?,0.16,0.5,?,0.52,?,5
0.42,0.35,?,?,?,0.0,?,?,0
?,?,0.55,0.18,0.5,0.0,?,0.22,0
?,0.65,0.52,0.16,?,?,0.6,?,0
?,0.6,?,0.23,?,?,0.55,?,0
0.45,0.41,0.5,0.46,0.5,0.5,0.5,?,8
?,?,?,?,0.5,?,0.51,0.22,7
?,?,0.57,?,?,0.0,0.48,?,7
0.4,?,0.49,0.47,?,?,0.49,0.27,?
0.45,?,?,?,0.5,0.0,0.52,?,?
0.45,?,?,0.6,0.5,?,0.49,?,?
?,0.67,?,?,?,?,?,?,6
?,0.47,0.57,?,0.5,?,0.48,0.22,?
0.35,?,0.48,0.22,0.5,?,0.26,?,?
0.47,?,0.66,?,?,?,?,?,6
?,0.62,?,0.28,?,0.0,?,?,6
0.55,0.53,?,?,0.5,?,0.52,0.22,6
0.67,0.62,0.54,?,?,?,?,0.22,?
0.59,?,?,?,?,0.0,?,0.31,6
0.54,0.55,?,?,0.5,?,0.54,0.22,5
?,?,0.54,0.17,0.5,0.0,?,?,?
