@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,256.0,6000.0,256.0,16.0,?,199.0
?,?,8000.0,32000.0,?,8.0,?,?
?,29.0,?,32000.0,32.0,?,32.0,253.0
?,?,?,32000.0,32.0,8.0,32.0,?
?,29.0,?,?,?,?,16.0,?
1,?,8000.0,?,64.0,8.0,?,290.0
1,23.0,?,?,64.0,16.0,32.0,381.0
?,23.0,16000.0,32000.0,64.0,16.0,?,?
?,?,?,?,?,?,32.0,?
?,?,32000.0,?,?,?,64.0,?
2,400.0,?,?,0.0,1.0,2.0,?
?,400.0,?,?,4.0,?,?,?
3,60.0,?,?,65.0,1.0,?,?
?,50.0,?,?,65.0,1.0,?,?
?,?,?,?,?,1.0,4.0,15.0
?,?,?,16000.0,?,?,?,?
?,?,?,?,?,4.0,?,?
5,?,512.0,?,?,?,32.0,29.0
?,?,1000.0,2000.0,?,?,16.0,?
5,?,5000.0,?,?,?,64.0,124.0
5,?,?,6300.0,0.0,?,?,?
5,143.0,3100.0,?,?,?,?,39.0
?,?,?,?,0.0,6.0,?,?
5,?,?,?,?,6.0,?,?
?,320.0,?,6000.0,0.0,1.0,?,?
?,320.0,?,?,?,1.0,?,21.0
?,320.0,256.0,?,?,1.0,6.0,?
6,?,256.0,3000.0,?,1.0,?,?
?,?,512.0,5000.0,4.0,1.0,?,28.0
?,?,256.0,?,?,?,6.0,?
?,?,?,2620.0,131.0,?,?,?
?,25.0,?,2620.0,131.0,?,24.0,102.0
7,?,?,?,?,?,24.0,74.0
7,50.0,?,10480.0,30.0,?,?,74.0
?,56.0,?,?,30.0,?,24.0,?
?,?,5240.0,?,?,?,24.0,136.0
7,?,?,?,?,?,?,?
?,50.0,?,?,?,?,?,29.0
7,?,?,?,?,1.0,?,44.0
8,50.0,?,4000.0,?,3.0,5.0,?
8,50.0,1000.0,?,?,?,5.0,41.0
8,?,?,16000.0,?,?,?,?
?,50.0,?,16000.0,8.0,?,?,?
8,?,?,?,8.0,?,6.0,74.0
?,133.0,?,?,9.0,?,12.0,?
?,133.0,1000.0,8000.0,9.0,?,?,41.0
9,?,?,?,8.0,1.0,1.0,18.0
?,810.0,?,?,0.0,?,1.0,28.0
9,320.0,512.0,?,4.0,1.0,5.0,36.0
?,200.0,512.0,?,?,1.0,8.0,?
?,?,?,?,0.0,1.0,1.0,34.0
10,?,?,?,?,?,?,19.0
10,?,1000.0,?,?,?,?,?
?,200.0,?,?,0.0,?,2.0,?
10,?,?,?,16.0,?,?,?
?,?,1000.0,12000.0,?,?,?,?
?,220.0,?,8000.0,16.0,1.0,2.0,?
?,?,?,?,?,?,4.0,34.0
?,?,256.0,?,0.0,?,4.0,34.0
11,800.0,?,?,?,?,4.0,?
11,?,256.0,?,0.0,1.0,?,?
?,?,256.0,?,?,1.0,?,?
12,?,?,?,0.0,8.0,20.0,19.0
?,75.0,?,8000.0,?,?,?,?
?,75.0,2000.0,16000.0,?,1.0,38.0,?
?,?,?,16000.0,128.0,?,?,?
?,90.0,?,?,0.0,?,10.0,?
14,?,256.0,2000.0,?,?,?,20.0
?,105.0,?,?,0.0,3.0,?,?
?,105.0,2000.0,?,8.0,3.0,?,?
?,?,2000.0,8000.0,?,?,?,?
?,75.0,3000.0,8000.0,8.0,?,?,?
?,175.0,?,2000.0,0.0,3.0,24.0,?
15,?,768.0,?,?,6.0,?,23.0
15,?,?,?,?,?,?,?
15,300.0,?,?,?,?,?,?
15,?,?,?,?,1.0,?,?
15,?,384.0,?,?,?,?,50.0
15,300.0,192.0,?,6.0,?,?,18.0
15,?,768.0,12000.0,6.0,?,?,?
16,?,?,3000.0,?,?,4.0,?
?,?,?,?,?,?,?,30.0
16,300.0,1000.0,?,?,?,?,?
?,?,?,2000.0,0.0,?,?,?
16,?,?,?,?,?,6.0,25.0
?,?,?,4000.0,?,?,?,?
?,?,?,?,0.0,?,?,29.0
16,140.0,2000.0,4000.0,?,?,20.0,?
?,?,2000.0,32000.0,32.0,?,?,175.0
16,140.0,?,8000.0,?,?,?,?
16,?,?,32000.0,?,1.0,54.0,?
?,?,2000.0,?,32.0,1.0,?,181.0
?,?,2000.0,?,?,?,20.0,32.0
?,?,?,?,?,?,?,82.0
?,?,4000.0,24000.0,?,12.0,?,171.0
?,?,16000.0,?,64.0,16.0,24.0,?
17,26.0,?,?,64.0,8.0,24.0,?
17,?,?,32000.0,?,8.0,?,?
?,?,?,16000.0,0.0,8.0,?,?
?,?,?,?,0.0,1.0,1.0,?
?,?,?,?,?,?,?,21.0
?,?,512.0,?,16.0,?,?,?
17,?,?,?,?,?,?,?
?,?,768.0,2000.0,0.0,1.0,1.0,?
?,?,768.0,2000.0,0.0,?,?,?
?,?,2000.0,?,?,1.0,?,?
?,400.0,4000.0,?,?,?,?,?
17,?,1000.0,?,0.0,?,?,?
?,900.0,512.0,?,?,?,?,?
?,?,?,?,4.0,?,?,26.0
?,900.0,?,4000.0,8.0,1.0,?,?
?,?,2000.0,4000.0,?,3.0,6.0,?
?,225.0,2000.0,?,?,3.0,6.0,31.0
?,225.0,?,4000.0,8.0,?,6.0,31.0
?,?,?,?,?,?,?,42.0
17,?,?,?,?,?,6.0,?
?,?,?,?,?,1.0,?,76.0
?,?,1000.0,4000.0,2.0,?,6.0,26.0
17,25.0,2000.0,?,8.0,1.0,4.0,?
?,?,?,?,?,3.0,?,?
17,17.0,4000.0,16000.0,8.0,?,?,?
?,?,?,16000.0,32.0,6.0,?,?
?,?,?,?,?,?,0.0,?
17,1500.0,?,?,0.0,0.0,?,?
17,?,?,2000.0,?,?,?,?
?,50.0,?,?,?,3.0,6.0,30.0
?,?,?,?,8.0,?,6.0,44.0
?,?,2000.0,?,?,?,?,?
?,50.0,?,?,?,?,6.0,?
?,?,?,?,24.0,?,?,?
?,?,?,?,?,?,?,128.0
19,?,?,8000.0,?,?,?,?
19,?,1000.0,?,?,?,6.0,46.0
?,?,1000.0,?,?,?,6.0,?
?,50.0,?,16000.0,12.0,3.0,?,?
?,50.0,?,16000.0,?,6.0,?,?
?,?,?,16000.0,24.0,?,?,?
?,?,512.0,?,?,8.0,?,?
?,?,?,?,16.0,1.0,3.0,46.0
?,115.0,?,?,2.0,1.0,5.0,?
?,?,?,?,32.0,?,?,53.0
21,92.0,2000.0,8000.0,32.0,1.0,6.0,?
?,?,?,?,4.0,1.0,6.0,?
?,?,4000.0,?,16.0,1.0,6.0,86.0
21,60.0,?,16000.0,?,?,?,?
?,60.0,2000.0,16000.0,?,?,8.0,?
?,60.0,?,16000.0,?,?,?,117.0
21,?,?,?,64.0,5.0,10.0,?
?,?,4000.0,?,64.0,?,16.0,?
?,?,?,8000.0,?,6.0,?,48.0
21,?,8000.0,?,32.0,8.0,?,?
?,40.0,8000.0,32000.0,?,?,24.0,266.0
?,?,?,32000.0,?,?,?,270.0
?,38.0,?,?,?,?,32.0,426.0
21,48.0,?,24000.0,32.0,8.0,24.0,?
?,?,?,32000.0,64.0,?,?,267.0
21,30.0,16000.0,?,256.0,16.0,?,603.0
?,?,?,?,?,?,?,?
?,?,1000.0,?,0.0,?,6.0,21.0
22,56.0,?,4000.0,0.0,?,6.0,26.0
22,?,?,?,0.0,?,8.0,?
22,56.0,?,8000.0,?,?,?,?
?,56.0,4000.0,8000.0,?,1.0,8.0,47.0
?,56.0,4000.0,12000.0,0.0,1.0,8.0,?
?,56.0,4000.0,?,0.0,1.0,?,?
22,?,?,?,?,16.0,?,?
22,38.0,4000.0,?,?,16.0,32.0,?
?,?,8000.0,16000.0,?,4.0,8.0,?
?,?,8000.0,?,?,4.0,8.0,?
22,?,?,?,?,?,32.0,?
?,200.0,?,?,0.0,?,2.0,?
23,200.0,?,4000.0,0.0,1.0,?,?
?,200.0,?,?,?,1.0,?,67.0
24,250.0,512.0,?,?,?,?,24.0
24,250.0,?,4000.0,?,?,7.0,?
24,?,?,16000.0,1.0,?,8.0,64.0
25,160.0,512.0,?,?,?,?,?
25,?,?,?,2.0,?,?,?
?,?,1000.0,?,?,?,14.0,?
?,?,1000.0,?,16.0,?,?,?
?,?,?,?,?,?,?,53.0
?,240.0,512.0,?,?,?,?,?
?,?,?,?,8.0,?,5.0,22.0
?,105.0,?,4000.0,8.0,3.0,?,?
?,105.0,2000.0,6000.0,?,6.0,16.0,?
26,105.0,?,8000.0,?,?,?,?
?,52.0,4000.0,?,?,?,?,99.0
?,70.0,4000.0,?,?,?,?,?
?,59.0,?,12000.0,?,?,12.0,?
?,?,?,16000.0,?,?,24.0,?
?,?,8000.0,24000.0,?,?,?,?
26,26.0,8000.0,32000.0,64.0,?,?,?
?,26.0,?,32000.0,?,?,32.0,382.0
?,116.0,?,?,?,?,28.0,56.0
?,?,2000.0,?,24.0,?,26.0,?
?,?,?,?,?,?,?,?
?,50.0,2000.0,?,?,?,?,?
?,?,4000.0,?,112.0,?,?,?
?,?,8000.0,?,?,?,176.0,?
27,30.0,?,?,128.0,?,176.0,?
?,?,?,?,?,?,?,24.0
?,?,?,?,0.0,1.0,?,24.0
?,180.0,262.0,?,?,1.0,?,?
?,180.0,512.0,?,0.0,1.0,?,24.0
?,124.0,?,?,0.0,?,?,?
27,?,?,8000.0,32.0,?,8.0,?
?,?,?,?,?,?,?,41.0
29,?,512.0,?,?,?,?,?
?,?,?,?,?,0.0,0.0,?
