@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

0,?,256.0,6000.0,?,16.0,?,?
1,?,8000.0,?,?,8.0,?,253.0
?,?,?,32000.0,32.0,?,?,?
?,29.0,?,32000.0,32.0,?,32.0,253.0
1,29.0,?,?,?,8.0,16.0,?
1,?,8000.0,32000.0,64.0,?,32.0,?
1,23.0,16000.0,32000.0,64.0,?,?,381.0
1,23.0,16000.0,?,64.0,16.0,32.0,381.0
?,23.0,?,?,?,?,?,749.0
?,?,?,?,?,?,?,?
2,?,?,?,?,?,?,23.0
2,?,?,?,?,?,?,24.0
?,60.0,?,8000.0,65.0,1.0,?,?
3,?,?,16000.0,65.0,?,?,117.0
?,?,?,64.0,0.0,?,?,?
4,?,512.0,?,?,?,?,?
5,?,?,2000.0,8.0,4.0,15.0,?
5,143.0,?,?,0.0,?,32.0,?
?,143.0,1000.0,2000.0,?,?,16.0,22.0
5,?,?,?,142.0,8.0,64.0,?
?,143.0,?,6300.0,0.0,5.0,?,?
5,?,3100.0,?,0.0,?,?,?
?,?,2300.0,6200.0,0.0,?,?,?
?,?,3100.0,?,0.0,?,?,?
6,?,?,?,0.0,1.0,?,28.0
?,?,?,2000.0,?,?,?,21.0
?,?,256.0,6000.0,0.0,?,6.0,?
?,320.0,?,?,?,1.0,?,?
?,?,?,?,?,?,5.0,28.0
?,?,256.0,?,?,?,6.0,?
7,25.0,1310.0,?,131.0,12.0,?,?
?,25.0,?,2620.0,?,?,?,?
?,?,?,10480.0,?,?,?,74.0
7,50.0,2620.0,10480.0,?,?,?,?
7,?,5240.0,?,?,12.0,?,?
?,?,?,?,?,?,?,136.0
?,?,?,?,?,?,4.0,?
7,?,1000.0,?,8.0,?,?,?
?,?,?,?,?,?,?,44.0
?,?,?,4000.0,?,?,?,30.0
8,?,1000.0,?,?,3.0,?,41.0
?,?,2000.0,?,?,?,5.0,?
8,?,2000.0,16000.0,8.0,?,6.0,?
?,?,?,16000.0,8.0,?,?,74.0
9,?,1000.0,12000.0,?,?,?,?
?,133.0,?,8000.0,?,?,12.0,?
9,?,?,?,?,?,?,?
9,?,?,5000.0,0.0,1.0,1.0,?
9,?,?,?,?,?,5.0,?
?,?,?,?,?,?,?,?
10,700.0,384.0,?,?,?,?,34.0
10,700.0,?,?,?,?,1.0,?
?,140.0,?,?,?,1.0,?,72.0
10,?,?,?,?,1.0,2.0,36.0
?,110.0,?,4000.0,?,?,2.0,?
?,110.0,1000.0,?,?,1.0,?,?
10,?,?,?,?,1.0,2.0,?
?,?,?,8000.0,?,?,?,34.0
11,?,256.0,?,?,1.0,?,34.0
?,800.0,?,8000.0,0.0,?,?,34.0
11,?,256.0,8000.0,0.0,?,?,34.0
11,800.0,?,?,?,?,?,?
?,?,512.0,?,0.0,?,?,19.0
?,?,2000.0,?,64.0,1.0,38.0,?
13,?,2000.0,?,?,?,38.0,?
13,?,?,?,?,?,?,?
?,?,?,?,?,3.0,?,?
14,?,256.0,?,?,?,?,20.0
14,?,1000.0,?,?,?,24.0,?
?,?,2000.0,?,?,?,?,?
?,75.0,?,?,?,3.0,?,47.0
14,75.0,3000.0,8000.0,?,?,48.0,54.0
?,175.0,256.0,?,0.0,?,24.0,?
?,300.0,768.0,?,0.0,?,?,23.0
?,?,768.0,?,6.0,?,24.0,25.0
15,?,?,12000.0,6.0,?,?,?
?,?,?,?,?,?,?,27.0
?,?,?,12000.0,6.0,?,?,?
?,300.0,?,768.0,6.0,?,24.0,18.0
?,180.0,?,12000.0,6.0,1.0,31.0,53.0
16,330.0,?,?,0.0,?,4.0,?
?,300.0,?,4000.0,?,?,64.0,30.0
16,300.0,?,16000.0,?,2.0,112.0,73.0
16,?,?,?,?,?,?,?
?,?,?,4000.0,0.0,?,?,?
16,?,?,?,0.0,?,6.0,28.0
?,?,2000.0,4000.0,?,?,8.0,?
?,?,?,?,8.0,1.0,20.0,32.0
?,140.0,2000.0,?,32.0,?,20.0,175.0
