@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,?,256.0,6000.0,256.0,?,?,199.0
1,?,?,?,32.0,8.0,32.0,253.0
1,29.0,?,?,32.0,8.0,?,253.0
?,29.0,8000.0,?,32.0,8.0,?,253.0
1,29.0,?,?,32.0,?,16.0,132.0
1,26.0,?,?,64.0,?,32.0,290.0
1,23.0,16000.0,32000.0,?,16.0,32.0,?
?,?,?,32000.0,64.0,?,32.0,?
?,23.0,?,?,64.0,16.0,?,?
?,23.0,?,64000.0,?,32.0,64.0,?
?,400.0,1000.0,3000.0,0.0,?,2.0,23.0
2,400.0,512.0,3500.0,?,?,?,24.0
?,60.0,?,?,?,1.0,8.0,70.0
?,?,4000.0,?,65.0,?,?,?
4,?,?,?,?,?,4.0,?
?,200.0,512.0,16000.0,?,?,?,?
5,?,?,?,8.0,?,?,23.0
5,?,?,5000.0,?,?,?,29.0
5,?,?,2000.0,0.0,?,?,?
5,110.0,5000.0,?,?,8.0,?,124.0
?,?,?,?,0.0,?,?,?
5,?,3100.0,6200.0,?,?,20.0,?
5,?,2300.0,6200.0,0.0,6.0,?,?
?,?,?,?,0.0,6.0,?,45.0
?,?,?,?,0.0,?,?,?
?,?,?,?,?,?,3.0,?
?,320.0,?,?,?,1.0,6.0,?
?,?,?,?,?,?,?,?
?,?,512.0,5000.0,4.0,1.0,?,?
?,?,256.0,5000.0,?,1.0,6.0,?
?,25.0,?,?,?,12.0,?,?
?,?,?,?,?,?,24.0,102.0
?,?,2620.0,10480.0,?,?,?,?
7,?,2620.0,10480.0,?,?,24.0,?
7,56.0,?,20970.0,?,?,24.0,?
?,?,5240.0,?,?,?,24.0,136.0
?,?,?,?,8.0,1.0,4.0,23.0
7,?,1000.0,4000.0,8.0,1.0,?,?
?,?,2000.0,8000.0,?,1.0,?,44.0
8,50.0,?,?,?,3.0,?,30.0
?,?,?,?,?,?,?,41.0
8,?,?,?,?,?,5.0,?
?,50.0,?,?,8.0,3.0,?,?
8,?,?,16000.0,8.0,?,6.0,?
?,?,?,?,?,?,?,?
?,133.0,?,8000.0,9.0,?,?,41.0
?,?,?,512.0,?,1.0,?,?
?,810.0,1000.0,5000.0,?,?,?,?
?,?,512.0,?,?,?,?,36.0
9,?,512.0,?,8.0,?,8.0,?
10,?,?,?,0.0,1.0,1.0,?
10,700.0,?,?,0.0,1.0,1.0,19.0
?,140.0,?,16000.0,?,1.0,?,72.0
?,?,?,8000.0,0.0,1.0,2.0,?
?,110.0,?,4000.0,?,?,?,?
?,?,1000.0,12000.0,16.0,1.0,?,?
?,?,?,?,?,?,?,?
11,800.0,256.0,8000.0,0.0,?,4.0,?
?,?,?,?,?,?,?,?
?,800.0,?,8000.0,?,1.0,4.0,?
?,?,?,?,?,?,?,?
11,?,256.0,?,0.0,?,4.0,?
?,125.0,?,1000.0,?,8.0,?,?
