@relation dataset

@attribute vendor {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,?,?,?,?,?,199.0
1,29.0,8000.0,?,32.0,8.0,32.0,?
1,?,?,32000.0,?,?,?,253.0
1,29.0,?,?,?,8.0,?,?
1,?,8000.0,16000.0,?,8.0,16.0,132.0
1,26.0,8000.0,32000.0,?,?,?,290.0
1,?,16000.0,32000.0,?,16.0,?,381.0
?,23.0,?,32000.0,?,16.0,?,?
?,?,?,64000.0,?,?,32.0,749.0
1,23.0,32000.0,?,?,?,64.0,1238.0
?,400.0,1000.0,?,?,1.0,?,23.0
2,400.0,?,3500.0,?,?,?,?
?,?,?,?,?,?,?,70.0
?,50.0,?,16000.0,65.0,?,?,117.0
?,?,?,?,?,?,4.0,?
?,200.0,512.0,?,?,?,?,?
?,167.0,?,?,?,?,15.0,?
?,?,?,?,0.0,7.0,?,29.0
?,?,?,?,0.0,?,16.0,?
5,110.0,?,5000.0,142.0,?,?,124.0
5,143.0,?,6300.0,?,5.0,?,?
?,143.0,3100.0,?,?,?,20.0,39.0
5,?,2300.0,6200.0,?,?,64.0,?
5,?,3100.0,6200.0,?,6.0,?,?
?,?,?,?,?,1.0,?,28.0
?,?,?,?,?,?,3.0,?
?,?,256.0,?,0.0,?,?,28.0
?,?,?,3000.0,4.0,1.0,3.0,22.0
6,320.0,?,?,?,?,5.0,?
?,?,?,5000.0,?,?,?,?
?,25.0,?,?,?,?,?,?
?,?,1310.0,?,131.0,?,?,?
7,?,?,10480.0,?,12.0,24.0,74.0
7,50.0,?,10480.0,30.0,12.0,?,?
?,56.0,5240.0,?,?,?,?,138.0
7,64.0,?,?,?,?,?,?
?,?,500.0,2000.0,8.0,1.0,?,23.0
?,?,?,?,8.0,1.0,?,?
?,50.0,2000.0,8000.0,8.0,?,?,44.0
?,50.0,?,4000.0,8.0,3.0,5.0,30.0
?,50.0,?,?,8.0,?,?,?
?,?,2000.0,16000.0,8.0,3.0,?,74.0
?,50.0,?,16000.0,8.0,?,?,?
8,?,?,?,?,?,?,?
?,133.0,1000.0,?,9.0,?,12.0,54.0
?,?,?,8000.0,?,3.0,12.0,?
?,?,512.0,?,8.0,?,1.0,?
9,810.0,?,5000.0,0.0,1.0,?,28.0
9,320.0,512.0,8000.0,?,1.0,?,?
?,200.0,512.0,?,8.0,1.0,8.0,38.0
?,?,384.0,?,?,?,1.0,34.0
10,?,256.0,?,?,1.0,?,19.0
10,140.0,1000.0,?,?,?,?,?
?,?,?,?,?,?,2.0,?
10,?,?,?,?,?,?,?
10,?,?,?,16.0,1.0,?,56.0
?,?,?,?,16.0,?,?,?
?,?,256.0,8000.0,?,?,4.0,?
11,800.0,?,8000.0,0.0,?,?,?
?,800.0,256.0,?,0.0,1.0,4.0,?
11,800.0,?,8000.0,?,?,4.0,?
11,?,?,8000.0,0.0,1.0,4.0,34.0
?,125.0,?,1000.0,?,?,?,?
13,?,?,?,64.0,1.0,?,75.0
?,?,?,?,?,?,?,113.0
13,?,?,?,?,?,38.0,?
14,?,?,?,?,3.0,10.0,18.0
14,?,256.0,2000.0,?,3.0,?,20.0
?,105.0,?,?,?,?,?,28.0
?,?,?,?,8.0,?,19.0,?
?,75.0,?,8000.0,8.0,?,?,47.0
?,?,3000.0,8000.0,?,3.0,?,54.0
14,?,256.0,2000.0,0.0,3.0,?,?
?,?,768.0,?,?,?,?,?
?,300.0,?,3000.0,?,?,?,25.0
?,300.0,?,12000.0,?,6.0,24.0,52.0
15,300.0,?,4500.0,?,?,?,?
?,?,?,?,?,?,24.0,?
?,300.0,?,?,6.0,?,?,18.0
?,180.0,768.0,?,?,1.0,31.0,53.0
?,330.0,?,3000.0,0.0,?,4.0,23.0
?,300.0,1000.0,4000.0,?,?,?,?
?,?,1000.0,?,8.0,?,112.0,?
16,?,?,?,0.0,?,2.0,?
?,?,1000.0,4000.0,?,?,?,25.0
?,?,2000.0,?,0.0,?,?,?
?,?,?,?,?,4.0,8.0,?
16,?,2000.0,4000.0,8.0,1.0,?,?
?,140.0,2000.0,?,32.0,?,?,175.0
16,?,2000.0,?,?,?,?,?
16,?,2000.0,32000.0,?,?,?,?
?,?,?,?,32.0,?,?,?
?,?,2000.0,?,?,?,20.0,?
17,?,?,?,?,6.0,?,?
?,?,?,?,?,12.0,?,171.0
?,26.0,?,?,?,?,?,361.0
?,26.0,?,32000.0,?,?,?,?
?,?,?,?,0.0,?,?,220.0
?,?,?,?,0.0,?,?,113.0
17,?,?,?,?,?,1.0,?
17,?,1000.0,2000.0,?,?,?,?
?,?,512.0,?,16.0,?,?,?
?,1100.0,?,?,0.0,?,1.0,?
?,1100.0,768.0,?,?,?,1.0,20.0
?,600.0,768.0,?,0.0,1.0,1.0,20.0
?,?,2000.0,?,?,?,1.0,28.0
?,400.0,?,8000.0,?,1.0,1.0,?
?,900.0,?,?,?,1.0,?,?
?,?,?,?,?,?,?,?
17,900.0,?,?,?,?,?,?
?,?,?,4000.0,?,?,?,?
?,?,?,4000.0,0.0,3.0,6.0,?
17,?,?,?,?,3.0,?,?
?,?,?,?,8.0,?,?,?
?,180.0,?,8000.0,?,1.0,?,42.0
?,?,2000.0,?,?,?,?,76.0
17,180.0,2000.0,16000.0,16.0,?,?,?
?,225.0,1000.0,?,?,?,6.0,26.0
?,?,2000.0,?,8.0,1.0,?,59.0
?,?,?,?,16.0,3.0,?,65.0
17,?,4000.0,?,8.0,?,12.0,?
17,?,4000.0,?,?,?,?,?
?,?,?,?,0.0,?,?,?
?,1500.0,768.0,?,0.0,?,?,?
?,?,768.0,?,0.0,0.0,?,?
18,?,?,4000.0,?,?,6.0,?
18,50.0,?,8000.0,?,3.0,6.0,?
?,50.0,?,?,?,?,?,?
18,?,?,16000.0,24.0,1.0,6.0,?
18,50.0,?,16000.0,?,1.0,6.0,?
?,?,?,16000.0,48.0,1.0,?,128.0
19,100.0,?,?,?,?,6.0,?
?,?,1000.0,8000.0,24.0,2.0,?,46.0
?,?,?,8000.0,24.0,?,6.0,46.0
?,50.0,2000.0,16000.0,12.0,?,?,?
19,50.0,2000.0,16000.0,24.0,6.0,?,88.0
19,?,2000.0,?,24.0,6.0,?,88.0
?,?,?,?,?,?,128.0,?
?,115.0,2000.0,8000.0,16.0,?,?,?
?,?,2000.0,?,?,?,?,29.0
?,92.0,2000.0,8000.0,32.0,1.0,?,?
21,?,?,?,32.0,1.0,6.0,?
?,92.0,2000.0,?,?,1.0,?,?
?,?,4000.0,16000.0,16.0,1.0,6.0,?
21,60.0,?,16000.0,?,1.0,?,?
?,60.0,?,?,?,?,8.0,?
21,?,?,?,64.0,?,?,117.0
21,?,?,?,64.0,5.0,10.0,119.0
?,?,4000.0,?,?,?,16.0,?
21,72.0,?,8000.0,16.0,6.0,?,48.0
?,?,8000.0,16000.0,32.0,?,16.0,?
?,?,?,?,64.0,?,?,266.0
21,35.0,?,32000.0,?,?,?,?
?,?,16000.0,32000.0,?,16.0,?,426.0
?,?,4000.0,24000.0,32.0,8.0,?,?
?,38.0,?,32000.0,?,8.0,?,267.0
?,?,?,32000.0,256.0,16.0,?,?
22,?,?,?,0.0,?,?,19.0
?,?,1000.0,?,?,?,6.0,?
?,?,?,?,?,?,?,?
?,56.0,2000.0,?,0.0,?,?,?
22,56.0,?,?,?,1.0,?,41.0
?,?,?,8000.0,?,?,?,47.0
?,56.0,4000.0,?,?,1.0,?,62.0
?,?,?,16000.0,?,?,8.0,?
22,38.0,?,?,?,?,32.0,80.0
?,?,?,?,32.0,?,32.0,80.0
22,38.0,?,16000.0,64.0,4.0,?,?
?,38.0,?,?,?,?,?,?
?,38.0,4000.0,16000.0,?,?,?,?
?,200.0,1000.0,?,0.0,?,?,?
23,200.0,1000.0,4000.0,?,?,?,25.0
23,?,2000.0,?,?,?,5.0,?
?,?,512.0,4000.0,?,?,7.0,?
?,?,?,4000.0,0.0,?,7.0,?
?,?,?,?,?,?,?,?
25,160.0,?,?,?,1.0,5.0,25.0
?,160.0,?,?,2.0,?,8.0,?
25,?,1000.0,?,?,?,?,?
?,?,?,8000.0,16.0,?,?,?
25,160.0,2000.0,8000.0,32.0,?,?,53.0
?,240.0,?,?,?,?,?,19.0
?,?,?,?,?,1.0,?,22.0
26,105.0,?,?,8.0,3.0,?,31.0
?,105.0,?,?,?,?,?,?
26,105.0,?,8000.0,16.0,4.0,?,?
26,?,?,16000.0,32.0,?,?,?
?,?,4000.0,?,8.0,?,8.0,?
?,?,?,?,32.0,6.0,?,81.0
26,?,?,?,64.0,?,24.0,?
26,?,?,24000.0,?,8.0,?,?
26,?,8000.0,?,?,?,?,275.0
?,?,?,?,128.0,?,32.0,382.0
?,?,?,8000.0,32.0,?,28.0,56.0
27,50.0,2000.0,?,24.0,6.0,?,?
27,?,?,?,?,26.0,?,?
?,?,?,32000.0,?,?,?,?
27,50.0,?,32000.0,?,52.0,104.0,?
27,?,?,64000.0,?,?,176.0,?
?,?,?,64000.0,128.0,?,?,?
?,?,?,?,0.0,?,?,24.0
27,?,?,?,?,?,3.0,?
?,180.0,262.0,?,0.0,?,?,24.0
27,?,512.0,?,?,?,?,24.0
27,?,1000.0,?,0.0,1.0,?,?
27,98.0,?,?,32.0,?,?,?
?,125.0,2000.0,?,?,2.0,14.0,?
?,480.0,?,?,?,?,0.0,?
?,?,?,?,0.0,?,?,25.0
