@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,?,1.676,?,1.0,1.453,3.77
2.189,?,0.863,0.0,0.0,?,?
?,?,0.831,?,?,1.348,3.531
3.027,?,1.472,1.0,0.0,1.807,?
?,0.827,0.86,?,0.0,1.886,?
?,0.331,2.177,?,0.0,?,?
?,0.0,?,0.0,0.0,2.942,?
?,?,0.938,?,?,?,?
2.62,0.499,0.99,0.0,?,2.942,4.402
2.834,?,0.95,?,?,1.591,3.021
?,0.134,0.843,?,?,1.769,3.21
2.728,?,0.953,?,?,?,?
?,?,0.929,1.0,?,?,?
?,0.134,?,?,0.0,?,?
2.819,?,?,?,?,0.981,?
2.126,0.251,?,0.0,?,0.143,?
2.834,0.134,?,?,?,1.199,?
?,?,?,0.0,?,?,?
?,?,?,?,?,?,?
?,?,1.205,?,?,1.807,3.733
?,0.972,?,?,3.0,?,2.976
?,?,1.103,?,?,?,6.535
?,?,0.923,?,0.0,4.068,?
3.315,0.223,0.96,?,?,3.395,4.629
2.71,?,?,?,0.0,2.526,?
?,?,?,?,1.0,3.112,?
?,0.134,1.294,?,0.0,2.51,?
3.896,0.134,1.984,0.0,?,?,?
3.155,?,2.128,?,0.0,?,1.102
2.479,0.887,?,?,?,1.748,?
?,1.161,0.865,?,1.0,0.024,?
3.645,?,?,?,0.0,2.837,3.393
3.079,?,?,0.0,?,?,?
?,?,1.519,?,?,?,3.554
2.726,?,?,?,?,?,?
?,?,1.11,0.0,0.0,2.813,4.165
4.216,?,1.248,?,?,?,5.896
3.605,?,?,0.0,0.0,?,?
2.918,?,?,?,?,?,4.59
?,?,?,?,?,?,?
?,0.223,?,?,0.0,?,?
?,0.223,?,?,0.0,?,?
?,0.64,?,1.0,?,?,?
?,?,?,?,?,?,?
4.413,?,?,?,2.0,?,7.899
3.641,0.331,?,0.0,?,?,?
?,?,1.851,0.0,?,?,4.016
?,0.223,?,0.0,?,?,?
3.818,?,1.627,?,2.0,2.217,?
?,?,?,0.0,2.0,?,?
?,0.223,?,?,?,2.642,?
?,?,1.374,?,?,?,?
2.126,0.977,0.771,?,0.0,?,?
?,?,0.764,?,?,2.296,?
3.179,?,?,?,0.0,?,?
2.62,0.499,?,?,0.0,?,?
?,?,?,0.0,?,?,?
?,0.83,?,0.0,?,?,?
2.216,?,?,?,?,2.127,?
?,0.64,0.838,0.0,0.0,?,?
?,0.134,?,?,?,1.859,2.827
2.126,0.405,?,?,?,?,6.38
3.08,?,1.609,?,?,1.619,?
1.636,0.64,?,?,0.0,0.408,3.861
2.219,0.604,?,?,?,?,3.262
?,?,1.333,?,0.0,?,6.297
1.818,?,1.468,?,0.0,1.672,3.546
1.5,?,?,?,?,1.817,?
1.512,?,?,?,?,?,3.203
?,?,?,?,?,?,?
1.818,0.134,1.445,0.0,0.0,?,1.559
?,0.134,1.13,?,?,?,3.47
0.667,?,?,?,0.0,?,?
2.333,?,?,?,?,-1.053,?
2.026,0.223,1.429,1.0,0.0,0.202,?
?,0.223,1.068,0.0,?,?,4.564
?,?,?,1.0,?,?,?
?,?,1.878,?,0.0,-1.053,?
1.0,?,?,?,?,-1.306,2.381
1.512,0.331,1.627,?,0.0,-0.386,2.891
3.219,0.405,1.605,?,?,?,?
3.74,0.134,?,0.0,?,2.274,3.721
?,?,1.374,0.0,?,?,?
3.57,1.374,2.259,0.0,?,2.05,6.083
?,0.134,1.671,?,0.0,?,?
?,?,?,?,?,1.869,?
?,?,1.6,?,1.0,?,1.842
2.242,1.096,?,0.0,?,?,3.396
?,0.749,?,?,?,?,?
2.126,?,?,1.0,?,0.479,?
?,?,1.583,0.0,?,1.442,2.271
3.277,0.223,?,?,?,?,?
3.179,0.0,1.063,?,?,2.942,3.822
?,0.223,?,?,?,?,3.29
?,0.499,0.99,?,0.0,?,?
?,?,?,?,?,?,3.979
2.834,?,?,?,0.0,1.859,3.47
2.359,?,0.814,?,0.0,0.893,?
?,?,1.987,?,2.0,0.057,4.031
?,1.079,?,?,?,4.063,?
?,?,?,0.0,0.0,3.045,?
2.91,?,?,?,0.0,?,?
2.512,0.134,?,0.0,?,?,?
?,0.499,?,0.0,0.0,?,3.645
?,?,1.385,?,0.0,1.195,?
?,0.223,?,?,?,?,?
?,?,?,?,0.0,?,?
2.512,0.134,?,?,?,0.846,?
?,?,1.478,?,?,?,?
?,?,2.261,?,?,-0.063,?
2.512,?,?,?,?,0.846,2.016
2.98,?,?,0.0,0.0,-0.063,1.651
?,?,1.717,0.0,?,2.06,?
?,?,1.559,0.0,?,?,?
2.755,0.405,1.844,0.0,?,?,3.231
?,0.977,?,0.0,?,?,?
2.609,0.604,?,0.0,?,?,?
2.878,?,?,?,?,?,?
1.961,?,1.215,1.0,?,?,?
2.665,?,?,0.0,?,-0.534,?
?,?,1.126,0.0,?,-0.786,?
?,?,2.111,?,?,?,2.156
?,?,2.606,?,?,-0.128,?
?,0.134,2.102,0.0,0.0,0.8,1.932
1.961,?,1.27,0.0,?,0.156,2.505
?,0.223,?,0.0,0.0,0.408,1.524
?,?,?,?,?,?,3.048
?,0.811,1.189,?,0.0,?,5.115
?,?,?,?,?,?,2.856
?,0.693,1.128,?,?,?,4.366
?,?,?,?,?,2.849,4.976
?,0.223,?,0.0,1.0,?,?
?,0.0,?,?,0.0,?,?
2.429,0.83,?,0.0,?,?,?
?,?,?,?,?,1.209,?
2.802,?,?,1.0,?,?,3.825
?,?,?,0.0,?,-0.226,3.206
2.709,0.331,2.072,?,?,?,?
2.701,0.405,?,0.0,?,?,?
3.252,?,1.417,?,?,?,3.299
?,?,?,?,0.0,?,?
?,?,2.451,?,?,?,?
?,?,?,?,?,?,3.168
?,?,1.562,0.0,?,?,3.446
3.014,0.56,1.987,?,?,?,?
3.181,0.604,1.52,0.0,?,?,?
?,0.134,1.614,?,0.0,1.587,?
?,0.223,1.633,0.0,?,1.587,?
?,?,1.5,?,?,?,?
3.277,?,?,?,?,?,5.47
?,?,?,?,?,?,1.842
?,0.56,1.965,?,?,?,0.15
3.277,0.486,1.343,?,?,2.604,?
3.566,?,?,?,0.0,?,?
?,?,?,?,?,?,?
?,0.223,?,0.0,?,1.94,3.507
?,?,?,?,?,?,3.979
3.596,0.604,1.515,?,?,?,5.363
?,?,?,?,?,?,?
?,?,1.599,?,0.0,3.186,3.984
3.199,0.56,?,0.0,?,-0.129,1.02
?,?,?,?,?,?,?
3.641,?,1.531,0.0,?,3.289,?
4.005,?,?,?,1.0,3.953,?
3.896,?,?,?,?,?,?
?,?,2.004,?,?,?,0.33
3.98,?,?,?,?,?,?
4.114,0.223,1.571,0.0,0.0,4.098,?
4.237,?,?,0.0,?,4.379,?
?,?,1.458,2.0,?,5.579,?
?,?,?,0.0,?,?,?
?,0.764,?,?,1.0,?,?
3.461,?,?,?,?,2.813,4.416
?,0.496,1.077,?,?,1.697,3.537
?,0.638,?,0.0,?,1.57,?
?,0.223,1.245,0.0,?,1.064,1.408
?,?,?,?,0.0,?,?
2.572,1.834,?,0.0,2.0,?,?
?,?,?,0.0,?,5.149,5.861
?,?,1.17,?,0.0,4.789,5.574
3.358,1.348,?,?,?,?,?
2.96,0.88,1.53,1.0,?,?,5.244
?,?,?,?,2.0,5.426,?
?,0.56,0.927,0.0,?,?,?
?,0.56,1.168,?,?,?,3.924
?,?,0.917,0.0,0.0,5.207,6.379
?,?,0.595,?,?,?,?
?,1.075,0.951,?,0.0,?,4.96
2.508,?,?,?,?,?,3.766
2.222,?,?,?,0.0,?,3.641
?,?,0.849,?,?,3.587,?
?,?,?,?,0.0,?,?
1.965,?,?,?,0.0,2.736,?
?,?,?,0.0,?,?,?
3.452,0.331,1.476,1.0,?,2.402,?
4.288,?,?,0.0,?,4.295,?
?,0.405,0.814,?,0.0,0.893,?
?,?,?,?,?,?,?
1.962,0.934,?,0.0,?,2.729,4.296
?,?,1.298,?,?,1.976,?
2.377,?,?,?,?,2.239,?
?,?,?,?,?,1.239,3.278
2.777,0.56,1.127,?,0.0,?,3.118
2.218,?,?,0.0,0.0,?,?
?,0.134,?,?,?,?,?
?,?,?,?,0.0,2.509,3.933
3.459,1.47,1.483,0.0,?,0.491,?
?,1.211,2.254,0.0,?,1.401,4.305
?,0.889,?,?,?,1.969,3.927
?,?,?,1.0,?,2.723,4.35
?,?,?,?,0.0,1.919,4.809
?,?,?,0.0,0.0,?,4.499
?,?,0.988,?,0.0,?,?
2.961,?,1.189,0.0,?,1.312,2.604
?,?,?,?,?,2.129,?
?,0.223,?,0.0,?,?,?
?,?,?,?,0.0,1.49,2.93
3.08,?,?,?,0.0,?,?
3.281,?,?,?,?,1.121,3.095
?,0.405,?,?,?,0.893,?
?,?,?,?,?,?,?
2.507,?,1.5,0.0,2.0,?,?
?,?,?,?,?,2.06,4.208
?,?,?,1.0,?,?,?
3.026,0.405,?,?,1.0,?,?
2.429,0.405,?,?,0.0,?,?
2.836,?,?,0.0,?,0.434,?
4.285,?,?,0.0,0.0,?,?
?,0.872,?,?,?,-1.186,2.732
4.077,0.956,?,?,?,3.234,4.448
?,?,1.312,?,?,0.749,?
2.034,?,?,0.0,0.0,0.8,2.586
2.034,?,?,0.0,1.0,0.133,?
1.667,?,?,?,?,?,3.955
2.283,?,?,?,?,1.112,?
3.164,0.223,?,?,0.0,?,3.112
3.03,?,?,0.0,2.0,?,?
?,0.872,?,?,?,0.202,?
?,?,1.248,?,0.0,?,5.78
?,0.923,?,?,1.0,0.982,?
?,0.56,?,0.0,?,3.048,?
?,?,1.264,0.0,0.0,1.971,?
?,?,1.316,?,2.0,?,?
?,1.292,?,?,?,?,?
?,?,0.847,0.0,?,?,?
?,?,?,?,?,5.206,?
?,?,1.346,?,2.0,1.821,6.351
2.164,1.437,1.227,?,2.0,?,?
?,0.638,0.889,?,?,?,?
?,?,1.087,?,?,2.294,?
?,?,?,?,1.0,?,?
?,0.827,1.079,?,0.0,1.155,5.478
?,0.223,?,0.0,?,2.637,?
2.374,?,?,?,1.0,?,?
?,?,1.325,?,?,0.454,?
