@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,?,?,?,1.0,?,3.77
2.189,0.58,?,0.0,0.0,1.348,?
2.125,0.638,0.831,?,0.0,?,?
3.027,?,1.472,?,0.0,?,?
2.094,?,0.86,?,0.0,?,5.39
3.222,0.331,2.177,0.0,0.0,0.706,1.819
3.179,0.0,1.063,0.0,?,?,3.947
3.0,?,?,?,?,2.851,?
2.62,?,?,?,?,2.942,?
?,?,?,0.0,0.0,1.591,?
?,0.134,0.843,?,0.0,1.769,?
?,?,0.953,?,?,?,2.371
2.512,?,0.929,1.0,0.0,1.769,3.919
?,?,1.237,?,0.0,?,3.03
?,?,?,?,1.0,?,?
?,?,?,?,0.0,0.143,?
?,?,?,?,0.0,1.199,2.413
3.014,?,?,?,?,?,?
?,0.452,?,?,?,?,?
3.036,0.405,1.205,?,0.0,1.807,?
?,0.972,?,?,?,?,?
2.978,?,?,0.0,?,3.988,6.535
3.111,?,0.923,0.0,0.0,?,?
?,?,0.96,?,?,?,?
2.71,?,?,?,?,?,4.838
?,?,?,?,1.0,?,?
?,?,?,?,?,2.51,?
3.896,?,1.984,0.0,?,?,?
?,?,2.128,0.0,?,?,?
2.479,?,0.954,0.0,?,1.748,4.257
?,?,0.865,0.0,1.0,0.024,?
?,?,1.155,?,?,?,?
3.079,?,?,0.0,0.0,-0.521,1.308
?,?,?,?,?,2.242,?
2.726,0.496,?,?,1.0,?,?
?,?,1.11,0.0,?,2.813,?
4.216,?,1.248,0.0,0.0,?,?
?,?,1.15,?,0.0,3.562,4.829
2.918,0.223,?,?,0.0,?,?
3.833,0.405,?,?,?,?,?
3.669,0.223,?,?,?,?,3.665
?,0.223,?,?,?,?,?
?,?,0.92,1.0,?,?,?
?,?,1.344,0.0,?,1.533,?
?,0.56,1.17,1.0,?,?,?
?,0.331,1.933,0.0,?,?,?
?,?,?,?,2.0,0.787,4.016
3.012,0.223,?,0.0,?,?,?
3.818,?,?,2.0,?,2.217,?
4.171,0.693,?,?,?,2.849,4.851
3.734,0.223,?,2.0,1.0,2.642,3.84
?,0.223,1.374,2.0,?,?,4.586
?,0.977,?,0.0,?,?,?
2.216,?,?,?,?,?,3.559
?,0.0,?,0.0,?,?,?
?,?,?,?,?,3.21,?
?,?,?,0.0,?,1.859,3.755
2.126,0.83,?,?,0.0,?,?
?,?,?,?,?,?,?
?,?,?,?,?,?,4.459
?,0.134,?,0.0,?,1.859,?
?,0.405,0.917,4.0,?,0.411,?
3.08,0.405,?,1.0,?,1.619,4.786
1.636,?,?,?,?,?,?
?,?,?,0.0,?,?,?
?,?,?,?,?,?,?
?,0.499,1.468,?,?,?,?
1.5,0.83,1.891,0.0,?,1.817,?
1.512,?,?,?,0.0,?,?
2.56,?,?,?,0.0,0.347,?
1.818,?,?,?,?,0.202,?
?,0.134,?,1.0,?,?,3.47
?,0.582,?,?,?,?,4.748
