@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,1.676,?,?,?,?
?,?,?,0.0,0.0,?,3.115
2.125,0.638,0.831,?,?,1.348,?
3.027,?,1.472,?,?,1.807,3.51
2.094,?,0.86,0.0,0.0,1.886,5.39
3.222,0.331,?,?,0.0,0.706,1.819
3.179,0.0,1.063,0.0,?,?,?
3.0,?,?,?,?,?,?
?,0.499,0.99,?,0.0,2.942,4.402
2.834,?,?,?,0.0,?,?
2.405,?,?,0.0,0.0,?,3.21
?,?,?,?,?,1.591,?
?,0.223,?,?,0.0,?,?
?,?,?,?,?,1.859,3.03
2.819,0.331,?,?,?,?,2.736
?,?,?,?,?,0.143,2.157
?,0.134,1.322,0.0,0.0,?,?
?,?,?,?,0.0,?,?
?,0.452,2.698,?,?,?,?
?,0.405,?,?,?,?,3.733
?,?,1.889,0.0,?,-1.169,?
?,?,?,0.0,1.0,3.988,?
?,?,?,0.0,0.0,4.068,?
?,?,?,?,0.0,?,4.629
2.71,0.93,0.724,0.0,0.0,2.526,?
?,?,?,?,?,3.112,?
3.332,?,?,0.0,0.0,?,3.436
3.896,?,1.984,?,?,?,3.45
?,0.638,2.128,?,?,?,1.102
?,?,0.954,0.0,?,1.748,?
?,1.161,?,?,?,0.024,?
?,0.223,1.155,0.0,?,2.837,?
?,?,2.135,?,0.0,?,?
?,?,?,?,?,2.242,?
?,0.496,?,?,?,?,2.269
?,?,?,?,?,2.813,?
?,0.223,1.248,0.0,?,?,5.896
?,?,?,?,0.0,?,?
?,?,0.944,?,0.0,?,?
3.833,?,?,?,1.0,?,?
3.669,?,?,?,?,?,3.665
?,?,1.0,1.0,0.0,?,3.56
?,?,?,?,0.0,2.37,?
?,?,1.344,0.0,?,1.533,?
?,0.56,?,?,?,?,?
3.641,?,1.933,0.0,1.0,?,2.67
3.073,?,?,?,2.0,?,?
?,0.223,?,0.0,?,?,?
3.818,?,1.627,?,?,2.217,5.522
?,?,?,?,2.0,2.849,?
3.734,?,?,2.0,?,?,?
?,0.223,1.374,?,?,?,4.586
?,?,0.771,?,0.0,?,?
2.216,?,?,?,?,?,?
3.179,?,1.063,?,0.0,2.942,?
2.62,0.499,?,?,?,3.21,?
2.728,?,0.953,?,?,1.859,?
?,?,?,0.0,0.0,3.478,?
2.216,?,?,?,?,?,?
?,?,0.838,0.0,?,2.127,?
2.834,?,0.95,?,0.0,?,?
?,0.405,?,4.0,2.0,0.411,?
?,0.405,?,1.0,?,?,?
1.636,?,1.695,?,?,?,3.861
?,0.604,?,?,?,?,?
1.594,?,?,?,?,0.094,6.297
?,0.499,?,?,0.0,1.672,?
1.5,?,1.891,0.0,0.0,?,2.92
?,0.64,?,?,?,0.347,3.203
?,?,?,0.0,0.0,?,2.283
?,0.134,1.445,0.0,0.0,?,?
1.359,?,?,1.0,0.0,0.094,?
?,0.582,?,?,?,?,?
2.333,?,1.946,0.0,0.0,?,?
?,0.223,1.429,?,?,?,?
1.594,?,?,?,?,?,?
0.965,?,?,?,?,0.202,?
?,?,?,?,?,?,0.053
?,0.405,?,2.0,?,-1.306,2.381
1.512,?,?,1.0,0.0,-0.386,2.891
3.219,0.405,1.605,0.0,0.0,0.706,1.088
?,0.134,1.581,0.0,0.0,2.274,?
?,?,?,?,?,?,3.701
3.57,?,2.259,?,?,?,6.083
?,0.134,?,0.0,?,6.203,4.628
?,0.405,?,1.0,?,?,?
2.802,0.223,?,0.0,?,?,?
?,1.096,?,?,?,?,?
?,0.749,?,?,?,1.492,?
2.126,?,?,1.0,?,?,?
3.08,?,1.583,?,1.0,1.442,?
?,?,?,?,?,?,?
?,0.0,?,0.0,0.0,?,3.822
?,?,?,?,?,?,3.29
?,0.499,?,?,?,?,?
?,?,0.839,0.0,?,?,?
2.834,?,?,?,?,?,?
2.359,?,?,?,?,?,3.314
?,?,1.987,?,2.0,0.057,?
