@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,?,1.676,?,?,1.453,?
2.189,?,?,0.0,0.0,1.348,3.115
2.125,0.638,0.831,?,?,1.348,?
3.027,?,1.472,?,?,?,3.51
2.094,?,0.86,0.0,?,1.886,?
?,?,?,0.0,?,?,1.819
3.179,?,1.063,?,0.0,?,?
?,0.0,0.938,1.0,0.0,?,?
2.62,?,0.99,?,0.0,?,?
2.834,?,?,0.0,0.0,1.591,?
2.405,?,?,?,0.0,1.769,3.21
?,0.223,0.953,0.0,?,?,?
2.512,0.223,0.929,1.0,0.0,?,?
?,0.134,1.237,0.0,?,1.859,?
2.819,0.331,?,0.0,1.0,0.981,?
2.126,?,1.114,?,?,?,2.157
2.834,?,1.322,0.0,0.0,?,2.413
?,0.56,?,?,?,-0.115,?
3.024,0.452,?,?,?,1.107,?
3.036,?,1.205,1.0,0.0,?,?
2.707,?,1.889,0.0,?,?,2.976
?,1.246,?,?,?,?,?
3.111,?,?,?,?,?,5.643
?,?,?,0.0,?,?,4.629
2.71,?,?,?,?,?,4.838
3.326,?,?,?,1.0,?,4.081
3.332,0.134,1.294,?,0.0,?,?
?,?,?,0.0,?,?,?
?,0.638,?,?,?,?,1.102
?,?,0.954,?,?,?,?
1.075,1.161,?,0.0,?,?,?
3.645,?,1.155,?,0.0,2.837,?
?,?,?,0.0,?,-0.521,?
3.332,?,?,0.0,0.0,2.242,3.554
?,0.496,?,0.0,?,?,?
3.532,?,?,?,?,?,4.165
4.216,0.223,?,?,?,?,5.896
3.605,?,?,?,?,?,4.829
?,?,?,3.0,?,?,?
3.833,0.405,1.522,0.0,1.0,?,?
?,?,?,0.0,?,2.274,?
2.824,?,1.0,?,?,?,?
?,?,0.92,?,?,?,?
?,0.134,?,?,0.0,?,3.174
?,0.56,?,?,2.0,3.906,?
3.641,?,?,0.0,1.0,1.565,?
3.073,?,?,?,?,?,4.016
3.012,0.223,?,0.0,?,?,3.857
?,0.693,?,?,?,?,?
4.171,?,1.678,?,?,?,?
?,0.223,?,?,1.0,?,?
?,?,1.374,?,2.0,?,4.586
?,?,?,?,0.0,?,?
?,?,?,?,?,?,?
3.179,?,1.063,?,0.0,2.942,4.091
?,?,?,?,?,3.21,4.33
?,?,?,?,?,?,3.755
?,?,?,?,?,?,?
?,?,0.839,?,0.0,?,?
2.086,?,0.838,?,?,2.127,4.459
?,?,0.95,0.0,?,?,?
?,0.405,0.917,?,?,0.411,?
3.08,?,?,?,1.0,?,4.786
1.636,?,?,?,?,0.408,?
2.219,0.604,?,0.0,0.0,2.026,3.262
1.594,?,1.333,?,0.0,0.094,?
1.818,0.499,1.468,?,?,1.672,?
?,?,1.891,0.0,0.0,?,?
?,?,1.844,0.0,?,0.347,?
?,?,?,0.0,?,0.347,?
1.818,0.134,1.445,?,?,?,?
?,?,?,?,?,0.094,?
?,0.582,?,?,?,?,?
2.333,0.251,?,?,0.0,?,2.576
2.026,0.223,?,?,?,?,?
?,?,1.068,?,?,?,?
?,0.64,?,1.0,?,0.202,4.37
?,?,?,?,0.0,?,?
?,0.405,1.5,?,?,?,?
1.512,0.331,1.627,1.0,0.0,?,?
3.219,?,1.605,?,?,0.706,1.088
?,?,1.581,?,?,2.274,3.721
?,?,?,?,0.0,3.291,?
3.57,?,?,0.0,0.0,2.05,6.083
?,?,1.671,?,?,?,?
3.802,0.405,?,?,?,?,?
?,0.223,1.6,0.0,?,?,1.842
?,?,1.907,?,?,-1.96,?
?,?,?,?,0.0,?,?
2.126,0.405,1.69,?,?,?,?
3.08,?,1.583,0.0,?,?,?
?,0.223,?,?,?,?,2.085
3.179,?,?,0.0,?,?,?
?,?,0.953,?,?,?,3.29
2.62,?,0.99,?,0.0,3.21,3.84
?,?,0.839,?,?,2.127,?
2.834,0.134,?,?,0.0,?,?
?,0.405,?,?,?,?,3.314
2.565,?,1.987,0.0,?,0.057,?
?,1.079,0.895,?,0.0,?,4.74
?,?,0.836,0.0,?,?,4.194
2.91,?,?,?,?,2.608,3.447
?,0.134,1.293,?,?,?,?
2.26,?,0.907,0.0,0.0,?,3.645
?,0.223,?,?,?,1.195,?
2.866,?,1.333,0.0,?,1.05,2.27
?,0.223,0.857,?,0.0,?,3.513
2.512,?,?,0.0,?,0.846,2.811
?,?,?,?,?,?,?
?,0.251,2.261,?,?,-0.063,1.639
?,0.134,?,?,?,?,?
?,0.251,1.959,0.0,?,?,?
?,?,?,0.0,1.0,?,4.097
2.755,?,?,0.0,?,0.996,3.123
?,0.405,?,?,1.0,0.996,3.231
2.024,0.977,?,0.0,?,?,?
?,?,?,0.0,0.0,?,3.572
2.878,?,?,0.0,0.0,0.8,2.436
1.961,?,?,1.0,?,?,2.567
?,?,?,?,0.0,-0.534,?
?,0.251,?,?,?,?,5.072
?,?,?,?,?,-0.534,?
?,?,2.606,?,?,-0.128,?
?,?,?,?,?,?,1.932
?,0.134,1.27,?,0.0,0.156,?
2.462,?,1.669,?,0.0,?,1.524
?,0.223,?,?,?,?,3.048
?,0.811,1.189,?,?,?,?
3.316,?,1.571,?,?,1.795,2.856
?,0.693,?,?,?,-0.45,4.366
4.171,0.693,?,0.0,?,2.849,4.976
?,?,1.571,0.0,?,?,?
?,?,?,?,0.0,?,4.538
?,0.83,1.696,?,?,?,?
3.143,?,?,?,0.0,1.209,2.692
2.802,?,?,?,?,1.064,3.825
?,?,?,0.0,0.0,?,?
2.709,0.331,2.072,?,?,?,?
?,0.405,?,?,0.0,-0.081,?
?,?,?,?,?,?,3.299
?,0.134,1.253,?,0.0,0.468,2.914
2.085,?,?,0.0,?,-0.544,?
3.361,?,?,?,?,2.021,3.168
3.52,0.223,?,0.0,?,?,?
?,?,?,?,?,0.538,?
3.181,0.604,?,?,0.0,3.126,4.68
3.369,?,1.614,0.0,?,1.587,?
?,?,?,0.0,?,?,?
?,?,1.5,2.0,?,?,?
?,0.486,?,?,?,?,5.47
2.67,?,2.047,?,0.0,-0.917,?
?,?,?,?,?,-0.917,?
