@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,0.829,?,0.0,1.0,1.453,3.77
2.189,?,0.863,0.0,?,1.348,?
2.125,?,0.831,?,0.0,1.348,3.531
?,?,1.472,1.0,0.0,1.807,3.51
?,0.827,0.86,?,0.0,1.886,5.39
3.222,0.331,2.177,?,?,?,1.819
3.179,0.0,1.063,?,?,2.942,?
?,?,?,?,0.0,?,?
2.62,?,?,?,?,2.942,?
2.834,0.134,?,?,?,?,3.021
?,0.134,?,?,?,1.769,?
?,0.223,0.953,0.0,?,1.591,2.371
2.512,?,0.929,?,?,?,?
?,?,1.237,0.0,?,?,?
?,?,1.271,?,1.0,?,?
?,0.251,?,?,0.0,?,2.157
?,0.134,?,0.0,?,?,2.413
3.014,0.56,1.781,?,?,?,?
3.024,?,2.698,0.0,?,1.107,0.45
3.036,?,1.205,?,?,?,3.733
?,?,1.889,?,?,?,?
?,1.246,1.103,0.0,1.0,3.988,?
?,?,0.923,0.0,?,?,?
?,0.223,?,?,?,?,?
?,0.93,?,?,?,2.526,?
3.326,0.647,0.986,0.0,1.0,?,?
?,?,?,0.0,?,2.51,?
?,?,?,0.0,0.0,?,3.45
?,?,?,0.0,?,-0.937,?
?,?,?,0.0,?,?,?
?,?,0.865,?,1.0,0.024,5.386
3.645,0.223,?,0.0,?,2.837,3.393
?,?,2.135,?,?,?,1.308
?,0.134,?,0.0,?,?,?
?,?,1.179,0.0,1.0,1.06,2.269
?,0.134,?,?,?,2.813,?
?,?,?,0.0,?,?,5.896
?,?,?,?,0.0,?,?
2.918,?,?,?,?,?,?
3.833,0.405,1.522,?,1.0,3.492,?
3.669,0.223,1.599,?,0.0,2.274,?
2.824,?,1.0,1.0,?,2.102,?
?,?,0.92,1.0,0.0,2.37,?
3.103,0.134,?,?,?,?,3.174
4.413,?,?,1.0,2.0,3.906,?
3.641,?,1.933,?,1.0,?,?
3.073,?,?,0.0,?,?,?
3.012,?,?,0.0,?,?,?
3.818,0.693,?,?,?,2.217,?
4.171,0.693,1.678,0.0,?,?,?
3.734,0.223,?,2.0,?,2.642,3.84
3.734,0.223,1.374,?,?,2.642,4.586
2.126,0.977,0.771,?,0.0,?,?
?,?,0.764,?,?,2.296,?
?,?,1.063,?,0.0,?,4.091
?,?,?,?,?,?,?
?,0.223,0.953,0.0,0.0,?,?
2.126,0.83,0.899,?,0.0,?,?
?,?,?,0.0,0.0,2.127,?
?,0.64,0.838,0.0,?,2.127,?
2.834,0.134,0.95,?,?,?,?
2.126,0.405,?,?,?,?,?
?,?,?,?,?,1.619,4.786
1.636,?,1.695,?,0.0,0.408,?
?,?,?,0.0,0.0,2.026,?
?,?,1.333,?,?,?,6.297
?,?,?,1.0,?,1.672,3.546
?,0.83,1.891,?,?,?,?
?,?,?,?,?,0.347,3.203
2.56,?,?,?,?,?,?
?,0.134,?,0.0,0.0,?,1.559
?,?,?,?,0.0,0.094,3.47
?,?,?,0.0,?,0.202,4.748
2.333,0.251,?,?,?,?,2.576
?,?,?,?,?,?,?
1.594,0.223,?,?,0.0,0.202,4.564
0.965,?,1.695,?,?,?,4.37
?,?,?,?,0.0,-1.053,0.053
?,0.405,1.5,?,?,?,2.381
1.512,0.331,?,?,?,?,2.891
3.219,?,?,?,?,0.706,?
?,0.134,?,?,?,2.274,3.721
3.669,?,?,?,?,?,?
?,?,2.259,?,0.0,?,?
?,?,?,0.0,?,?,?
?,0.405,?,1.0,?,1.869,?
?,0.223,1.6,?,1.0,1.064,?
2.242,?,1.907,0.0,?,?,3.396
1.94,?,1.066,?,?,?,2.99
?,?,?,?,?,0.479,?
3.08,?,?,0.0,?,?,?
?,0.223,?,?,?,1.587,?
?,?,1.063,0.0,?,2.942,?
2.728,?,?,?,?,?,?
?,0.499,0.99,0.0,0.0,3.21,3.84
?,?,0.839,0.0,?,?,3.979
?,?,?,0.0,?,1.859,3.47
?,?,?,0.0,?,?,?
?,0.693,?,?,?,?,?
?,1.079,?,?,0.0,4.063,4.74
?,?,0.836,0.0,0.0,?,?
?,?,1.0,?,?,?,?
?,?,1.293,0.0,?,?,2.364
?,?,0.907,?,0.0,?,?
?,?,?,0.0,0.0,?,?
2.866,?,?,?,1.0,?,?
?,0.223,0.857,?,?,?,3.513
2.512,0.134,1.293,?,0.0,0.846,2.811
3.509,?,1.478,?,0.0,2.248,2.832
2.98,?,?,0.0,0.0,-0.063,?
?,?,?,?,?,?,?
?,0.251,1.959,?,0.0,?,1.651
?,0.405,1.717,0.0,1.0,?,?
