@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

3.26,0.829,1.676,0.0,?,1.453,3.77
2.189,0.58,?,0.0,?,1.348,?
?,0.638,0.831,?,?,1.348,?
?,?,1.472,?,?,1.807,?
2.094,0.827,0.86,0.0,?,?,?
?,0.331,?,?,0.0,?,1.819
?,0.0,1.063,0.0,0.0,?,3.947
?,?,?,?,?,?,3.513
2.62,0.499,0.99,?,?,?,?
?,0.134,0.95,?,?,?,?
2.405,?,0.843,?,?,?,?
?,?,0.953,0.0,?,?,2.371
2.512,?,0.929,1.0,?,?,3.919
?,0.134,?,0.0,0.0,?,?
2.819,0.331,1.271,0.0,1.0,?,?
?,?,?,0.0,0.0,?,?
?,?,1.322,?,?,1.199,?
3.014,0.56,?,?,0.0,?,0.898
?,?,?,?,?,?,?
?,0.405,1.205,?,?,1.807,?
2.707,?,1.889,0.0,3.0,?,2.976
2.978,?,1.103,0.0,?,?,?
?,0.732,?,?,?,?,?
?,?,?,?,0.0,?,4.629
2.71,0.93,?,?,?,2.526,?
?,?,0.986,?,1.0,?,?
?,?,?,0.0,?,?,?
?,?,?,?,0.0,?,3.45
?,0.638,2.128,0.0,0.0,-0.937,1.102
?,0.887,?,?,?,?,?
1.075,?,?,0.0,1.0,0.024,?
?,?,1.155,?,?,?,3.393
3.079,0.429,2.135,?,?,?,?
3.332,?,1.519,0.0,?,?,?
2.726,0.496,?,?,?,?,?
?,0.134,?,0.0,?,?,4.165
?,?,?,0.0,0.0,?,5.896
?,?,?,?,0.0,3.562,?
?,?,0.944,?,?,?,4.59
3.833,?,?,0.0,?,3.492,2.092
?,0.223,?,0.0,?,?,?
?,?,?,?,0.0,?,?
?,0.64,?,?,0.0,?,4.805
?,?,1.344,?,?,1.533,?
4.413,0.56,?,?,?,3.906,7.899
3.641,0.331,?,?,?,?,?
?,?,?,?,?,?,4.016
?,?,1.023,?,0.0,2.193,?
3.818,0.693,?,2.0,?,?,?
4.171,?,?,?,2.0,?,4.851
?,0.223,?,?,?,?,?
3.734,?,?,2.0,?,?,4.586
?,?,?,?,?,?,?
?,?,0.764,0.0,?,?,3.559
?,0.0,1.063,?,?,2.942,?
?,0.499,?,0.0,0.0,?,4.33
2.728,?,?,?,?,?,?
?,0.83,?,?,?,?,?
2.216,?,?,?,?,?,?
?,0.64,?,0.0,0.0,2.127,4.459
?,0.134,0.95,?,0.0,?,2.827
?,0.405,0.917,?,2.0,?,?
3.08,0.405,?,1.0,1.0,?,?
?,0.64,?,?,0.0,?,?
?,?,?,?,?,?,?
?,0.223,?,?,?,0.094,?
1.818,0.499,?,1.0,?,?,?
?,0.83,1.891,?,?,?,?
?,?,1.844,?,0.0,0.347,3.203
?,?,?,?,0.0,?,2.283
?,?,1.445,?,?,?,?
1.359,0.134,?,1.0,0.0,?,3.47
?,0.582,?,0.0,?,0.202,4.748
?,?,?,?,?,?,2.576
2.026,?,1.429,?,0.0,?,5.259
1.594,?,?,?,?,?,?
0.965,0.64,?,?,?,0.202,4.37
1.951,?,1.878,?,?,?,0.053
1.0,?,?,?,?,-1.306,2.381
1.512,?,?,?,?,-0.386,?
?,?,?,?,?,?,?
3.74,?,?,?,?,2.274,?
?,?,?,0.0,?,?,3.701
3.57,?,?,?,?,?,?
5.926,?,?,?,?,?,?
?,?,1.527,1.0,0.0,?,3.7
?,?,1.6,?,1.0,?,?
2.242,?,1.907,?,1.0,?,3.396
1.94,0.749,?,0.0,?,?,2.99
2.126,?,1.69,?,1.0,?,3.573
3.08,?,?,?,?,?,?
?,?,?,?,?,1.587,2.085
3.179,?,1.063,0.0,0.0,?,3.822
2.728,?,0.953,?,?,1.859,3.29
2.62,0.499,?,?,?,?,3.84
2.216,0.582,?,?,0.0,?,?
2.834,0.134,0.95,?,?,1.859,?
?,0.405,?,?,0.0,?,?
?,0.693,1.987,?,2.0,0.057,4.031
?,?,0.895,?,0.0,?,4.74
?,?,0.836,?,?,3.045,4.194
?,?,?,?,0.0,2.608,?
?,?,1.293,?,?,0.846,?
2.26,0.499,0.907,?,?,?,?
?,0.223,1.385,0.0,?,1.195,?
2.866,?,?,?,1.0,?,?
?,?,0.857,?,?,?,?
2.512,?,1.293,0.0,?,0.846,2.811
3.509,0.854,?,0.0,?,?,?
?,?,2.261,?,?,?,?
?,0.134,?,?,?,0.846,?
?,?,1.959,?,?,-0.063,1.651
3.462,?,?,?,1.0,2.06,4.097
?,0.405,1.559,0.0,?,0.996,?
?,?,?,?,?,?,?
?,0.977,?,?,0.0,?,5.052
?,0.604,1.529,?,0.0,?,?
?,?,1.684,?,0.0,?,2.436
?,0.134,1.215,1.0,?,?,?
?,?,1.762,?,0.0,-0.534,1.795
1.251,?,1.126,?,?,-0.786,?
?,0.331,?,0.0,?,-0.534,?
?,?,2.606,0.0,0.0,?,?
?,0.134,2.102,?,?,?,?
?,?,1.27,?,?,?,?
?,?,?,?,?,?,?
1.778,?,?,?,?,?,?
3.609,0.811,1.189,?,0.0,3.291,?
?,0.223,1.571,0.0,?,?,?
?,?,?,2.0,2.0,?,4.366
?,?,1.678,?,?,?,?
3.316,?,?,?,?,1.795,2.94
3.441,?,1.667,?,?,?,4.538
?,0.83,?,?,0.0,?,?
?,?,?,?,?,1.209,?
2.802,?,1.6,1.0,?,1.064,?
?,0.405,1.127,?,?,?,3.206
2.709,?,?,0.0,0.0,?,?
